,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"21,000",,1976,2012,퇴계로8길,00023,00000,11140,01,0,4103395,회현동1가,0097,0002,11140,12100,1,평화,1,5,11140-10,49.98,,97-2,11140,6,,
1,"35,600",,2006,2012,을지로,00221,00000,11140,07,0,3101006,을지로5가,0039,0001,11140,15100,1,삼성파크빌,1,27,11140-998,84.65,,39-1,11140,12,,
2,"22,000",,1999,2012,청구로1길,00023,00000,11140,01,0,4103298,신당동,0843,0000,11140,16200,1,삼성,1,4,11140-32,59.98,,843,11140,1,,
3,"41,400",,2002,2012,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,8,11140-28,59.94,,844,11140,2,,
4,"42,000",,1993,2012,다산로36길,00109,00000,11140,01,0,4103057,신당동,0840,0000,11140,16200,1,현대,1,9,11140-40,122.275,,840,11140,3,,
5,"52,000",,2002,2012,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,10,11140-28,84.88,,844,11140,4,,
6,"24,000",,1968,2012,동호로,00173,00000,11140,08,0,3005001,신당동,0372,0013,11140,16200,1,약수(372-13),1,14,11140-34,51.9,,372-13,11140,4,,
7,"55,700",,2002,2012,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,16,11140-28,84.88,,844,11140,11,,
8,"55,900",,2002,2012,다산로,00032,00000,11140,01,0,3101014,신당동,0844,0000,11140,16200,1,남산타운,1,19,11140-28,84.88,,844,11140,13,,
9,"67,400",,1999,2012,동호로10길,00030,00000,11140,01,0,4103078,신당동,0842,0000,11140,16200,1,약수하이츠,1,21,11140-37,114.92,,842,11140,6,,
