,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"13,450",,2003,2012,초량상로,00028,00000,26170,01,0,3006001,초량동,1056,0056,26170,10100,1,한사랑빌라트,1,6,26170-46,66.55,,1056-56,26170,5,,
1,"25,500",,2006,2012,중앙대로320번길,00010,00000,26170,01,0,4181431,초량동,1155,0000,26170,10100,1,반도보라스카이뷰,1,9,26170-612,75.585,,1155,26170,14,,
2,"17,100",,2004,2012,초량중로,00028,00000,26170,01,0,3006002,초량동,0588,0017,26170,10100,1,썬리치,1,18,26170-55,84.52,,588-17,26170,6,,
3,"7,300",,1984,2012,망양로,00483,00000,26170,01,0,3125011,초량동,0865,0031,26170,10100,1,동일파크,1,27,26170-3,47.61,,865-31,26170,1,,
4,"11,400",,2004,2012,홍곡로,00073,00000,26170,02,0,3127048,수정동,1010,0001,26170,10200,1,태안하버빌,1,8,26170-74,53.17,,1010-1,26170,9,,
5,"16,200",,2004,2012,홍곡로,00073,00000,26170,02,0,3127048,수정동,1010,0001,26170,10200,1,태안하버빌,1,10,26170-74,74.13,,1010-1,26170,6,,
6,"8,400",,1978,2012,망양로668번길,00028,00000,26170,01,0,4181084,수정동,1048,0004,26170,10200,1,덕림아파트,1,30,26170-21,59.74,,1048-4,26170,5,,
7,"7,500",,1990,2012,수성로,00002,00001,26170,01,0,3127017,수정동,0609,0001,26170,10200,1,필우빌라맨션,1,30,26170-44,57.3,,609-1,26170,6,,
8,"7,800",,1978,2012,망양로668번길,00028,00000,26170,01,0,4181084,수정동,1048,0004,26170,10200,1,덕림아파트,1,31,26170-21,59.74,,1048-4,26170,2,,
9,"2,000",,1962,2012,증산로113번길,00006,00000,26170,01,0,4181448,좌천동,0728,0003,26170,10300,1,문화,1,3,26170-32,39.67,,728-3,26170,4,,
10,"6,850",,1978,2012,증산로,00095,00000,26170,02,0,3127039,좌천동,0784,0003,26170,10300,1,좌천현대,1,5,26170-35,54.84,,784-3,26170,3,,
11,"20,300",,2006,2012,성남일로,00005,00000,26170,01,0,3127014,좌천동,1168,0000,26170,10300,1,두산위브범일뉴타운,1,9,26170-628,59.6572,,1168,26170,21,,
12,"7,750",,1978,2012,증산로,00095,00000,26170,02,0,3127039,좌천동,0784,0003,26170,10300,1,좌천현대,1,13,26170-35,57.85,,784-3,26170,1,,
13,"12,000",,2006,2012,성남일로,00005,00000,26170,01,0,3127014,좌천동,1168,0000,26170,10300,1,두산위브범일뉴타운,1,13,26170-628,59.6572,,1168,26170,20,,
14,"20,300",,2006,2012,성남일로,00005,00000,26170,01,0,3127014,좌천동,1168,0000,26170,10300,1,두산위브범일뉴타운,1,13,26170-628,59.6572,,1168,26170,11,,
15,"20,100",,2006,2012,성남일로,00005,00000,26170,01,0,3127014,좌천동,1168,0000,26170,10300,1,두산위브범일뉴타운,1,15,26170-628,59.6572,,1168,26170,25,,
16,"27,350",,2006,2012,성남일로,00005,00000,26170,01,0,3127014,좌천동,1168,0000,26170,10300,1,두산위브범일뉴타운,1,29,26170-628,84.9959,,1168,26170,12,,
17,"2,000",,1962,2012,성북로22번길,00017,00000,26170,01,0,4181256,좌천동,0741,0001,26170,10300,1,좌천시민(741-1),1,30,26170-618,36.4,,741-1,26170,2,,
18,"59,500",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,4,26170-675,161.749,,830-296,26170,19,,
19,"45,600",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,5,26170-675,120.995,,830-296,26170,33,,
20,"44,400",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,9,26170-675,120.995,,830-296,26170,7,,
21,"55,500",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,9,26170-675,147.783,,830-296,26170,33,,
22,"55,200",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,9,26170-675,147.783,,830-296,26170,28,,
23,"44,400",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,11,26170-675,120.995,,830-296,26170,8,,
24,"55,500",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,11,26170-675,147.783,,830-296,26170,31,,
25,"44,400",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,12,26170-675,120.995,,830-296,26170,5,,
26,"55,200",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,12,26170-675,147.783,,830-296,26170,26,,
27,"55,200",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,12,26170-675,147.783,,830-296,26170,24,,
28,"55,000",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,12,26170-675,147.783,,830-296,26170,23,,
29,"55,000",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,12,26170-675,147.783,,830-296,26170,20,,
30,"55,000",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,12,26170-675,147.783,,830-296,26170,19,,
31,"44,300",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,12,26170-675,120.995,,830-296,26170,7,,
32,"44,300",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,13,26170-675,120.995,,830-296,26170,10,,
33,"59,500",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,13,26170-675,161.749,,830-296,26170,21,,
34,"55,000",,2010,2012,자성로133번길,00006,00000,26170,01,0,4181378,범일동,0830,0296,26170,10400,1,진흥마제스타워범일,1,13,26170-675,147.783,,830-296,26170,18,,
