,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"12,000",,2003,2012,영선대로,00095,00000,26200,03,0,2128001,영선동2가,0071,0001,26200,10900,1,남항동썬플라자,1,11,26200-90,48.83,,71-1,26200,14,,
1,"19,350",,2000,2012,해안산책길,00030,00000,26200,02,0,4184381,영선동4가,0186,0046,26200,11100,1,반도보라,1,6,26200-16,59.7,,186-46,26200,19,,
2,"25,000",,2000,2012,해안산책길,00030,00000,26200,02,0,4184381,영선동4가,0186,0046,26200,11100,1,반도보라,1,17,26200-16,84.81,,186-46,26200,6,,
3,"20,000",,2000,2012,해안산책길,00030,00000,26200,02,0,4184381,영선동4가,0186,0046,26200,11100,1,반도보라,1,17,26200-16,59.7,,186-46,26200,15,,
4,"2,100",,1969,2012,절영로,00227,00000,26200,06,0,3128020,영선동4가,1298,0000,26200,11100,1,영선2동4동,1,30,26200-18,36.36,,1298,26200,1,,
5,"28,500",,1991,2012,남항새싹길,00079,00000,26200,02,0,4184041,영선동4가,0245,0001,26200,11100,1,영도대원,1,31,26200-17,134.81,,245-1,26200,8,,
6,"12,350",,1993,2012,중복길,00270,00000,26200,02,0,4184244,신선동2가,0181,0030,26200,11300,1,영광그린,1,10,26200-22,63.18,,181-30,26200,11,,
7,"31,800",,1992,2012,대교로14번길,00017,00000,26200,01,0,4184050,봉래동2가,0112,0000,26200,11600,1,미광마린타워,1,6,26200-26,149.22,,112,26200,5,,
8,"33,400",,1992,2012,대교로14번길,00017,00000,26200,01,0,4184050,봉래동2가,0112,0000,26200,11600,1,미광마린타워,1,12,26200-26,122.74,,112,26200,10,,
9,"24,100",,2003,2012,대교로2번길,00026,00000,26200,01,0,4184051,봉래동3가,0149,0000,26200,11700,1,수근에이스타운,1,28,26200-103,84.35,,149,26200,5,,
10,"17,200",,1994,2012,조내기로,00033,00000,26200,01,0,3128021,청학동,0085,0000,26200,12000,1,일신마리나,1,3,26200-46,84.9,,85,26200,5,,
11,"11,000",,2003,2012,청학남로13번길,00011,00000,26200,01,0,4184250,청학동,0446,0004,26200,12000,1,청학스카이파크,1,5,26200-106,83.57,,446-4,26200,3,,
12,"29,000",,2009,2012,태종로,00260,00000,26200,07,0,3006003,청학동,0536,0000,26200,12000,1,영도신도브래뉴,1,6,26200-622,84.961,,536,26200,17,,
13,"19,400",,2005,2012,일산봉로,00058,00000,26200,01,0,3128018,청학동,0069,0093,26200,12000,1,한일유앤아이,1,18,26200-597,84.4568,,69-93,26200,2,,
14,"19,000",,2005,2012,청학남로,00048,00000,26200,01,0,3128025,청학동,0099,0294,26200,12000,1,신영도롯데낙천대,1,21,26200-601,59.9675,,99-294,26200,17,,
15,"13,900",,1999,2012,일산봉로,00062,00000,26200,01,0,3128018,청학동,0069,0083,26200,12000,1,미주비치,1,30,26200-41,59.95,,69-83,26200,13,,
16,"26,500",,2009,2012,태종로,00260,00000,26200,07,0,3006003,청학동,0536,0000,26200,12000,1,영도신도브래뉴,1,30,26200-622,84.961,,536,26200,2,,
17,"20,300",,2005,2012,일산봉로,00058,00000,26200,01,0,3128018,청학동,0069,0093,26200,12000,1,한일유앤아이,1,31,26200-597,84.4042,,69-93,26200,9,,
18,"8,500",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,1,26200-112,41.3,,1123,26200,8,,
19,"20,200",,1995,2012,중리로,00032,00000,26200,01,0,3128023,동삼동,0510,0033,26200,12100,1,국제마마뉴비치타운,1,2,26200-54,85.76,,510-33,26200,13,,
20,"11,500",,1994,2012,함지로,00008,00000,26200,01,0,3128030,동삼동,1124,0000,26200,12100,1,함지그린,1,5,26200-80,57.09,,1124,26200,12,,
21,"7,800",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,5,26200-112,41.3,,1123,26200,8,,
22,"9,200",,1994,2012,함지로,00008,00000,26200,01,0,3128030,동삼동,1124,0000,26200,12100,1,함지그린,1,6,26200-80,45.5,,1124,26200,11,,
23,"8,950",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,6,26200-112,41.3,,1123,26200,12,,
24,"26,800",,1995,2012,중리로,00032,00000,26200,01,0,3128023,동삼동,0510,0033,26200,12100,1,국제마마뉴비치타운,1,7,26200-54,121.26,,510-33,26200,9,,
25,"11,350",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,7,26200-112,49.94,,1123,26200,13,,
26,"11,200",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,7,26200-112,49.94,,1123,26200,12,,
27,"9,240",,1997,2012,와치로,00287,00000,26200,02,0,3128016,동삼동,0510,0037,26200,12100,1,동삼절영3,1,7,26200-58,41.85,,510-37,26200,8,,
28,"8,900",,1997,2012,와치로,00287,00000,26200,02,0,3128016,동삼동,0510,0037,26200,12100,1,동삼절영3,1,7,26200-58,41.85,,510-37,26200,14,,
29,"8,300",,1997,2012,와치로,00287,00000,26200,02,0,3128016,동삼동,0510,0037,26200,12100,1,동삼절영3,1,9,26200-58,41.85,,510-37,26200,2,,
30,"8,800",,1994,2012,함지로,00008,00000,26200,01,0,3128030,동삼동,1124,0000,26200,12100,1,함지그린,1,9,26200-80,45.5,,1124,26200,11,,
31,"7,700",,1987,2012,웃서발로,00015,00000,26200,01,0,3128017,동삼동,0227,0233,26200,12100,1,태종파크맨션(227-233),1,9,26200-79,49.95,,227-233,26200,3,,
32,"28,100",,1995,2012,중리로,00032,00000,26200,01,0,3128023,동삼동,0510,0033,26200,12100,1,국제마마뉴비치타운,1,10,26200-54,146.99,,510-33,26200,1,,
33,"10,000",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,10,26200-112,49.94,,1123,26200,11,,
34,"10,500",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,12,26200-112,49.94,,1123,26200,4,,
35,"8,450",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,12,26200-112,41.3,,1123,26200,3,,
36,"13,900",,1994,2012,함지로,00008,00000,26200,01,0,3128030,동삼동,1124,0000,26200,12100,1,함지그린,1,13,26200-80,57.09,,1124,26200,11,,
37,"10,700",,1995,2012,중리로,00041,00000,26200,01,0,3128023,동삼동,0510,0011,26200,12100,1,절영아파트(215동-217동),1,13,26200-595,46.27,,510-11,26200,8,,
38,"6,000",,1980,2012,웃서발로,00092,00000,26200,01,0,3128017,동삼동,0314,0000,26200,12100,1,태림,1,15,26200-78,56.2,,314,26200,3,,
39,"10,150",,1985,2012,절영로,00504,00000,26200,09,0,3128020,동삼동,0656,0000,26200,12100,1,조양비취맨션,1,16,26200-76,58.8,,656,26200,1,,
40,"11,900",,1995,2012,중리로,00041,00000,26200,01,0,3128023,동삼동,0510,0011,26200,12100,1,절영아파트(215동-217동),1,16,26200-595,46.27,,510-11,26200,14,,
41,"13,500",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,16,26200-112,58.46,,1123,26200,4,,
42,"8,500",,1993,2012,상리로,00001,00000,26200,01,0,3128015,동삼동,1123,0000,26200,12100,1,동삼그린힐,1,16,26200-112,41.3,,1123,26200,14,,
43,"20,800",,1995,2012,중리로,00032,00000,26200,01,0,3128023,동삼동,0510,0033,26200,12100,1,국제마마뉴비치타운,1,17,26200-54,85.76,,510-33,26200,13,,
