,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,"21,400",,2009,2012,동덕로30길,00063,00011,27110,00,4223076,동인동4가,0220,0000,27110,10400,1,동인동삼정그린코아,1,4,27110-278,84.7349,,220,27110,20,,,
1,"11,900",,1979,2012,동덕로,00109,00000,27110,03,3141005,삼덕동2가,0208,0004,27110,10600,1,아진맨션,1,17,27110-12,94.64,,208-4,27110,2,,,0
2,"9,300",,1985,2012,태평로,00177,00000,27110,03,3141011,태평로1가,0001,0187,27110,12400,1,태평라이프,1,4,27110-17,62.79,,1-187,27110,6,,,0
3,"4,900",,1985,2012,태평로,00177,00000,27110,03,3141011,태평로1가,0001,0187,27110,12400,1,태평라이프,1,10,27110-17,46.41,,1-187,27110,5,,,0
4,"3,900",,1978,2012,태평로,00205,00000,27110,03,3141011,태평로1가,0023,0001,27110,12400,1,태평,1,25,27110-16,48.6,,23-1,27110,5,,,0
5,"10,300",,2003,2012,서성로,00088,00005,27110,01,3141009,수창동,0040,0011,27110,13000,1,경진테크빌(102동),1,12,27110-52,84.9,,40-11,27110,5,,,0
6,"7,050",,1986,2012,달구벌대로,02035,00000,27110,09,2007002,동산동,0357,0000,27110,14000,1,동산맨션,1,11,27110-19,47.17,,357,27110,3,,,0
7,"6,000",,1979,2012,큰장로,00074,00000,27110,01,3141016,대신동,1535,0000,27110,15400,1,광명,1,11,27110-23,61.92,,1535,27110,5,,,0
8,"9,500",,1979,2012,큰장로,00074,00000,27110,01,3141016,대신동,1535,0000,27110,15400,1,광명,1,13,27110-23,69.09,,1535,27110,3,,,0
9,"31,150",,2006,2012,달구벌대로,01975,00000,27110,10,2007002,대신동,0305,0001,27110,15400,1,태왕아너스스카이,1,20,27110-268,131.3415,,305-1,27110,24,,,0
10,"14,900",,1992,2012,남산로4길,00091,00000,27110,01,4223039,남산동,2434,0000,27110,15600,1,송림맨션,1,2,27110-33,134.585,,2434,27110,1,,,0
11,"13,500",,1993,2012,남산로13길,00017,00000,27110,01,4223032,남산동,2466,0001,27110,15600,1,보성황실타운,1,3,27110-30,59.96,,2466-1,27110,16,,,0
12,"26,000",,2005,2012,달구벌대로,01950,00000,27110,11,2007002,남산동,2937,0001,27110,15600,1,남산그린타운,1,3,27110-64,110.0673,,2937-1,27110,20,,,0
13,"13,500",,1993,2012,남산로13길,00017,00000,27110,01,4223032,남산동,2466,0001,27110,15600,1,보성황실타운,1,5,27110-30,59.96,,2466-1,27110,9,,,0
14,"12,300",,2005,2012,달구벌대로,01950,00000,27110,11,2007002,남산동,2937,0001,27110,15600,1,남산그린타운,1,5,27110-64,53.4089,,2937-1,27110,2,,,0
15,"6,000",,1975,2012,중앙대로,00307,00016,27110,14,2007001,남산동,0699,0007,27110,15600,1,남문시장2지구,1,10,27110-55,68.03,,699-7,27110,5,,,0
16,"13,300",,1993,2012,남산로13길,00017,00000,27110,01,4223032,남산동,2466,0001,27110,15600,1,보성황실타운,1,11,27110-30,59.96,,2466-1,27110,17,,,0
17,"14,000",,1993,2012,남산로13길,00017,00000,27110,01,4223032,남산동,2466,0001,27110,15600,1,보성황실타운,1,11,27110-30,84.985,,2466-1,27110,7,,,0
18,"13,400",,1993,2012,남산로13길,00017,00000,27110,01,4223032,남산동,2466,0001,27110,15600,1,보성황실타운,1,11,27110-30,59.96,,2466-1,27110,10,,,0
19,"18,300",,1993,2012,남산로13길,00017,00000,27110,01,4223032,남산동,2466,0001,27110,15600,1,보성황실타운,1,13,27110-30,84.985,,2466-1,27110,18,,,0
20,"19,000",,2005,2012,달구벌대로,01950,00000,27110,11,2007002,남산동,2937,0001,27110,15600,1,남산그린타운,1,14,27110-64,69.2406,,2937-1,27110,16,,,0
21,"28,600",,2007,2012,중앙대로67길,00010,00000,27110,01,4223130,남산동,0665,0000,27110,15600,1,반월당삼정그린코아,1,14,27110-272,132.15,,665,27110,24,,,0
22,"14,000",,2005,2012,달구벌대로,01950,00000,27110,11,2007002,남산동,2937,0001,27110,15600,1,남산그린타운,1,17,27110-64,53.4089,,2937-1,27110,5,,,0
23,"24,300",,2008,2012,달구벌대로,01970,00000,27110,11,2007002,남산동,2991,0000,27110,15600,1,청라센트럴파크,1,18,27110-274,84.99,,2991,27110,13,,,0
24,"22,300",,2005,2012,달구벌대로,01950,00000,27110,11,2007002,남산동,2937,0001,27110,15600,1,남산그린타운,1,20,27110-64,84.9597,,2937-1,27110,16,,,0
25,"24,500",,2008,2012,달구벌대로,01970,00000,27110,11,2007002,남산동,2991,0000,27110,15600,1,청라센트럴파크,1,20,27110-274,84.99,,2991,27110,2,,,0
26,"14,800",,2005,2012,달구벌대로,01950,00000,27110,11,2007002,남산동,2937,0001,27110,15600,1,남산그린타운,1,21,27110-64,53.4089,,2937-1,27110,12,,,0
27,"17,800",,1993,2012,남산로13길,00017,00000,27110,01,4223032,남산동,2466,0001,27110,15600,1,보성황실타운,1,26,27110-30,84.985,,2466-1,27110,18,,,0
28,"22,250",,2008,2012,달구벌대로,01970,00000,27110,11,2007002,남산동,2991,0000,27110,15600,1,청라센트럴파크,1,27,27110-274,84.99,,2991,27110,1,,,0
