,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"10,850",,1994,2012,명덕로68길,00019,00000,27200,01,0,4232145,이천동,0214,0456,27200,10100,1,강변타운,1,3,27200-1,52.23,,214-456,27200,13,,
1,"10,550",,1994,2012,명덕로68길,00019,00000,27200,01,0,4232145,이천동,0214,0456,27200,10100,1,강변타운,1,5,27200-1,52.23,,214-456,27200,14,,
2,"14,100",,1987,2012,명덕로,00236,00000,27200,01,0,3141013,이천동,0650,0000,27200,10100,1,보성상아맨션,1,6,27200-2,84.735,,650,27200,8,,
3,"13,500",,1999,2012,명덕로68길,00077,00000,27200,01,0,4232145,이천동,0121,0070,27200,10100,1,대구이천주공1,1,7,27200-4,59.96,,121-70,27200,7,,
4,"18,400",,2002,2012,희망로,00057,00000,27200,01,0,3007015,이천동,0551,0001,27200,10100,1,이천주공2단지,1,9,27200-62,84.84,,551-1,27200,3,,
5,"18,350",,2006,2012,이천로19길,00068,00000,27200,01,0,4232265,이천동,0452,0000,27200,10100,1,교대역월드메르디앙,1,9,27200-866,84.6116,,452,27200,3,,
6,"16,300",,2006,2012,희망로5길,00012,00000,27200,01,0,4232379,이천동,0361,0016,27200,10100,1,희망교대성유니드,1,9,27200-861,65.7417,,361-16,27200,21,,
7,"19,000",,2002,2012,희망로,00057,00000,27200,01,0,3007015,이천동,0551,0001,27200,10100,1,이천주공2단지,1,9,27200-62,84.84,,551-1,27200,11,,
8,"20,800",,2006,2012,희망로5길,00012,00000,27200,01,0,4232379,이천동,0361,0016,27200,10100,1,희망교대성유니드,1,13,27200-861,84.9613,,361-16,27200,11,,
9,"10,650",,1999,2012,명덕로68길,00077,00000,27200,01,0,4232145,이천동,0121,0070,27200,10100,1,대구이천주공1,1,14,27200-4,49.61,,121-70,27200,16,,
10,"18,000",,2002,2012,희망로,00057,00000,27200,01,0,3007015,이천동,0551,0001,27200,10100,1,이천주공2단지,1,16,27200-62,84.84,,551-1,27200,16,,
11,"10,800",,1999,2012,명덕로68길,00077,00000,27200,01,0,4232145,이천동,0121,0070,27200,10100,1,대구이천주공1,1,17,27200-4,49.61,,121-70,27200,17,,
12,"14,390",,1999,2012,명덕로68길,00077,00000,27200,01,0,4232145,이천동,0121,0070,27200,10100,1,대구이천주공1,1,18,27200-4,59.96,,121-70,27200,10,,
13,"14,000",,1999,2012,명덕로68길,00077,00000,27200,01,0,4232145,이천동,0121,0070,27200,10100,1,대구이천주공1,1,19,27200-4,59.81,,121-70,27200,14,,
14,"28,250",,2006,2012,희망로5길,00012,00000,27200,01,0,4232379,이천동,0361,0016,27200,10100,1,희망교대성유니드,1,20,27200-861,124.6904,,361-16,27200,6,,
15,"15,000",,2006,2012,대봉로26길,00038,00000,27200,01,0,4232099,이천동,0243,0001,27200,10100,1,이천뜨란채3단지,1,20,27200-864,59.64,,243-1,27200,17,,
16,"26,400",,2006,2012,이천로19길,00068,00000,27200,01,0,4232265,이천동,0452,0000,27200,10100,1,교대역월드메르디앙,1,21,27200-866,115.8507,,452,27200,11,,
17,"17,800",,2002,2012,희망로,00057,00000,27200,01,0,3007015,이천동,0551,0001,27200,10100,1,이천주공2단지,1,25,27200-62,84.84,,551-1,27200,2,,
18,"16,000",,2006,2012,대봉로26길,00038,00000,27200,01,0,4232099,이천동,0243,0001,27200,10100,1,이천뜨란채3단지,1,30,27200-864,59.64,,243-1,27200,13,,
19,"19,950",,2006,2012,희망로5길,00012,00000,27200,01,0,4232379,이천동,0361,0016,27200,10100,1,희망교대성유니드,1,31,27200-861,84.9613,,361-16,27200,1,,
20,"8,900",,1984,2012,중앙대로22길,00070,00000,27200,01,0,4232296,봉덕동,0718,0001,27200,10200,1,한우그랜드,1,1,27200-12,75.96,,718-1,27200,3,,
21,"15,500",,1991,2012,앞산순환로,00655,00000,27200,01,0,3007012,봉덕동,1329,0001,27200,10200,1,대덕2차,1,3,27200-6,84.99,,1329-1,27200,10,,
22,"35,149",,2010,2012,효성중앙길,00081,00000,27200,01,0,4232375,봉덕동,1631,0000,27200,10200,1,래미안웰리스트,1,3,27200-884,109.2566,,1631,27200,6,,
23,"37,969",,2010,2012,효성중앙길,00081,00000,27200,01,0,4232375,봉덕동,1631,0000,27200,10200,1,래미안웰리스트,1,3,27200-884,137.1466,,1631,27200,17,,
24,"12,400",,1982,2012,효성로,00013,00000,27200,01,0,3144011,봉덕동,0089,0003,27200,10200,2,미리내,1,6,27200-8,84.19,,산89-3,27200,6,,
25,"19,000",,1989,2012,효성중앙길,00038,00000,27200,01,0,4232375,봉덕동,1141,0000,27200,10200,1,효성타운2차,1,6,27200-14,130.17,,1141,27200,12,,
26,"23,900",,1988,2012,효성중앙길,00037,00000,27200,01,0,4232375,봉덕동,1071,0000,27200,10200,1,효성타운1차,1,6,27200-13,130.17,,1071,27200,5,,
27,"26,800",,2008,2012,봉덕로,00134,00000,27200,01,0,3144007,봉덕동,0862,0000,27200,10200,1,강변코오롱하늘채,1,8,27200-880,84.9627,,862,27200,19,,
28,"16,000",,1990,2012,앞산순환로,00657,00000,27200,01,0,3007012,봉덕동,1329,0002,27200,10200,1,대덕1차,1,10,27200-5,84.87,,1329-2,27200,7,,
29,"15,000",,1994,2012,앞산순환로,00721,00000,27200,01,0,3007012,봉덕동,1135,0001,27200,10200,1,청구효성하이츠,1,10,27200-20,84.95,,1135-1,27200,3,,
30,"12,000",,1982,2012,효성로,00013,00000,27200,01,0,3144011,봉덕동,0089,0003,27200,10200,2,미리내,1,10,27200-8,84.19,,산89-3,27200,4,,
31,"29,300",,1991,2012,앞산순환로,00655,00000,27200,01,0,3007012,봉덕동,1329,0001,27200,10200,1,대덕2차,1,12,27200-6,192.335,,1329-1,27200,14,,
32,"20,000",,1988,2012,효성중앙길,00037,00000,27200,01,0,4232375,봉덕동,1071,0000,27200,10200,1,효성타운1차,1,14,27200-13,108.38,,1071,27200,6,,
33,"19,800",,1990,2012,앞산순환로,00657,00000,27200,01,0,3007012,봉덕동,1329,0002,27200,10200,1,대덕1차,1,16,27200-5,132.56,,1329-2,27200,2,,
34,"23,500",,2008,2012,봉덕로,00134,00000,27200,01,0,3144007,봉덕동,0862,0000,27200,10200,1,강변코오롱하늘채,1,16,27200-880,84.993,,862,27200,6,,
35,"20,000",,1988,2012,효성중앙길,00037,00000,27200,01,0,4232375,봉덕동,1071,0000,27200,10200,1,효성타운1차,1,16,27200-13,108.38,,1071,27200,11,,
36,"34,899",,2010,2012,효성중앙길,00081,00000,27200,01,0,4232375,봉덕동,1631,0000,27200,10200,1,래미안웰리스트,1,17,27200-884,109.2566,,1631,27200,4,,
37,"45,659",,2010,2012,효성중앙길,00081,00000,27200,01,0,4232375,봉덕동,1631,0000,27200,10200,1,래미안웰리스트,1,19,27200-884,144.499,,1631,27200,10,,
