,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"14,000",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,1,1,28140-23,59.63,,122,28140,10,,
1,"14,000",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,1,12,28140-23,59.63,,122,28140,18,,
2,"11,700",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,1,12,28140-23,49.79,,122,28140,6,,
3,"20,900",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,1,20,28140-5,84.63,,122,28140,14,,
4,"11,500",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,1,31,28140-23,52.92,,122,28140,3,,
5,"16,150",,2001,2012,화도진로,00113,00000,28140,02,0,3150028,화수동,0321,0000,28140,10200,1,화도진그린빌,1,12,28140-24,59.79,,321,28140,6,,
6,"7,500",,1990,2012,화수로,00044,00000,28140,01,0,3150029,화수동,0002,0007,28140,10200,1,미륭,1,25,28140-10,39.924,,2-7,28140,2,,
7,"20,700",,2001,2012,화도진로,00132,00000,28140,02,0,3150028,화수동,0079,0004,28140,10200,1,영풍,1,26,28140-11,84.961,,79-4,28140,17,,
8,"15,800",,2003,2012,송현로,00050,00000,28140,01,0,3150014,송현동,0154,0000,28140,10300,1,송현주공솔빛마을(154),1,2,28140-21,59.81,,154,28140,12,,
9,"12,200",,2003,2012,송현로,00050,00000,28140,01,0,3150014,송현동,0154,0000,28140,10300,1,솔빛마을주공,1,2,28140-25,46.92,,154,28140,8,,
10,"8,450",,1984,2012,인중로,00635,00000,28140,03,0,3149063,송현동,0001,0009,28140,10300,1,송현2,1,3,28140-19,46.44,,1-9,28140,1,,
11,"14,000",,2003,2012,화수로,00008,00010,28140,02,0,3150029,송현동,0166,0000,28140,10300,1,솔빛마을주공2차,1,5,28140-26,49.34,,166,28140,5,,
12,"11,400",,2003,2012,화수로,00008,00010,28140,02,0,3150029,송현동,0166,0000,28140,10300,1,솔빛마을주공2차,1,10,28140-26,39.79,,166,28140,5,,
13,"11,950",,1994,2012,인중로,00614,00000,28140,03,0,3149063,송현동,0023,0031,28140,10300,1,누리,1,17,28140-13,59.35,,23-31,28140,4,,
14,"8,400",,1993,2012,인중로,00653,00000,28140,03,0,3149063,송현동,0006,0026,28140,10300,1,송현주공,1,21,28140-20,41.85,,6-26,28140,11,,
15,"14,500",,2003,2012,송현로,00050,00000,28140,01,0,3150014,송현동,0154,0000,28140,10300,1,송현주공솔빛마을(154),1,25,28140-21,59.98,,154,28140,1,,
16,"17,700",,2003,2012,화수로,00008,00010,28140,02,0,3150029,송현동,0166,0000,28140,10300,1,솔빛마을주공2차,1,25,28140-26,59.92,,166,28140,7,,
17,"8,000",,1987,2012,화수로,00021,00000,28140,02,0,3150029,송현동,0066,0024,28140,10300,1,삼두2,1,26,28140-16,41.31,,66-24,28140,10,,
18,"12,500",,2003,2012,송현로,00050,00000,28140,01,0,3150014,송현동,0154,0000,28140,10300,1,솔빛마을주공,1,28,28140-25,46.92,,154,28140,9,,
19,"14,900",,2003,2012,송현로,00050,00000,28140,01,0,3150014,송현동,0154,0000,28140,10300,1,솔빛마을주공,1,28,28140-25,59.81,,154,28140,3,,
20,"17,000",,1990,2012,화수로,00038,00000,28140,02,0,3150029,송현동,0066,0026,28140,10300,1,동부,1,31,28140-14,76.66,,66-26,28140,8,,
21,"11,200",,1979,2012,송림로,00050,00000,28140,02,0,3150037,송림동,0228,0001,28140,10700,1,삼익,1,1,28140-7,78.4,,228-1,28140,7,,
22,"11,300",,2009,2012,송미로,00006,00000,28140,01,0,3150011,송림동,0339,0000,28140,10700,1,풍림아이원,1,3,28140-336,40.353,,339,28140,11,,
23,"24,700",,2009,2012,송향로,00031,00000,28140,01,0,3150012,송림동,0341,0000,28140,10700,1,송림휴먼시아1단지,1,4,28140-339,84.86,,341,28140,16,,
24,"13,000",,2009,2012,송미로,00006,00000,28140,01,0,3150011,송림동,0339,0000,28140,10700,1,풍림아이원,1,10,28140-336,84.936,,339,28140,13,,
25,"18,700",,2009,2012,송미로,00006,00000,28140,01,0,3150011,송림동,0339,0000,28140,10700,1,풍림아이원,1,16,28140-336,59.97,,339,28140,16,,
26,"27,700",,2009,2012,송미로,00006,00000,28140,01,0,3150011,송림동,0339,0000,28140,10700,1,풍림아이원,1,26,28140-336,114.53,,339,28140,4,,
27,"14,000",,1999,2012,새천년로10번길,00019,00000,28140,01,0,4250087,송림동,0094,0011,28140,10700,1,진로,1,27,28140-9,59.89,,94-11,28140,12,,
28,"17,500",,2009,2012,송미로,00006,00000,28140,01,0,3150011,송림동,0339,0000,28140,10700,1,풍림아이원,1,27,28140-336,114.53,,339,28140,10,,
29,"11,200",,2009,2012,송미로,00006,00000,28140,01,0,3150011,송림동,0339,0000,28140,10700,1,풍림아이원,1,29,28140-336,40.353,,339,28140,3,,
0,"21,000",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,2,3,28140-5,84.63,,122,28140,16,,
1,"13,600",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,2,13,28140-5,59.63,,122,28140,14,,
2,"14,300",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,2,14,28140-23,59.63,,122,28140,8,,
3,"11,900",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,2,18,28140-23,49.79,,122,28140,20,,
4,"12,000",,2002,2012,화도진로,00187,00000,28140,01,0,3150028,만석동,0122,0000,28140,10100,1,만석비치타운 주공아파트,2,20,28140-23,52.92,,122,28140,11,,
