,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"13,000",,2009,2012,천변우로,00329,00005,29110,01,0,3009025,수기동,0021,0003,29110,10400,1,고운하이츠(21-3),1,15,29110-297,59.218,,21-3,29110,4,,
1,"12,600",,1996,2012,필문대로,00012,00007,29110,02,0,2009007,계림동,0100,0001,29110,10900,1,금호,1,3,29110-5,59.85,,100-1,29110,1,,
2,"12,950",,1998,2012,중앙로,00358,00000,29110,05,0,3162073,계림동,0100,0011,29110,10900,1,계림동금호2,1,5,29110-4,59.703,,100-11,29110,21,,
3,"21,200",,2007,2012,무등로,00374,00000,29110,01,0,3009021,계림동,0052,0000,29110,10900,1,두산위브,1,11,29110-286,84.8686,,52,29110,18,,
4,"14,500",,1996,2012,필문대로,00012,00007,29110,02,0,2009007,계림동,0100,0001,29110,10900,1,금호,1,14,29110-5,59.85,,100-1,29110,3,,
5,"23,800",,2007,2012,무등로,00374,00000,29110,01,0,3009021,계림동,0052,0000,29110,10900,1,두산위브,1,15,29110-286,84.8686,,52,29110,16,,
6,"23,100",,2007,2012,무등로,00374,00000,29110,01,0,3009021,계림동,0052,0000,29110,10900,1,두산위브,1,15,29110-286,84.8686,,52,29110,10,,
7,"23,500",,2007,2012,무등로,00374,00000,29110,01,0,3009021,계림동,0052,0000,29110,10900,1,두산위브,1,19,29110-286,84.8686,,52,29110,6,,
8,"16,200",,1996,2012,필문대로,00012,00007,29110,02,0,2009007,계림동,0100,0001,29110,10900,1,금호,1,26,29110-5,84.93,,100-1,29110,1,,
9,"15,300",,1996,2012,필문대로,00012,00007,29110,02,0,2009007,계림동,0100,0001,29110,10900,1,금호,1,27,29110-5,59.85,,100-1,29110,12,,
10,"17,000",,1996,2012,필문대로,00012,00007,29110,02,0,2009007,계림동,0100,0001,29110,10900,1,금호,1,27,29110-5,84.93,,100-1,29110,3,,
11,"16,500",,1998,2012,중앙로,00358,00000,29110,05,0,3162073,계림동,0100,0011,29110,10900,1,계림동금호2,1,29,29110-4,84.78,,100-11,29110,12,,
12,"8,900",,1987,2012,무등로,00548,00000,29110,02,0,3009021,산수동,0079,0003,29110,11000,1,무등파크,1,4,29110-12,80.32,,79-3,29110,9,,
13,"13,200",,1995,2012,밤실로,00150,00000,29110,01,0,3162072,산수동,0689,0000,29110,11000,1,두암그린파크,1,4,29110-54,84.99,,689,29110,9,,
14,"7,500",,1984,2012,무등로,00417,00009,29110,02,0,3009021,산수동,0463,0006,29110,11000,1,동진맨션,1,7,29110-10,83.61,,463-6,29110,1,,
15,"9,800",,1987,2012,무등로,00548,00000,29110,02,0,3009021,산수동,0079,0003,29110,11000,1,무등파크,1,9,29110-12,84.93,,79-3,29110,9,,
16,"16,500",,1993,2012,밤실로,00147,00000,29110,01,0,3162072,산수동,0568,0001,29110,11000,1,금호두암타운,1,19,29110-8,94.58,,568-1,29110,14,,
17,"16,500",,1993,2012,밤실로,00147,00000,29110,01,0,3162072,산수동,0568,0001,29110,11000,1,금호두암타운,1,20,29110-8,94.57,,568-1,29110,14,,
18,"13,800",,1995,2012,밤실로,00150,00000,29110,01,0,3162072,산수동,0689,0000,29110,11000,1,두암그린파크,1,20,29110-54,84.9,,689,29110,11,,
19,"16,500",,1993,2012,밤실로,00147,00000,29110,01,0,3162072,산수동,0568,0001,29110,11000,1,금호두암타운,1,26,29110-8,94.58,,568-1,29110,6,,
20,"13,300",,1995,2012,무등로,00532,00000,29110,02,0,3009021,산수동,0084,0000,29110,11000,1,광명,1,27,29110-7,84.923,,84,29110,10,,
21,"8,000",,1983,2012,지호로,00068,00000,29110,03,0,3159016,지산동,0187,0001,29110,11100,1,푸른맨션,1,8,29110-21,63.27,,187-1,29110,3,,
22,"17,800",,1991,2012,밤실로30번길,00011,00000,29110,01,0,4277108,지산동,0315,0001,29110,11100,1,삼성,1,14,29110-17,127.67,,315-1,29110,6,,
23,"6,500",,2000,2012,지호로86번길,00003,00000,29110,01,0,4277233,지산동,0198,0013,29110,11100,1,진아하이빌,1,29,29110-20,34.4597,,198-13,29110,8,,
24,"10,000",,1993,2012,지원로,00035,00000,29110,01,0,3159015,소태동,0480,0002,29110,11900,1,대아1차,1,12,29110-42,84.98,,480-2,29110,1,,
25,"16,000",,2003,2012,학소로42번길,00012,00000,29110,01,0,4277270,소태동,0443,0000,29110,11900,1,진아하이빌,1,12,29110-59,83.3199,,443,29110,2,,
26,"10,800",,1993,2012,지원로,00035,00000,29110,01,0,3159015,소태동,0480,0002,29110,11900,1,대아1차,1,16,29110-42,84.98,,480-2,29110,4,,
27,"18,500",,2006,2012,남문로,00550,00000,29110,01,0,3159003,소태동,0691,0000,29110,11900,1,온세계아이조움,1,17,29110-283,84.9453,,691,29110,10,,
28,"19,450",,2006,2012,남문로,00550,00000,29110,01,0,3159003,소태동,0691,0000,29110,11900,1,온세계아이조움,1,30,29110-283,84.9453,,691,29110,13,,
29,"20,000",,1991,2012,운림길,00071,00000,29110,01,0,4277156,운림동,0583,0000,29110,12100,1,라인1차,1,3,29110-32,160.02,,583,29110,2,,
30,"15,250",,1995,2012,운림길,00068,00000,29110,01,0,4277156,운림동,0588,0000,29110,12100,1,무등스위트맨션,1,3,29110-35,84.95,,588,29110,8,,
31,"10,950",,1997,2012,운림길,00058,00000,29110,01,0,4277156,운림동,0567,0001,29110,12100,1,라인광명,1,4,29110-34,59.88,,567-1,29110,18,,
32,"16,800",,2005,2012,의재로,00161,00000,29110,02,0,3159010,운림동,0689,0000,29110,12100,1,운림글로벌,1,11,29110-267,84.8047,,689,29110,1,,
33,"7,400",,1994,2012,의재로,00123,00000,29110,02,0,3159010,운림동,0628,0000,29110,12100,1,무등파크맨션3차,1,14,29110-39,59.76,,628,29110,1,,
34,"15,500",,1992,2012,의재로,00149,00007,29110,02,0,3159010,운림동,0654,0000,29110,12100,1,라인2차,1,16,29110-33,84.7,,654,29110,5,,
35,"18,000",,1991,2012,운림길,00071,00000,29110,01,0,4277156,운림동,0583,0000,29110,12100,1,라인1차,1,18,29110-32,133.11,,583,29110,3,,
36,"9,000",,1992,2012,운림길,00029,00010,29110,01,0,4277156,운림동,0597,0000,29110,12100,1,무등파크맨션2차,1,26,29110-38,84.91,,597,29110,16,,
37,"17,000",,1990,2012,운림길,00023,00000,29110,01,0,4277156,운림동,0603,0000,29110,12100,1,무등파크맨션1차,1,30,29110-37,149.84,,603,29110,20,,
38,"13,000",,1989,2012,남문로,00676,00000,29110,02,0,3159003,학동,0750,0001,29110,12200,1,삼익세라믹,1,4,29110-27,76.9,,750-1,29110,3,,
39,"13,000",,1989,2012,남문로,00676,00000,29110,02,0,3159003,학동,0750,0001,29110,12200,1,삼익세라믹,1,12,29110-27,76.9,,750-1,29110,3,,
40,"10,000",,1994,2012,의재로,00023,00008,29110,03,0,3159010,학동,0676,0001,29110,12200,1,아남,1,16,29110-28,59.76,,676-1,29110,9,,
41,"6,415",,1992,2012,천변우로,00603,00000,29110,05,0,3009025,학동,0898,0004,29110,12200,1,백화,1,25,29110-26,50.22,,898-4,29110,2,,
42,"20,274",,2011,2012,남문로693번길,00011,00000,29110,01,0,4277049,학동,1012,0000,29110,12200,1,학2마을아파트,1,25,29110-303,84.98,,1012,29110,17,,
43,"11,500",,1991,2012,화산로350번길,00018,00000,29110,01,0,4277280,용산동,0177,0000,29110,12600,1,동산타워,1,9,29110-49,84.99,,177,29110,9,,
44,"3,920",,1987,2012,천변좌로,00714,00011,29110,01,0,3009007,용산동,0039,0009,29110,12600,2,일광맨션,1,20,29110-51,58.32,,산39-9,29110,4,,
0,"7,708",,2011,2012,천변우로,00329,00010,29110,01,0,3009025,수기동,0022,0000,29110,10400,1,고운하이츠(22-0),2,10,29110-301,29.817,,22,29110,8,,
1,"8,014",,2011,2012,천변우로,00329,00010,29110,01,0,3009025,수기동,0022,0000,29110,10400,1,고운하이츠(22-0),2,15,29110-301,29.817,,22,29110,4,,
2,"12,500",,2009,2012,천변우로,00329,00005,29110,01,0,3009025,수기동,0021,0003,29110,10400,1,고운하이츠(21-3),2,27,29110-297,55.976,,21-3,29110,7,,
3,"13,000",,2009,2012,천변우로,00329,00005,29110,01,0,3009025,수기동,0021,0003,29110,10400,1,고운하이츠(21-3),2,29,29110-297,55.976,,21-3,29110,7,,
4,"15,500",,1996,2012,필문대로,00012,00007,29110,02,0,2009007,계림동,0100,0001,29110,10900,1,금호,2,5,29110-5,59.85,,100-1,29110,7,,
5,"27,900",,2007,2012,무등로,00374,00000,29110,01,0,3009021,계림동,0052,0000,29110,10900,1,두산위브,2,10,29110-286,113.8106,,52,29110,6,,
6,"29,500",,2007,2012,무등로,00374,00000,29110,01,0,3009021,계림동,0052,0000,29110,10900,1,두산위브,2,13,29110-286,113.8106,,52,29110,5,,
7,"18,500",,1996,2012,필문대로,00012,00007,29110,02,0,2009007,계림동,0100,0001,29110,10900,1,금호,2,14,29110-5,84.93,,100-1,29110,10,,
8,"12,600",,1998,2012,중앙로,00358,00000,29110,05,0,3162073,계림동,0100,0011,29110,10900,1,계림동금호2,2,20,29110-4,59.703,,100-11,29110,16,,
9,"13,000",,1998,2012,중앙로,00358,00000,29110,05,0,3162073,계림동,0100,0011,29110,10900,1,계림동금호2,2,20,29110-4,59.703,,100-11,29110,8,,
10,"15,000",,1996,2012,필문대로,00012,00007,29110,02,0,2009007,계림동,0100,0001,29110,10900,1,금호,2,22,29110-5,84.93,,100-1,29110,8,,
11,"27,600",,2007,2012,무등로,00374,00000,29110,01,0,3009021,계림동,0052,0000,29110,10900,1,두산위브,2,22,29110-286,113.8106,,52,29110,9,,
12,"15,000",,1996,2012,필문대로,00012,00007,29110,02,0,2009007,계림동,0100,0001,29110,10900,1,금호,2,23,29110-5,59.85,,100-1,29110,15,,
13,"8,900",,1995,2012,무등로,00532,00000,29110,02,0,3009021,산수동,0084,0000,29110,11000,1,광명,2,1,29110-7,59.91,,84,29110,9,,
14,"23,000",,1993,2012,밤실로,00147,00000,29110,01,0,3162072,산수동,0568,0001,29110,11000,1,금호두암타운,2,8,29110-8,134.79,,568-1,29110,6,,
15,"9,250",,1995,2012,무등로,00532,00000,29110,02,0,3009021,산수동,0084,0000,29110,11000,1,광명,2,11,29110-7,59.91,,84,29110,10,,
16,"17,000",,1993,2012,밤실로,00147,00000,29110,01,0,3162072,산수동,0568,0001,29110,11000,1,금호두암타운,2,11,29110-8,94.58,,568-1,29110,2,,
17,"16,500",,1993,2012,밤실로,00147,00000,29110,01,0,3162072,산수동,0568,0001,29110,11000,1,금호두암타운,2,11,29110-8,94.57,,568-1,29110,6,,
18,"9,200",,1989,2012,밤실로82번길,00023,00000,29110,01,0,4277115,산수동,0012,0000,29110,11000,1,동산로얄,2,18,29110-9,84.94,,12,29110,9,,
19,"6,500",,1984,2012,밤실로,00056,00003,29110,01,0,3162072,산수동,0025,0000,29110,11000,1,명성맨션,2,19,29110-11,59.49,,25,29110,5,,
20,"9,500",,1993,2012,밤실로,00147,00000,29110,01,0,3162072,산수동,0568,0001,29110,11000,1,금호두암타운,2,20,29110-8,94.57,,568-1,29110,4,,
21,"12,800",,1995,2012,밤실로,00150,00000,29110,01,0,3162072,산수동,0689,0000,29110,11000,1,두암그린파크,2,20,29110-54,84.99,,689,29110,7,,
22,"8,000",,1989,2012,밤실로82번길,00023,00000,29110,01,0,4277115,산수동,0012,0000,29110,11000,1,동산로얄,2,21,29110-9,84.94,,12,29110,6,,
23,"10,700",,1990,2012,필문대로145번길,00011,00012,29110,01,0,4277247,산수동,0240,0014,29110,11000,1,해광파크,2,24,29110-14,108.47,,240-14,29110,2,,
24,"16,000",,1993,2012,밤실로,00147,00000,29110,01,0,3162072,산수동,0568,0001,29110,11000,1,금호두암타운,2,25,29110-8,94.58,,568-1,29110,14,,
25,"14,350",,1991,2012,밤실로30번길,00011,00000,29110,01,0,4277108,지산동,0315,0001,29110,11100,1,삼성,2,3,29110-17,84.945,,315-1,29110,13,,
26,"7,500",,1983,2012,지호로,00068,00000,29110,03,0,3159016,지산동,0187,0001,29110,11100,1,푸른맨션,2,9,29110-21,63.27,,187-1,29110,3,,
27,"18,500",,1991,2012,밤실로30번길,00011,00000,29110,01,0,4277108,지산동,0315,0001,29110,11100,1,삼성,2,27,29110-17,151.32,,315-1,29110,1,,
28,"14,450",,1991,2012,밤실로30번길,00011,00000,29110,01,0,4277108,지산동,0315,0001,29110,11100,1,삼성,2,29,29110-17,84.945,,315-1,29110,11,,
29,"14,900",,2003,2012,학소로76번길,00014,00000,29110,01,0,4277272,소태동,0501,0000,29110,11900,1,모아미래도,2,7,29110-60,71.42,,501,29110,4,,
30,"15,000",,2003,2012,학소로76번길,00014,00000,29110,01,0,4277272,소태동,0501,0000,29110,11900,1,모아미래도,2,10,29110-60,84.64,,501,29110,7,,
31,"11,900",,1993,2012,지원로,00035,00000,29110,01,0,3159015,소태동,0480,0002,29110,11900,1,대아1차,2,13,29110-42,84.98,,480-2,29110,15,,
32,"15,500",,2003,2012,학소로76번길,00014,00000,29110,01,0,4277272,소태동,0501,0000,29110,11900,1,모아미래도,2,15,29110-60,72.58,,501,29110,18,,
33,"6,250",,1983,2012,학소로76번길,00002,00000,29110,01,0,4277272,소태동,0618,0000,29110,11900,1,백조맨션,2,17,29110-45,68.46,,618,29110,4,,
34,"5,500",,1983,2012,학소로76번길,00002,00000,29110,01,0,4277272,소태동,0618,0000,29110,11900,1,백조맨션,2,21,29110-45,55.31,,618,29110,3,,
35,"16,300",,2003,2012,학소로76번길,00014,00000,29110,01,0,4277272,소태동,0501,0000,29110,11900,1,모아미래도,2,21,29110-60,84.64,,501,29110,1,,
36,"7,900",,1986,2012,학소로,00080,00000,29110,01,0,3159017,소태동,0560,0011,29110,11900,1,신흥맨션,2,21,29110-47,67.995,,560-11,29110,4,,
37,"16,400",,2006,2012,남문로,00550,00000,29110,01,0,3159003,소태동,0691,0000,29110,11900,1,온세계아이조움,2,23,29110-283,84.9453,,691,29110,1,,
38,"20,500",,2006,2012,남문로,00550,00000,29110,01,0,3159003,소태동,0691,0000,29110,11900,1,온세계아이조움,2,27,29110-283,84.9453,,691,29110,15,,
39,"19,500",,2006,2012,남문로,00550,00000,29110,01,0,3159003,소태동,0691,0000,29110,11900,1,온세계아이조움,2,28,29110-283,84.9453,,691,29110,5,,
40,"12,700",,1990,2012,운림길,00023,00000,29110,01,0,4277156,운림동,0603,0000,29110,12100,1,무등파크맨션1차,2,3,29110-37,84.92,,603,29110,15,,
41,"15,500",,1992,2012,운림길,00029,00010,29110,01,0,4277156,운림동,0597,0000,29110,12100,1,무등파크맨션2차,2,3,29110-38,139.66,,597,29110,5,,
42,"10,000",,1995,2012,운림길,00068,00000,29110,01,0,4277156,운림동,0588,0000,29110,12100,1,무등스위트맨션,2,4,29110-35,60,,588,29110,12,,
43,"9,400",,1995,2012,운림길,00068,00000,29110,01,0,4277156,운림동,0588,0000,29110,12100,1,무등스위트맨션,2,4,29110-35,60,,588,29110,2,,
44,"17,500",,1992,2012,운림길,00029,00010,29110,01,0,4277156,운림동,0597,0000,29110,12100,1,무등파크맨션2차,2,6,29110-38,139.66,,597,29110,9,,
45,"12,500",,1990,2012,운림길,00023,00000,29110,01,0,4277156,운림동,0603,0000,29110,12100,1,무등파크맨션1차,2,9,29110-37,84.92,,603,29110,1,,
46,"12,000",,1992,2012,의재로,00149,00007,29110,02,0,3159010,운림동,0654,0000,29110,12100,1,라인2차,2,14,29110-33,133.39,,654,29110,4,,
47,"15,400",,1992,2012,의재로,00149,00007,29110,02,0,3159010,운림동,0654,0000,29110,12100,1,라인2차,2,17,29110-33,84.7,,654,29110,17,,
48,"11,000",,1992,2012,운림길,00029,00010,29110,01,0,4277156,운림동,0597,0000,29110,12100,1,무등파크맨션2차,2,18,29110-38,80.61,,597,29110,17,,
49,"20,000",,1994,2012,의재로,00149,00004,29110,02,0,3159010,운림동,0681,0000,29110,12100,1,무등스위트빌라,2,22,29110-36,148.4,,681,29110,5,,
50,"15,800",,1995,2012,운림길,00068,00000,29110,01,0,4277156,운림동,0588,0000,29110,12100,1,무등스위트맨션,2,24,29110-35,84.95,,588,29110,5,,
51,"17,500",,2003,2012,운림길75번길,00017,00000,29110,01,0,4277157,운림동,0582,0000,29110,12100,1,보라빌라,2,24,29110-40,155.7024,,582,29110,3,,
52,"16,800",,2011,2012,남문로693번길,00011,00000,29110,01,0,4277049,학동,1012,0000,29110,12200,1,학2마을아파트,2,9,29110-303,84.8,,1012,29110,15,,
53,"13,100",,1989,2012,남문로,00676,00000,29110,02,0,3159003,학동,0750,0001,29110,12200,1,삼익세라믹,2,11,29110-27,76.9,,750-1,29110,13,,
54,"19,500",,1989,2012,남문로,00676,00000,29110,02,0,3159003,학동,0750,0001,29110,12200,1,삼익세라믹,2,13,29110-27,154.18,,750-1,29110,10,,
55,"20,224",,2011,2012,남문로693번길,00011,00000,29110,01,0,4277049,학동,1012,0000,29110,12200,1,학2마을아파트,2,13,29110-303,84.98,,1012,29110,20,,
56,"13,000",,1984,2012,학소로,00125,00000,29110,02,0,3159017,학동,0768,0000,29110,12200,1,평화맨션,2,13,29110-29,84.51,,768,29110,7,,
57,"9,250",,1994,2012,의재로,00023,00008,29110,03,0,3159010,학동,0676,0001,29110,12200,1,아남,2,13,29110-28,59.76,,676-1,29110,16,,
58,"14,000",,1984,2012,학소로,00125,00000,29110,02,0,3159017,학동,0768,0000,29110,12200,1,평화맨션,2,14,29110-29,129.69,,768,29110,5,,
59,"12,300",,1989,2012,남문로,00676,00000,29110,02,0,3159003,학동,0750,0001,29110,12200,1,삼익세라믹,2,18,29110-27,76.9,,750-1,29110,15,,
60,"23,000",,2002,2012,증심천로,00088,00000,29110,02,0,3159013,학동,0262,0001,29110,12200,1,금호베스트빌,2,18,29110-31,126.274,,262-1,29110,3,,
