,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"24,200",,2006,2012,시민로,00165,00000,41131,02,0,3178033,신흥동,5180,0000,41131,10100,1,샤르망,1,1,41131-1224,67.28,,5180,41131,9,,
1,"23,500",,1986,2012,공원로,00470,00000,41131,01,0,3179003,신흥동,0089,0001,41131,10100,1,통보8,1,4,41131-4,67.5,,89-1,41131,1,,
2,"40,000",,1986,2012,수정로,00289,00000,41131,01,0,3178018,신흥동,0010,0000,41131,10100,1,주공고층,1,6,41131-2,64.62,,10,41131,10,,
3,"36,500",,1986,2012,수정로,00289,00000,41131,01,0,3178018,신흥동,0010,0000,41131,10100,1,주공고층,1,7,41131-2,61.52,,10,41131,9,,
4,"37,000",,1986,2012,수정로,00289,00000,41131,01,0,3178018,신흥동,0010,0000,41131,10100,1,주공고층,1,7,41131-2,61.52,,10,41131,6,,
5,"37,100",,1986,2012,수정로,00289,00000,41131,01,0,3178018,신흥동,0010,0000,41131,10100,1,주공고층,1,10,41131-2,61.52,,10,41131,5,,
6,"19,200",,1986,2012,공원로,00470,00000,41131,01,0,3179003,신흥동,0089,0001,41131,10100,1,통보8,1,10,41131-4,45,,89-1,41131,5,,
7,"33,500",,1993,2012,공원로,00360,00000,41131,01,0,3179003,신흥동,2024,0000,41131,10100,1,두산,1,12,41131-1,84.47,,2024,41131,12,,
8,"27,500",,1994,2012,공원로,00340,00000,41131,01,0,3179003,신흥동,2464,0001,41131,10100,1,청구,1,14,41131-3,63.45,,2464-1,41131,7,,
9,"31,800",,1993,2012,공원로,00360,00000,41131,01,0,3179003,신흥동,2024,0000,41131,10100,1,두산,1,16,41131-1,84.47,,2024,41131,11,,
