,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"60,000",,2007,2012,관문로,00151,00000,41290,01,0,3195003,중앙동,0071,0000,41290,10700,1,래미안에코팰리스,1,21,41290-146,59.993,,71,41290,2,,
1,"85,000",,1980,2012,관문로,00128,00000,41290,01,0,3195003,중앙동,0037,0000,41290,10700,1,주공1,1,30,41290-6,82.18,,37,41290,3,,
2,"59,000",,1980,2012,관문로,00128,00000,41290,01,0,3195003,중앙동,0037,0000,41290,10700,1,주공1,1,31,41290-6,46.44,,37,41290,2,,
3,"53,500",,2008,2012,별양로,00012,00000,41290,01,0,3195020,원문동,0004,0000,41290,10800,1,래미안슈르,1,4,41290-181,59.973,,4,41290,8,,
4,"89,000",,2008,2012,별양로,00012,00000,41290,01,0,3195020,원문동,0004,0000,41290,10800,1,래미안슈르,1,8,41290-181,116.99,,4,41290,8,,
5,"31,500",,1982,2012,별양로,00013,00000,41290,01,0,3195020,원문동,0002,0000,41290,10800,1,주공2,1,11,41290-17,20.07,,2,41290,1,,
6,"71,000",,2008,2012,별양로,00012,00000,41290,01,0,3195020,원문동,0004,0000,41290,10800,1,래미안슈르,1,11,41290-181,84.961,,4,41290,10,,
7,"53,000",,2008,2012,별양로,00012,00000,41290,01,0,3195020,원문동,0004,0000,41290,10800,1,래미안슈르,1,12,41290-181,59.973,,4,41290,3,,
8,"72,300",,2008,2012,별양로,00012,00000,41290,01,0,3195020,원문동,0004,0000,41290,10800,1,래미안슈르,1,18,41290-181,84.964,,4,41290,18,,
9,"33,200",,1982,2012,별양로,00013,00000,41290,01,0,3195020,원문동,0002,0000,41290,10800,1,주공2,1,20,41290-17,20.2,,2,41290,5,,
10,"53,500",,2008,2012,별양로,00012,00000,41290,01,0,3195020,원문동,0004,0000,41290,10800,1,래미안슈르,1,20,41290-181,59.973,,4,41290,7,,
