,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"9,500",,1999,2012,왕방로,00159,00000,41650,01,0,3213033,신읍동,0143,0004,41650,10100,1,유한,1,2,41650-3,59.875,,143-4,41650,20,,
1,"4,800",,1985,2012,포천로,01605,00001,41650,01,0,3213046,신읍동,0167,0004,41650,10100,1,은하,1,2,41650-4,46.92,,167-4,41650,3,,
2,"9,250",,1999,2012,왕방로,00159,00000,41650,01,0,3213033,신읍동,0143,0004,41650,10100,1,유한,1,5,41650-3,59.875,,143-4,41650,17,,
3,"10,500",,1999,2012,왕방로,00159,00000,41650,01,0,3213033,신읍동,0143,0004,41650,10100,1,유한,1,5,41650-3,59.875,,143-4,41650,3,,
4,"14,500",,1996,2012,포천로,01644,00000,41650,01,0,3213046,신읍동,0235,0011,41650,10100,1,현대,1,6,41650-8,84.97,,235-11,41650,8,,
5,"27,000",,2008,2012,왕방로118번길,00010,00000,41650,01,0,4439438,신읍동,0698,0000,41650,10100,1,포천극동2차스타클래스,1,9,41650-520,108.194,,698,41650,8,,
6,"13,150",,1999,2012,왕방로,00159,00000,41650,01,0,3213033,신읍동,0143,0004,41650,10100,1,유한,1,10,41650-3,84.96,,143-4,41650,8,,
7,"8,000",,1999,2012,호병골길,00041,00005,41650,01,0,4439832,신읍동,0307,0000,41650,10100,1,일신,1,13,41650-27,49.92,,307,41650,6,,
8,"10,000",,1999,2012,왕방로,00159,00000,41650,01,0,3213033,신읍동,0143,0004,41650,10100,1,유한,1,19,41650-3,59.875,,143-4,41650,23,,
9,"6,100",,1999,2012,호병골길,00041,00005,41650,01,0,4439832,신읍동,0307,0000,41650,10100,1,일신,1,19,41650-27,39.95,,307,41650,8,,
10,"9,000",,1993,2012,호병골길,00016,00000,41650,01,0,4439832,신읍동,0295,0023,41650,10100,1,한국,1,19,41650-6,69.84,,295-23,41650,2,,
11,"19,400",,2008,2012,왕방로118번길,00010,00000,41650,01,0,4439438,신읍동,0698,0000,41650,10100,1,포천극동2차스타클래스,1,26,41650-520,84.9645,,698,41650,1,,
12,"13,800",,1997,2012,학동로,00047,00000,41650,01,0,3213047,신읍동,0227,0008,41650,10100,1,한신,1,27,41650-7,84.98,,227-8,41650,16,,
13,"11,500",,1996,2012,포천로,01644,00000,41650,01,0,3213046,신읍동,0235,0011,41650,10100,1,현대,1,28,41650-8,84.97,,235-11,41650,1,,
14,"7,500",,1999,2012,호병골길,00041,00005,41650,01,0,4439832,신읍동,0307,0000,41650,10100,1,일신,1,28,41650-27,49.92,,307,41650,5,,
15,"5,200",,1985,2012,포천로,01605,00001,41650,01,0,3213046,신읍동,0167,0004,41650,10100,1,은하,1,30,41650-4,46.92,,167-4,41650,2,,
16,"12,000",,1997,2012,솔모루로3번길,00052,00036,41650,01,0,4439307,소흘읍 송우리,0392,0012,41650,25021,1,전원우정아파트,1,2,41650-10,59.94,,392-12,41650,13,,
17,"13,500",,2005,2012,태봉로,00153,00000,41650,00,,3213063,소흘읍 송우리,0727,0002,41650,25021,1,태봉마을,1,3,41650-75,51.72,,727-2,41650,13,,
18,"15,500",,1993,2012,봉솔로2길,00015,00000,41650,01,0,4439198,소흘읍 송우리,0150,0000,41650,25021,1,원일산호,1,5,41650-11,82.05,,150,41650,5,,
