,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"14,000",,2001,2012,세종로,00173,00069,41670,01,0,3214032,홍문동,0353,0000,41670,10200,1,동원,1,5,41670-20,59.469,,353,41670,11,,
1,"13,000",,2001,2012,세종로,00173,00069,41670,01,0,3214032,홍문동,0353,0000,41670,10200,1,동원,1,5,41670-20,59.469,,353,41670,18,,
2,"13,900",,2001,2012,세종로,00173,00069,41670,01,0,3214032,홍문동,0353,0000,41670,10200,1,동원,1,10,41670-20,59.469,,353,41670,7,,
3,"13,300",,1996,2012,세종로,00061,00000,41670,01,0,3214032,홍문동,0181,0000,41670,10200,1,"홍문현대102,104,105동",1,21,41670-18,59.72,,181,41670,7,,
4,"10,800",,1993,2012,세종로,00173,00065,41670,01,0,3214032,홍문동,0377,0001,41670,10200,1,상우1차,1,25,41670-7,59.535,,377-1,41670,5,,
5,"10,500",,2001,2012,세종로,00173,00069,41670,01,0,3214032,홍문동,0353,0000,41670,10200,1,동원,1,25,41670-20,49.2911,,353,41670,15,,
6,"8,900",,2001,2012,세종로,00173,00069,41670,01,0,3214032,홍문동,0353,0000,41670,10200,1,동원,1,25,41670-20,49.2911,,353,41670,11,,
7,"9,000",,2001,2012,세종로,00173,00069,41670,01,0,3214032,홍문동,0353,0000,41670,10200,1,동원,1,25,41670-20,49.2911,,353,41670,10,,
8,"8,900",,2001,2012,세종로,00173,00069,41670,01,0,3214032,홍문동,0353,0000,41670,10200,1,동원,1,25,41670-20,49.2911,,353,41670,17,,
9,"11,000",,1993,2012,세종로,00173,00065,41670,01,0,3214032,홍문동,0377,0001,41670,10200,1,상우1차,1,26,41670-7,59.535,,377-1,41670,16,,
10,"13,300",,1996,2012,세종로,00061,00000,41670,01,0,3214032,홍문동,0181,0000,41670,10200,1,"홍문현대103동,106동",1,30,41670-9,59.72,,181,41670,21,,
11,"18,700",,2003,2012,세종로,00254,00016,41670,03,0,3214032,교동,0081,0002,41670,10800,1,호반리젠시빌,1,7,41670-21,84.8742,,81-2,41670,10,,
12,"15,400",,2003,2012,세종로,00254,00016,41670,03,0,3214032,교동,0081,0002,41670,10800,1,호반리젠시빌,1,11,41670-21,71.1562,,81-2,41670,13,,
13,"19,950",,2006,2012,세종로,00204,00022,41670,03,0,3214032,교동,0127,0000,41670,10800,1,예일세띠앙,1,11,41670-199,74.14,,127,41670,12,,
14,"16,500",,2003,2012,세종로,00254,00016,41670,03,0,3214032,교동,0081,0002,41670,10800,1,호반리젠시빌,1,13,41670-21,71.1562,,81-2,41670,9,,
