,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"17,200",,2006,2012,전곡로,00024,00000,41800,01,0,3215038,전곡읍 전곡리,0684,0000,41800,25321,1,전곡예일세띠앙,1,4,41800-124,84.862,,684,41800,16,,
1,"3,500",,1993,2012,전곡로75번길,00044,00000,41800,01,0,4445352,전곡읍 전곡리,0267,0006,41800,25321,1,진상,1,9,41800-23,47.49,,267-6,41800,1,,
2,"14,200",,2006,2012,전곡로,00024,00000,41800,01,0,3215038,전곡읍 전곡리,0684,0000,41800,25321,1,전곡예일세띠앙,1,9,41800-124,66.604,,684,41800,6,,
3,"7,400",,1992,2012,밤골로,00007,00000,41800,01,0,3215016,전곡읍 전곡리,0263,0000,41800,25321,1,조흥,1,16,41800-4,77.39,,263,41800,2,,
4,"14,000",,2006,2012,전곡로,00024,00000,41800,01,0,3215038,전곡읍 전곡리,0684,0000,41800,25321,1,전곡예일세띠앙,1,25,41800-124,66.604,,684,41800,8,,
5,"4,200",,1991,2012,선사로,00373,00000,41800,01,0,3215024,전곡읍 전곡리,0324,0043,41800,25321,1,방림,1,30,41800-13,45.53,,324-43,41800,2,,
0,"10,000",,1995,2012,전은길,00024,00000,41800,01,0,4445375,전곡읍 전곡리,0411,0003,41800,25321,1,명정,2,1,41800-3,133.64,,411-3,41800,6,,
1,"13,700",,2006,2012,전곡로,00024,00000,41800,01,0,3215038,전곡읍 전곡리,0684,0000,41800,25321,1,전곡예일세띠앙,2,1,41800-124,66.604,,684,41800,10,,
2,"11,950",,2002,2012,선사로,00415,00000,41800,01,0,3215024,전곡읍 전곡리,0330,0003,41800,25321,1,전곡석미한아름,2,3,41800-5,56.759,,330-3,41800,9,,
3,"9,350",,1999,2012,선사로,00369,00000,41800,01,0,3215024,전곡읍 전곡리,0324,0008,41800,25321,1,은서,2,4,41800-11,78.27,,324-8,41800,9,,
4,"13,900",,2006,2012,전곡로,00024,00000,41800,01,0,3215038,전곡읍 전곡리,0684,0000,41800,25321,1,전곡예일세띠앙,2,7,41800-124,66.604,,684,41800,7,,
5,"12,000",,2006,2012,전곡로,00024,00000,41800,01,0,3215038,전곡읍 전곡리,0684,0000,41800,25321,1,전곡예일세띠앙,2,15,41800-124,66.604,,684,41800,11,,
6,"9,700",,1995,2012,전은길,00024,00000,41800,01,0,4445375,전곡읍 전곡리,0411,0003,41800,25321,1,명정,2,17,41800-3,59.99,,411-3,41800,14,,
7,"5,500",,2002,2012,선사로,00415,00000,41800,01,0,3215024,전곡읍 전곡리,0330,0003,41800,25321,1,전곡석미한아름,2,22,41800-5,38.094,,330-3,41800,14,,
8,"9,850",,2009,2012,선사로,00377,00000,41800,01,0,3215024,전곡읍 전곡리,0325,0010,41800,25321,1,샤인,2,22,41800-128,59.25,,325-10,41800,5,,
9,"4,300",,1997,2012,전영로11번길,00026,00000,41800,01,0,4445358,전곡읍 전곡리,0449,0018,41800,25321,1,강민,2,23,41800-20,34.98,,449-18,41800,3,,
10,"6,200",,2002,2012,선사로,00415,00000,41800,01,0,3215024,전곡읍 전곡리,0330,0003,41800,25321,1,전곡석미한아름,2,27,41800-5,38.094,,330-3,41800,3,,
11,"6,400",,1995,2012,전곡로87번길,00034,00000,41800,01,0,4445353,전곡읍 전곡리,0318,0007,41800,25321,1,유명,2,27,41800-10,53.11,,318-7,41800,6,,
12,"6,200",,2002,2012,선사로,00415,00000,41800,01,0,3215024,전곡읍 전곡리,0330,0003,41800,25321,1,전곡석미한아름,2,28,41800-5,38.094,,330-3,41800,15,,
