,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"9,700",,1995,2012,중앙로,00012,00000,41830,01,0,3217044,양평읍 양근리,0137,0048,41830,25021,1,그린맨션2,1,2,41830-2,59.76,,137-48,41830,1,,
1,"21,900",,1996,2012,관문길,00068,00009,41830,01,0,4451115,양평읍 양근리,0140,0005,41830,25021,1,양평현대,1,5,41830-5,84.87,,140-5,41830,12,,
2,"27,500",,2006,2012,양근로,00119,00000,41830,01,0,3217015,양평읍 양근리,0651,0000,41830,25021,1,에스케이뷰아파트,1,10,41830-269,93.68,,651,41830,14,,
3,"19,900",,1992,2012,중앙로,00014,00000,41830,01,0,3217044,양평읍 양근리,0091,0005,41830,25021,1,그린맨션1,1,12,41830-1,131.02,,91-5,41830,12,,
4,"8,700",,1995,2012,관문길18번길,00010,00000,41830,01,0,4451116,양평읍 양근리,0170,0007,41830,25021,1,금광2,1,15,41830-4,42.65,,170-7,41830,6,,
5,"14,400",,1996,2012,관문길,00068,00009,41830,01,0,4451115,양평읍 양근리,0140,0005,41830,25021,1,양평현대,1,15,41830-5,59.7,,140-5,41830,18,,
6,"17,500",,1995,2012,중앙로,00012,00000,41830,01,0,3217044,양평읍 양근리,0137,0048,41830,25021,1,그린맨션2,1,17,41830-2,84.9,,137-48,41830,4,,
7,"22,500",,1996,2012,관문길,00068,00009,41830,01,0,4451115,양평읍 양근리,0140,0005,41830,25021,1,양평현대,1,19,41830-5,84.87,,140-5,41830,11,,
8,"26,700",,2006,2012,양근로,00119,00000,41830,01,0,3217015,양평읍 양근리,0651,0000,41830,25021,1,에스케이뷰아파트,1,19,41830-269,84.92,,651,41830,12,,
9,"12,900",,1995,2012,관문길18번길,00010,00000,41830,01,0,4451116,양평읍 양근리,0170,0007,41830,25021,1,금광2,1,20,41830-4,59.65,,170-7,41830,8,,
10,"50,678",,2010,2012,양근로,00133,00000,41830,01,0,3217015,양평읍 양근리,0655,0000,41830,25021,1,코아루리버팰리스,1,31,41830-321,155.696,,655,41830,9,,
11,"35,270",,2010,2012,중앙로167번길,00060,00000,41830,01,0,4452255,양평읍 백안리,0875,0000,41830,25026,1,블루밍1단지,1,3,41830-326,134.8772,,875,41830,1,,
12,"37,416",,2010,2012,중앙로167번길,00062,00000,41830,01,0,4452255,양평읍 백안리,0876,0000,41830,25026,1,블루밍2단지,1,30,41830-325,134.8772,,876,41830,13,,
13,"21,160",,2010,2012,강남로,00867,00000,41830,01,0,3217033,강상면 병산리,1206,0000,41830,31021,1,양평현대성우(2단지),1,18,41830-323,69.704,,1206,41830,11,,
