,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"5,500",,1991,2012,동굴로,00040,00000,42170,01,0,3221015,천곡동,1004,0012,42170,10100,1,시영1차,1,2,42170-9,59.715,,1004-12,42170,1,,
1,"3,500",,1989,2012,샘실1길,00005,00000,42170,01,0,4463141,천곡동,0415,0000,42170,10100,1,천곡주공4차,1,4,42170-18,39.99,,415,42170,4,,
2,"8,300",,1996,2012,감추7길,00022,00011,42170,01,0,4463011,천곡동,0091,0002,42170,10100,1,롯데,1,6,42170-3,59.88,,91-2,42170,6,,
3,"8,200",,1996,2012,천곡1길,00003,00000,42170,01,0,4463194,천곡동,0802,0001,42170,10100,1,유공타워,1,6,42170-15,59.256,,802-1,42170,11,,
4,"9,800",,1991,2012,대학로,00031,00000,42170,01,0,3221033,천곡동,1077,0000,42170,10100,1,삼성,1,8,42170-5,84.99,,1077,42170,2,,
5,"3,700",,1989,2012,샘실1길,00005,00000,42170,01,0,4463141,천곡동,0415,0000,42170,10100,1,천곡주공4차,1,10,42170-18,39.69,,415,42170,3,,
6,"4,900",,1994,2012,감추1길,00008,00000,42170,01,0,4463005,천곡동,0965,0001,42170,10100,1,범주성지(가나),1,11,42170-4,45.37,,965-1,42170,1,,
7,"17,700",,2007,2012,평릉길,00014,00000,42170,01,0,4463212,천곡동,1102,0000,42170,10100,1,동해금호어울림,1,11,42170-302,84.908,,1102,42170,10,,
8,"4,500",,1983,2012,천곡로,00020,00000,42170,01,0,3221044,천곡동,1080,0000,42170,10100,1,천곡주공1차,1,12,42170-16,43.97,,1080,42170,5,,
9,"4,900",,1991,2012,천곡로,00015,00000,42170,01,0,3221044,천곡동,0794,0000,42170,10100,1,한양2차,1,17,42170-22,49.81,,794,42170,6,,
10,"6,900",,1992,2012,천곡로,00015,00000,42170,01,0,3221044,천곡동,0794,0000,42170,10100,1,한양3차,1,17,42170-23,72.71,,794,42170,1,,
11,"19,500",,2007,2012,평릉길,00014,00000,42170,01,0,4463212,천곡동,1102,0000,42170,10100,1,동해금호어울림,1,18,42170-302,84.906,,1102,42170,25,,
12,"10,900",,1992,2012,천곡로,00056,00003,42170,01,,3221044,천곡동,1077,0002,42170,10100,1,동아,1,19,42170-1,84.97,,1077-2,42170,13,,
13,"3,700",,1989,2012,샘실1길,00005,00000,42170,01,0,4463141,천곡동,0415,0000,42170,10100,1,천곡주공4차,1,20,42170-18,39.3,,415,42170,3,,
14,"11,800",,1992,2012,천곡로,00056,00003,42170,01,,3221044,천곡동,1077,0002,42170,10100,1,동아,1,21,42170-1,84.97,,1077-2,42170,4,,
15,"3,630",,1983,2012,천곡로,00020,00000,42170,01,0,3221044,천곡동,1080,0000,42170,10100,1,천곡주공1차,1,26,42170-16,44.78,,1080,42170,4,,
