,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"6,200",,2003,2012,정상로,00079,00000,42230,01,0,3224027,교동,0757,0000,42230,10600,1,교동청솔2차,1,5,42230-75,59.85,,757,42230,1,,
1,"7,000",,1996,2012,동해대로,04273,00000,42230,01,0,2000023,교동,0501,0005,42230,10600,1,동부,1,9,42230-17,59.83,,501-5,42230,2,,
2,"4,800",,1993,2012,동해대로,04122,00021,42230,01,0,2000023,교동,0130,0002,42230,10600,1,강부2,1,11,42230-16,49.815,,130-2,42230,11,,
3,"6,500",,1996,2012,동해대로,04273,00000,42230,01,0,2000023,교동,0501,0005,42230,10600,1,동부,1,11,42230-17,59.83,,501-5,42230,4,,
4,"9,300",,1998,2012,정상로,00090,00000,42230,01,0,3224027,교동,0745,0001,42230,10600,1,신동아,1,25,42230-18,59.895,,745-1,42230,15,,
5,"6,300",,2003,2012,정상로,00079,00000,42230,01,0,3224027,교동,0757,0000,42230,10600,1,교동청솔2차,1,28,42230-75,59.85,,757,42230,1,,
6,"8,500",,2005,2012,교동로,00113,00000,42230,02,0,3223002,교동,0733,0001,42230,10600,1,교동코아루,1,28,42230-204,60,,733-1,42230,3,,
7,"13,700",,1995,2012,중앙로,00191,00000,42230,03,0,3224040,남양동,0093,0005,42230,12000,1,용비타워,1,9,42230-5,135,,93-5,42230,9,,
8,"8,450",,1991,2012,봉황로,00091,00042,42230,03,0,3224017,남양동,0005,0006,42230,12000,1,강부맨션,1,20,42230-1,64.25,,5-6,42230,7,,
9,"4,200",,1988,2012,남양길,00063,00024,42230,01,0,4472053,남양동,0348,0003,42230,12000,1,백조임대(348-3),1,21,42230-52,49.3,,348-3,42230,4,,
10,"6,500",,1995,2012,동해대로,04122,00020,42230,06,0,2000023,정상동,0356,0002,42230,12500,1,강부3차,1,5,42230-24,58.71,,356-2,42230,14,,
11,"4,700",,1999,2012,동해대로,04044,00013,42230,06,0,2000023,정상동,0316,0003,42230,12500,1,유성,1,9,42230-80,48.03,,316-3,42230,14,,
12,"4,500",,1999,2012,동해대로,04044,00013,42230,06,0,2000023,정상동,0316,0003,42230,12500,1,유성,1,10,42230-80,48.03,,316-3,42230,13,,
13,"6,150",,2002,2012,청석로,00064,00000,42230,02,0,3224031,정상동,0457,0001,42230,12500,1,청솔1차,1,10,42230-81,59.85,,457-1,42230,11,,
14,"6,200",,2002,2012,청석로,00064,00000,42230,02,0,3224031,정상동,0457,0001,42230,12500,1,청솔1차,1,10,42230-81,59.85,,457-1,42230,10,,
15,"3,700",,1999,2012,동해대로,04044,00013,42230,06,0,2000023,정상동,0316,0003,42230,12500,1,유성,1,11,42230-80,39.48,,316-3,42230,7,,
16,"6,600",,1998,2012,청석로,00078,00000,42230,02,0,3224031,정상동,0457,0003,42230,12500,1,석미,1,11,42230-82,56.97,,457-3,42230,6,,
17,"6,150",,2002,2012,청석로,00064,00000,42230,02,0,3224031,정상동,0457,0001,42230,12500,1,청솔1차,1,11,42230-81,59.85,,457-1,42230,11,,
18,"5,300",,1999,2012,동해대로,04044,00013,42230,06,0,2000023,정상동,0316,0003,42230,12500,1,유성,1,12,42230-80,59.43,,316-3,42230,3,,
