,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"4,900",,1990,2012,단종로,00088,00000,42750,01,0,3227006,영월읍 영흥리,1049,0016,42750,25021,1,삼호,1,16,42750-4,59.97,,1049-16,42750,3,,
1,"3,500",,1990,2012,단종로,00094,00000,42750,01,0,3227006,영월읍 영흥리,1049,0096,42750,25021,1,동산,1,17,42750-1,60,,1049-96,42750,5,,
2,"12,800",,2006,2012,은행나무1길,00072,00000,42750,01,0,4481189,영월읍 하송리,0027,0013,42750,25022,1,대한리버타운,1,4,42750-119,108.63,,27-13,42750,2,,
3,"6,250",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,1,10,42750-12,49.96,,403,42750,12,,
4,"4,400",,1983,2012,중앙로,00004,00000,42750,01,0,3227034,영월읍 하송리,0189,0002,42750,25022,1,하송주공1차,1,16,42750-6,38.57,,189-2,42750,2,,
5,"6,100",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,1,30,42750-12,49.96,,403,42750,12,,
6,"6,500",,1983,2012,중앙로,00004,,42750,00,0,3227034,영월읍 하송리,0189,0002,42750,25022,1,하송주공1차,1,31,42750-6,53.96,,189-2,42750,3,,
7,"4,500",,1994,2012,중리1길,00108,00000,42750,01,0,4481223,영월읍 덕포리,0505,0011,42750,25024,1,금용,1,18,42750-9,51.48,,505-11,42750,13,,
8,"4,900",,1994,2012,중리1길,00108,00000,42750,01,0,4481223,영월읍 덕포리,0505,0011,42750,25024,1,금용,1,25,42750-9,59.82,,505-11,42750,15,,
0,"3,500",,1989,2012,봉래산로,00090,00012,42750,01,0,3227010,영월읍 영흥리,0726,0002,42750,25021,1,명보,2,22,42750-3,53.535,,726-2,42750,4,,
1,"3,200",,1990,2012,단종로,00094,00000,42750,01,0,3227006,영월읍 영흥리,1049,0096,42750,25021,1,동산,2,29,42750-1,62.82,,1049-96,42750,1,,
2,"7,000",,1983,2012,중앙로,00004,,42750,00,0,3227034,영월읍 하송리,0189,0002,42750,25022,1,하송주공1차,2,1,42750-6,54.09,,189-2,42750,1,,
3,"13,972",,2012,2012,하송로,00146,00010,42750,01,0,3227027,영월읍 하송리,0363,0000,42750,25022,1,드림채,2,3,42750-137,74.4739,,363,42750,7,,
4,"5,700",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,2,6,42750-12,49.96,,403,42750,8,,
5,"4,900",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,2,6,42750-12,49.96,,403,42750,8,,
6,"6,000",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,2,7,42750-12,49.96,,403,42750,11,,
7,"5,900",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,2,8,42750-12,49.96,,403,42750,9,,
8,"4,100",,1992,2012,하송로,00103,00004,42750,01,0,3227027,영월읍 하송리,0389,0000,42750,25022,1,주공2,2,9,42750-7,39.99,,389,42750,1,,
9,"16,431",,2012,2012,하송로,00146,00010,42750,01,0,3227027,영월읍 하송리,0363,0000,42750,25022,1,드림채,2,9,42750-137,84.938,,363,42750,14,,
10,"4,400",,1999,2012,하송로,00123,00007,42750,01,0,3227027,영월읍 하송리,0394,0000,42750,25022,1,주공4,2,14,42750-8,49.96,,394,42750,11,,
11,"5,900",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,2,14,42750-12,49.96,,403,42750,5,,
12,"13,972",,2012,2012,하송로,00146,00010,42750,01,0,3227027,영월읍 하송리,0363,0000,42750,25022,1,드림채,2,16,42750-137,74.4739,,363,42750,5,,
13,"16,431",,2012,2012,하송로,00146,00010,42750,01,0,3227027,영월읍 하송리,0363,0000,42750,25022,1,드림채,2,17,42750-137,84.938,,363,42750,18,,
14,"14,601",,2012,2012,하송로,00146,00010,42750,01,0,3227027,영월읍 하송리,0363,0000,42750,25022,1,드림채,2,18,42750-137,74.4739,,363,42750,18,,
15,"6,400",,1999,2012,하송로,00123,00007,42750,01,0,3227027,영월읍 하송리,0394,0000,42750,25022,1,주공4,2,21,42750-8,59.8,,394,42750,2,,
16,"6,300",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,2,21,42750-12,49.96,,403,42750,14,,
17,"7,470",,1999,2012,하송로,00123,00007,42750,01,0,3227027,영월읍 하송리,0394,0000,42750,25022,1,주공4,2,27,42750-8,59.8,,394,42750,10,,
18,"6,100",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,2,27,42750-12,49.96,,403,42750,14,,
19,"6,000",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,2,29,42750-12,49.96,,403,42750,4,,
20,"6,200",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,2,29,42750-12,49.96,,403,42750,8,,
21,"7,000",,1994,2012,중리1길,00108,00000,42750,01,0,4481223,영월읍 덕포리,0505,0011,42750,25024,1,금용,2,14,42750-9,73.58,,505-11,42750,5,,
0,"3,200",,1989,2012,봉래산로,00090,00012,42750,01,0,3227010,영월읍 영흥리,0726,0002,42750,25021,1,명보,3,8,42750-3,44,,726-2,42750,1,,
1,"2,000",,1990,2012,단종로,00088,00000,42750,01,0,3227006,영월읍 영흥리,1049,0016,42750,25021,1,삼호,3,14,42750-4,44.67,,1049-16,42750,6,,
2,"10,500",,2009,2012,금강공원길,00015,00000,42750,01,0,4481025,영월읍 영흥리,0850,0003,42750,25021,1,J-클래식B동,3,16,42750-131,59.5,,850-3,42750,2,,
3,"4,400",,1992,2012,하송로,00103,00004,42750,01,0,3227027,영월읍 하송리,0389,0000,42750,25022,1,주공2,3,2,42750-7,47.31,,389,42750,5,,
4,"7,300",,1999,2012,하송로,00123,00007,42750,01,0,3227027,영월읍 하송리,0394,0000,42750,25022,1,주공4,3,7,42750-8,59.8,,394,42750,2,,
5,"7,300",,1999,2012,하송로,00123,00007,42750,01,0,3227027,영월읍 하송리,0394,0000,42750,25022,1,주공4,3,8,42750-8,59.8,,394,42750,12,,
6,"16,700",,2012,2012,하송로,00146,00010,42750,01,0,3227027,영월읍 하송리,0363,0000,42750,25022,1,드림채,3,8,42750-137,84.938,,363,42750,5,,
7,"6,500",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,3,8,42750-12,49.96,,403,42750,6,,
8,"5,500",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,3,8,42750-12,49.96,,403,42750,1,,
9,"14,601",,2012,2012,하송로,00146,00010,42750,01,0,3227027,영월읍 하송리,0363,0000,42750,25022,1,드림채,3,9,42750-137,74.4739,,363,42750,18,,
10,"6,100",,1998,2012,하송로,00123,00004,42750,01,0,3227027,영월읍 하송리,0403,0000,42750,25022,1,주공3,3,12,42750-12,49.96,,403,42750,5,,
