,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"5,800",,1992,2012,서동로,02543,00006,42760,01,0,3219074,평창읍 중리,0269,0008,42760,25022,1,강변,1,19,42760-1,55.7,,269-8,42760,3,,
1,"5,800",,1993,2012,백오로,00158,00000,42760,01,0,3228012,평창읍 중리,0304,0000,42760,25022,1,유존양지,1,30,42760-4,49.89,,304,42760,1,,
2,"6,750",,1993,2012,백오로,00158,00000,42760,01,0,3228012,평창읍 중리,0304,0000,42760,25022,1,유존양지,1,31,42760-4,58.83,,304,42760,2,,
3,"6,900",,2000,2012,종부로,00073,00000,42760,01,0,3228023,평창읍 종부리,0576,0001,42760,25025,1,녹주한아름,1,12,42760-17,51.75,,576-1,42760,3,,
4,"7,700",,2004,2012,태기로,00101,00033,42760,01,0,3228037,봉평면 무이리,0691,0045,42760,34026,1,장웅파인힐,1,8,42760-14,47.19,,691-45,42760,4,,
5,"7,900",,2003,2012,태기로,00151,00000,42760,01,0,3228037,봉평면 무이리,0709,0000,42760,34026,1,해피밸리,1,20,42760-16,36.5545,,709,42760,10,,
6,"4,300",,1993,2012,청송로,00074,00000,42760,01,0,3228026,진부면 하진부리,0166,0003,42760,36021,1,시대,1,13,42760-11,54.66,,166-3,42760,10,,
7,"4,050",,1998,2012,송정택지1길,00037,00000,42760,01,0,4484226,진부면 송정리,2538,0000,42760,36023,1,성원,1,4,42760-22,38.365,,2538,42760,4,,
8,"4,100",,1998,2012,송정택지1길,00037,00000,42760,01,0,4484226,진부면 송정리,2538,0000,42760,36023,1,성원,1,5,42760-22,38.365,,2538,42760,14,,
9,"4,000",,1998,2012,송정택지1길,00037,00000,42760,01,0,4484226,진부면 송정리,2538,0000,42760,36023,1,성원,1,31,42760-22,38.365,,2538,42760,10,,
10,"2,600",,2001,2012,차항길,00114,00004,42760,01,0,4484347,대관령면 차항리,0006,0002,42760,38023,1,유덕휴먼빌리지,1,18,42760-23,39.8533,,6-2,42760,6,,
11,"24,800",,2006,2012,올림픽로,00026,00011,42760,01,0,3228021,대관령면 횡계리,0376,0034,42760,38024,1,쉐모아,1,19,42760-182,84.27,,376-34,42760,1,,
12,"24,800",,2006,2012,올림픽로,00026,00011,42760,01,0,3228021,대관령면 횡계리,0376,0034,42760,38024,1,쉐모아,1,19,42760-182,84.27,,376-34,42760,1,,
13,"1,400",,1998,2012,대관령마루길,00050,00024,42760,01,0,4484080,대관령면 횡계리,0264,0009,42760,38024,1,동보,1,20,42760-24,26.795,,264-9,42760,6,,
14,"2,590",,1998,2012,대관령마루길,00050,00024,42760,01,0,4484080,대관령면 횡계리,0264,0009,42760,38024,1,동보,1,27,42760-24,26.795,,264-9,42760,8,,
15,"2,690",,1998,2012,대관령마루길,00050,00024,42760,01,0,4484080,대관령면 횡계리,0264,0009,42760,38024,1,동보,1,27,42760-24,26.795,,264-9,42760,5,,
16,"24,800",,2006,2012,올림픽로,00026,00011,42760,01,0,3228021,대관령면 횡계리,0376,0034,42760,38024,1,쉐모아,1,30,42760-182,84.27,,376-34,42760,1,,
0,"4,100",,1992,2012,노람들길,00018,00000,42760,01,0,4484064,평창읍 중리,0080,0000,42760,25022,1,백오,2,14,42760-3,49.92,,80,42760,5,,
1,"6,600",,2000,2012,종부로,00073,00000,42760,01,0,3228023,평창읍 종부리,0576,0001,42760,25025,1,녹주한아름,2,4,42760-17,51.75,,576-1,42760,3,,
2,"6,700",,2000,2012,종부로,00073,00000,42760,01,0,3228023,평창읍 종부리,0576,0001,42760,25025,1,녹주한아름,2,24,42760-17,51.75,,576-1,42760,6,,
3,"5,700",,2004,2012,태기로,00101,00033,42760,01,0,3228037,봉평면 무이리,0691,0045,42760,34026,1,장웅파인힐,2,19,42760-14,35.51,,691-45,42760,10,,
4,"5,500",,1993,2012,청송로,00074,00000,42760,01,0,3228026,진부면 하진부리,0166,0003,42760,36021,1,시대,2,24,42760-11,63.69,,166-3,42760,7,,
5,"3,900",,1998,2012,송정택지1길,00037,00000,42760,01,0,4484226,진부면 송정리,2538,0000,42760,36023,1,성원,2,2,42760-22,38.365,,2538,42760,1,,
6,"5,450",,1995,2012,송정택지1길,00035,00000,42760,01,0,4484226,진부면 송정리,2537,0000,42760,36023,1,석미,2,13,42760-21,54.72,,2537,42760,5,,
7,"3,900",,1998,2012,송정택지1길,00037,00000,42760,01,0,4484226,진부면 송정리,2538,0000,42760,36023,1,성원,2,17,42760-22,38.365,,2538,42760,5,,
8,"3,800",,1998,2012,송정택지1길,00037,00000,42760,01,0,4484226,진부면 송정리,2538,0000,42760,36023,1,성원,2,19,42760-22,38.365,,2538,42760,6,,
9,"4,800",,1998,2012,송정택지1길,00037,00000,42760,01,0,4484226,진부면 송정리,2538,0000,42760,36023,1,성원,2,22,42760-22,38.365,,2538,42760,3,,
10,"5,900",,2001,2012,차항길,00114,00004,42760,01,0,4484347,대관령면 차항리,0006,0002,42760,38023,1,유덕휴먼빌리지,2,21,42760-23,59.7625,,6-2,42760,8,,
11,"3,200",,2001,2012,차항길,00114,00004,42760,01,0,4484347,대관령면 차항리,0006,0002,42760,38023,1,유덕휴먼빌리지,2,21,42760-23,39.8533,,6-2,42760,7,,
12,"2,900",,2001,2012,차항길,00114,00004,42760,01,0,4484347,대관령면 차항리,0006,0002,42760,38023,1,유덕휴먼빌리지,2,28,42760-23,39.8533,,6-2,42760,6,,
13,"3,600",,1994,2012,종지목길,00007,00000,42760,01,0,4484329,대관령면 횡계리,0304,0006,42760,38024,1,힐탑,2,7,42760-13,45.33,,304-6,42760,2,,
14,"2,700",,1998,2012,대관령마루길,00050,00024,42760,01,0,4484080,대관령면 횡계리,0264,0009,42760,38024,1,동보,2,7,42760-24,48.635,,264-9,42760,1,,
15,"2,700",,1998,2012,대관령마루길,00050,00024,42760,01,0,4484080,대관령면 횡계리,0264,0009,42760,38024,1,동보,2,9,42760-24,26.795,,264-9,42760,13,,
