,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"8,800",,2002,2012,인제로240번길,00012,00000,42810,01,0,4499183,인제읍 상동리,0037,0000,42810,25021,1,신아리버빌,1,27,42810-3,59.158,,37,42810,14,,
0,"12,600",,2002,2012,인제로240번길,00012,00000,42810,01,0,4499183,인제읍 상동리,0037,0000,42810,25021,1,신아리버빌,2,6,42810-3,81.977,,37,42810,8,,
1,"6,700",,2004,2012,내린천로,06760,00000,42810,01,0,3013018,인제읍 덕산리,0666,0000,42810,25024,1,한양쉐르빌(101동),2,23,42810-8,53.653,,666,42810,10,,
2,"4,400",,1992,2012,신남로94번길,00013,00000,42810,01,0,4499110,남면 신남리,0380,0002,42810,31021,1,대삼아파트,2,27,42810-4,59.94,,380-2,42810,2,,
0,"14,000",,2007,2012,비봉로16번길,00019,00000,42810,01,0,4499071,인제읍 상동리,0264,0037,42810,25021,1,강남맨션,3,15,42810-68,84.97,,264-37,42810,3,,
1,"6,170",,2003,2012,인제로228번길,00006,00000,42810,01,0,4499180,인제읍 상동리,0043,0001,42810,25021,1,내설악,3,16,42810-2,59.46,,43-1,42810,6,,
2,"4,400",,1992,2012,신남로94번길,00013,00000,42810,01,0,4499110,남면 신남리,0380,0002,42810,31021,1,대삼아파트,3,28,42810-4,59.94,,380-2,42810,3,,
3,"6,800",,2001,2012,원통로211번길,00028,00000,42810,01,0,4499143,북면 원통리,0546,0007,42810,32021,1,신아아파트,3,16,42810-12,56,,546-7,42810,6,,
0,"12,400",,2002,2012,인제로240번길,00012,00000,42810,01,0,4499183,인제읍 상동리,0037,0000,42810,25021,1,신아리버빌,4,9,42810-3,81.977,,37,42810,4,,
1,"8,300",,2003,2012,인제로228번길,00006,00000,42810,01,0,4499180,인제읍 상동리,0043,0001,42810,25021,1,내설악,4,24,42810-2,84.42,,43-1,42810,1,,
2,"6,800",,2004,2012,내린천로,06760,00000,42810,01,0,3013018,인제읍 덕산리,0666,0000,42810,25024,1,한양쉐르빌(101동),4,13,42810-8,53.653,,666,42810,7,,
3,"2,200",,1988,2012,원통로,00207,00000,42810,01,0,3233019,북면 원통리,0666,0001,42810,32021,1,"성도아파트가,나,다동",4,5,42810-14,55.98,,666-1,42810,2,,
4,"4,000",,1991,2012,금강로,00092,00000,42810,01,0,3000121,북면 원통리,0604,0003,42810,32021,1,미진원통아파트,4,23,42810-5,62.58,,604-3,42810,3,,
