,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"6,500",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,1,31,42820-2,59.68,,111,42820,1,,
1,"7,500",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,1,31,42820-2,84.92,,111,42820,1,,
2,"3,350",,1990,2012,수성로,00090,00000,42820,01,0,3234013,간성읍 상리,0501,0000,42820,25025,1,동해2,1,12,42820-4,57.48,,501,42820,2,,
3,"3,500",,1998,2012,수성로,00126,00005,42820,01,0,3234013,간성읍 상리,0483,0001,42820,25025,1,간성대명,1,25,42820-5,39.6,,483-1,42820,1,,
4,"2,850",,1989,2012,거탄진로,00021,00000,42820,01,0,3234003,거진읍 거진리,0428,0005,42820,25321,1,동진,1,12,42820-1,49.44,,428-5,42820,5,,
5,"20,000",,2006,2012,해오름해변길,00070,00000,42820,01,0,4502343,거진읍 송포리,0165,0000,42820,25333,1,거진오션상떼빌,1,26,42820-20,70.64,,165,42820,15,,
6,"11,000",,2006,2012,아야진해변길,00001,00000,42820,01,0,4502471,토성면 청간리,0217,0000,42820,33022,1,유진클래시움,1,17,42820-19,59.52,,217,42820,15,,
0,"3,200",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,2,3,42820-2,39.36,,111,42820,1,,
1,"3,200",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,2,8,42820-2,39.36,,111,42820,1,,
2,"3,200",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,2,8,42820-2,39.36,,111,42820,1,,
3,"3,700",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,2,10,42820-2,39.36,,111,42820,13,,
4,"6,500",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,2,15,42820-2,59.68,,111,42820,13,,
5,"8,700",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,2,22,42820-2,84.92,,111,42820,4,,
6,"3,900",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,2,28,42820-2,39.36,,111,42820,12,,
7,"4,000",,1998,2012,수성로,00126,00005,42820,01,0,3234013,간성읍 상리,0483,0001,42820,25025,1,간성대명,2,14,42820-5,39.6,,483-1,42820,3,,
8,"3,800",,1998,2012,수성로,00126,00005,42820,01,0,3234013,간성읍 상리,0483,0001,42820,25025,1,간성대명,2,29,42820-5,39.6,,483-1,42820,1,,
9,"5,200",,2006,2012,아야진해변길,00001,00000,42820,01,0,4502471,토성면 청간리,0217,0000,42820,33022,1,유진클래시움,2,15,42820-19,37.65,,217,42820,7,,
10,"8,300",,2006,2012,아야진해변길,00001,00000,42820,01,0,4502471,토성면 청간리,0217,0000,42820,33022,1,유진클래시움,2,28,42820-19,49.8,,217,42820,9,,
11,"7,000",,2006,2012,아야진해변길,00001,00000,42820,01,0,4502471,토성면 청간리,0217,0000,42820,33022,1,유진클래시움,2,29,42820-19,49.8,,217,42820,3,,
0,"11,450",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,3,19,42820-2,84.92,,111,42820,4,,
1,"7,700",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,3,22,42820-2,59.68,,111,42820,5,,
2,"7,500",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,3,23,42820-2,59.68,,111,42820,4,,
3,"8,000",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,3,23,42820-2,59.68,,111,42820,9,,
4,"4,300",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,3,28,42820-2,39.36,,111,42820,14,,
5,"3,200",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,3,29,42820-2,39.36,,111,42820,1,,
6,"3,800",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,3,30,42820-2,39.36,,111,42820,11,,
7,"3,800",,1998,2012,수성로,00126,00005,42820,01,0,3234013,간성읍 상리,0483,0001,42820,25025,1,간성대명,3,5,42820-5,39.6,,483-1,42820,8,,
8,"3,800",,1998,2012,수성로,00126,00005,42820,01,0,3234013,간성읍 상리,0483,0001,42820,25025,1,간성대명,3,26,42820-5,39.6,,483-1,42820,1,,
9,"5,000",,2006,2012,아야진해변길,00001,00000,42820,01,0,4502471,토성면 청간리,0217,0000,42820,33022,1,유진클래시움,3,2,42820-19,37.65,,217,42820,5,,
10,"9,000",,2006,2012,아야진해변길,00001,00000,42820,01,0,4502471,토성면 청간리,0217,0000,42820,33022,1,유진클래시움,3,28,42820-19,59.52,,217,42820,5,,
0,"3,300",,1998,2012,남천마루2길,00006,00000,42820,01,0,4502079,간성읍 신안리,0111,0000,42820,25022,1,고성삼익레스타운,4,2,42820-2,39.36,,111,42820,1,,
