,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"3,800",,2000,2012,향교1길,00003,00003,43720,01,0,4523466,보은읍 교사리,0377,0007,43720,25024,1,에스엠102동,1,2,43720-12,55.3008,,377-7,43720,2,,
1,"2,600",,1997,2012,향교1길,00011,00003,43720,01,0,4523466,보은읍 교사리,0402,0029,43720,25024,1,극동,1,4,43720-14,38.64,,402-29,43720,10,,
2,"6,000",,1997,2012,남부로,04515,00000,43720,01,0,3240090,보은읍 교사리,0035,0005,43720,25024,1,거성,1,5,43720-5,59.67,,35-5,43720,12,,
3,"4,550",,2000,2012,향교1길,00003,00003,43720,01,0,4523466,보은읍 교사리,0377,0007,43720,25024,1,에스엠102동,1,6,43720-12,55.3008,,377-7,43720,8,,
4,"2,800",,1997,2012,향교1길,00011,00003,43720,01,0,4523466,보은읍 교사리,0402,0029,43720,25024,1,극동,1,11,43720-14,38.64,,402-29,43720,6,,
5,"3,200",,1990,2012,보은로,00235,00000,43720,01,0,3241011,보은읍 교사리,0174,0006,43720,25024,1,동진,1,12,43720-8,66.33,,174-6,43720,1,,
6,"4,000",,1995,2012,동광길,00003,00000,43720,01,0,4523114,보은읍 교사리,0034,0007,43720,25024,1,장미,1,17,43720-9,59.67,,34-7,43720,11,,
7,"4,389",,2000,2012,향교1길,00003,00003,43720,01,0,4523466,보은읍 교사리,0377,0007,43720,25024,1,에스엠102동,1,18,43720-12,55.3008,,377-7,43720,6,,
8,"2,800",,1997,2012,향교1길,00011,00003,43720,01,0,4523466,보은읍 교사리,0402,0029,43720,25024,1,극동,1,25,43720-14,38.64,,402-29,43720,2,,
9,"2,600",,1997,2012,향교1길,00011,00003,43720,01,0,4523466,보은읍 교사리,0402,0029,43720,25024,1,극동,1,27,43720-14,38.64,,402-29,43720,1,,
10,"3,800",,1990,2012,보은로,00235,00000,43720,01,0,3241011,보은읍 교사리,0174,0006,43720,25024,1,동진,1,30,43720-8,66.33,,174-6,43720,1,,
11,"4,650",,2000,2012,향교1길,00003,00003,43720,01,0,4523466,보은읍 교사리,0377,0007,43720,25024,1,에스엠102동,1,31,43720-12,55.3008,,377-7,43720,4,,
12,"5,000",,1994,2012,뱃들로,00036,00001,43720,01,0,3241009,보은읍 이평리,0130,0001,43720,25031,1,대동,1,30,43720-11,59.82,,130-1,43720,4,,
13,"15,000",,2006,2012,월송로,00025,00000,43720,01,0,3241027,보은읍 이평리,0159,0007,43720,25031,1,강변리츠빌,1,30,43720-54,84.9816,,159-7,43720,8,,
0,"3,300",,1992,2012,교사삼산2길,00028,00000,43720,01,0,4523048,보은읍 삼산리,0171,0004,43720,25021,1,진화,2,13,43720-2,50.58,,171-4,43720,1,,
1,"2,800",,1990,2012,보은로,00030,00006,43720,01,0,3241011,보은읍 죽전리,0098,0000,43720,25022,1,남산,2,11,43720-3,59.94,,98,43720,5,,
2,"2,650",,1997,2012,향교1길,00011,00003,43720,01,0,4523466,보은읍 교사리,0402,0029,43720,25024,1,극동,2,6,43720-14,38.64,,402-29,43720,6,,
3,"2,950",,1997,2012,향교1길,00011,00003,43720,01,0,4523466,보은읍 교사리,0402,0029,43720,25024,1,극동,2,8,43720-14,38.64,,402-29,43720,2,,
4,"4,500",,1997,2012,남부로,04515,00000,43720,01,0,3240090,보은읍 교사리,0035,0005,43720,25024,1,거성,2,9,43720-5,59.67,,35-5,43720,14,,
