,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"7,300",,1997,2012,성왕로,01274,00000,43730,01,0,3242021,옥천읍 죽향리,0153,0000,43730,25021,1,옥향아파트,1,4,43730-4,59.76,,153,43730,11,,
1,"11,500",,1997,2012,성왕로,01274,00000,43730,01,0,3242021,옥천읍 죽향리,0153,0000,43730,25021,1,옥향아파트,1,13,43730-4,84.985,,153,43730,7,,
2,"7,700",,1997,2012,성왕로,01274,00000,43730,01,0,3242021,옥천읍 죽향리,0153,0000,43730,25021,1,옥향아파트,1,18,43730-4,59.76,,153,43730,9,,
3,"12,000",,1997,2012,성왕로,01274,00000,43730,01,0,3242021,옥천읍 죽향리,0153,0000,43730,25021,1,옥향아파트,1,30,43730-4,84.985,,153,43730,4,,
4,"18,970",,2007,2012,동부로,00016,00000,43730,01,0,3242006,옥천읍 문정리,0430,0001,43730,25022,1,하늘빛아파트,1,5,43730-128,84.963,,430-1,43730,6,,
5,"5,000",,1998,2012,문장로2길,00009,00000,43730,01,0,4526131,옥천읍 문정리,0374,0000,43730,25022,1,옥천문정주공(2)단지,1,6,43730-18,49.62,,374,43730,13,,
6,"7,800",,1998,2012,문장로2길,00009,00000,43730,01,0,4526131,옥천읍 문정리,0374,0000,43730,25022,1,옥천문정주공(2)단지,1,19,43730-18,49.62,,374,43730,6,,
7,"24,500",,2007,2012,동부로,00016,00000,43730,01,0,3242006,옥천읍 문정리,0430,0001,43730,25022,1,하늘빛아파트,1,27,43730-128,115.9136,,430-1,43730,2,,
8,"5,400",,1998,2012,문장로2길,00009,00000,43730,01,0,4526131,옥천읍 문정리,0374,0000,43730,25022,1,옥천문정주공(2)단지,1,29,43730-18,49.62,,374,43730,10,,
9,"7,000",,2002,2012,가화3길,00008,00000,43730,01,0,4526006,옥천읍 금구리,0235,0026,43730,25036,1,다산금빛아파트,1,2,43730-3,59.85,,235-26,43730,12,,
10,"14,200",,1995,2012,가화3길,00018,00000,43730,00,,4526006,옥천읍 금구리,0235,0001,43730,25036,1,옥천가화현대아파트,1,26,43730-2,84.68,,235-1,43730,15,,
11,"12,650",,2002,2012,장야3길,00009,00000,43730,01,0,4526341,옥천읍 장야리,0313,0000,43730,25037,1,옥천장야주공(1)단지,1,3,43730-21,59.64,,313,43730,5,,
0,"13,000",,2004,2012,성왕로,01262,00000,43730,01,0,3242021,옥천읍 죽향리,0196,0002,43730,25021,1,옥천향수마을아파트,2,9,43730-17,84.8019,,196-2,43730,5,,
1,"4,500",,1997,2012,성왕로,01274,00000,43730,01,0,3242021,옥천읍 죽향리,0153,0000,43730,25021,1,옥향아파트,2,21,43730-4,59.76,,153,43730,1,,
2,"10,000",,2004,2012,성왕로,01262,00000,43730,01,0,3242021,옥천읍 죽향리,0196,0002,43730,25021,1,옥천향수마을아파트,2,25,43730-17,84.8019,,196-2,43730,1,,
3,"20,900",,2007,2012,동부로,00016,00000,43730,01,0,3242006,옥천읍 문정리,0430,0001,43730,25022,1,하늘빛아파트,2,6,43730-128,84.963,,430-1,43730,6,,
4,"19,500",,2007,2012,동부로,00016,00000,43730,01,0,3242006,옥천읍 문정리,0430,0001,43730,25022,1,하늘빛아파트,2,7,43730-128,84.8875,,430-1,43730,5,,
5,"7,600",,1998,2012,문장로2길,00009,00000,43730,01,0,4526131,옥천읍 문정리,0374,0000,43730,25022,1,옥천문정주공(2)단지,2,11,43730-18,49.62,,374,43730,5,,
6,"7,700",,1998,2012,문장로2길,00009,00000,43730,01,0,4526131,옥천읍 문정리,0374,0000,43730,25022,1,옥천문정주공(2)단지,2,16,43730-18,49.62,,374,43730,11,,
7,"8,850",,1999,2012,문장로2길,00010,00000,43730,01,0,4526131,옥천읍 문정리,0376,0000,43730,25022,1,옥천문정주공(3)단지아파트,2,25,43730-19,49.85,,376,43730,13,,
8,"5,000",,1998,2012,문장로2길,00009,00000,43730,01,0,4526131,옥천읍 문정리,0374,0000,43730,25022,1,옥천문정주공(2)단지,2,26,43730-18,49.62,,374,43730,2,,
9,"7,500",,2002,2012,가화3길,00008,00000,43730,01,0,4526006,옥천읍 금구리,0235,0026,43730,25036,1,다산금빛아파트,2,1,43730-3,59.85,,235-26,43730,6,,
10,"6,000",,1989,2012,중앙로4길,00014,00000,43730,01,0,4526370,옥천읍 금구리,0055,0012,43730,25036,1,구룡아파트,2,13,43730-1,84.66,,55-12,43730,5,,
11,"8,900",,2002,2012,가화3길,00008,00000,43730,01,0,4526006,옥천읍 금구리,0235,0026,43730,25036,1,다산금빛아파트,2,13,43730-3,59.85,,235-26,43730,7,,
12,"12,000",,2002,2012,장야3길,00009,00000,43730,01,0,4526341,옥천읍 장야리,0313,0000,43730,25037,1,옥천장야주공(1)단지,2,11,43730-21,59.64,,313,43730,6,,
13,"10,000",,2002,2012,장야3길,00009,00000,43730,01,0,4526341,옥천읍 장야리,0313,0000,43730,25037,1,옥천장야주공(1)단지,2,11,43730-21,51.95,,313,43730,1,,
14,"10,400",,2002,2012,장야3길,00009,00000,43730,01,0,4526341,옥천읍 장야리,0313,0000,43730,25037,1,옥천장야주공(1)단지,2,28,43730-21,51.95,,313,43730,12,,
0,"13,600",,2004,2012,성왕로,01262,00000,43730,01,0,3242021,옥천읍 죽향리,0196,0002,43730,25021,1,옥천향수마을아파트,3,26,43730-17,84.8019,,196-2,43730,14,,
1,"7,800",,1998,2012,문장로2길,00009,00000,43730,01,0,4526131,옥천읍 문정리,0374,0000,43730,25022,1,옥천문정주공(2)단지,3,2,43730-18,49.62,,374,43730,5,,
2,"27,300",,2007,2012,동부로,00016,00000,43730,01,0,3242006,옥천읍 문정리,0430,0001,43730,25022,1,하늘빛아파트,3,2,43730-128,115.9136,,430-1,43730,9,,
3,"7,450",,1998,2012,문장로2길,00009,00000,43730,01,0,4526131,옥천읍 문정리,0374,0000,43730,25022,1,옥천문정주공(2)단지,3,3,43730-18,49.62,,374,43730,6,,
