,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"13,000",,2001,2012,구교로,00007,00000,43740,01,0,3243005,영동읍 계산리,0213,0001,43740,25021,1,서한감고을,1,31,43740-5,116.17,,213-1,43740,6,,
1,"13,250",,2001,2012,새심길,00018,00000,43740,01,0,4529367,영동읍 매천리,0081,0001,43740,25027,1,조한드림플러스,1,16,43740-11,84.98,,81-1,43740,3,,
2,"10,900",,1999,2012,상부용로,00007,00010,43740,01,0,3243025,영동읍 부용리,0425,0000,43740,25028,1,서한무궁화,1,3,43740-16,83.98,,425,43740,8,,
3,"4,200",,2002,2012,눈어치로,00022,00010,43740,01,0,3243016,영동읍 설계리,0886,0000,43740,25031,1,주공아파트(886-0),1,30,43740-24,49.81,,886,43740,10,,
0,"8,700",,1993,2012,영산로,00048,00000,43740,01,0,3243042,영동읍 계산리,0445,0003,43740,25021,1,영산타워맨션,2,10,43740-7,84.72,,445-3,43740,10,,
1,"7,200",,1996,2012,동정로,00039,00027,43740,01,0,3243018,영동읍 동정리,0068,0001,43740,25022,1,영동현대,2,7,43740-9,59.76,,68-1,43740,6,,
2,"21,000",,2008,2012,동정로,00039,00030,43740,01,0,3243018,영동읍 동정리,0065,0003,43740,25022,1,미드림,2,24,43740-128,144.2006,,65-3,43740,7,,
3,"22,000",,2008,2012,동정로,00039,00030,43740,01,0,3243018,영동읍 동정리,0065,0003,43740,25022,1,미드림,2,24,43740-128,144.2006,,65-3,43740,8,,
4,"17,500",,2007,2012,상부용로,00007,00050,43740,01,0,3243025,영동읍 부용리,0417,0000,43740,25028,1,지평더웰,2,3,43740-124,84.9749,,417,43740,13,,
5,"9,700",,1990,2012,학산영동로,01212,00000,43740,01,0,3243054,영동읍 부용리,0047,0014,43740,25028,1,홍우,2,13,43740-18,112.47,,47-14,43740,4,,
6,"8,500",,1999,2012,상부용로,00007,00010,43740,01,0,3243025,영동읍 부용리,0425,0000,43740,25028,1,서한무궁화,2,21,43740-16,83.98,,425,43740,1,,
7,"2,650",,1991,2012,학산영동로,01085,00000,43740,01,0,3243054,영동읍 부용리,0593,0001,43740,25028,1,삼부,2,27,43740-14,56.01,,593-1,43740,6,,
