,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"5,000",,1990,2012,역전로1길,00015,00000,43745,01,0,4532114,증평읍 증평리,0687,0000,43745,25021,1,대신맨션,1,25,43745-1,76.51,,687,43745,2,,
1,"2,500",,1989,2012,삼일로,00022,00000,43745,01,0,3244012,증평읍 신동리,0542,0000,43745,25025,1,상아,1,4,43745-9,39.37,,542,43745,1,,
2,"17,000",,2007,2012,충청대로,01746,00000,43745,01,0,2014003,증평읍 창동리,0822,0000,43745,25026,1,파라디아1차,1,2,43745-81,84.982,,822,43745,6,,
3,"4,500",,1988,2012,삼보로1길,00021,00000,43745,01,0,4532061,증평읍 창동리,0544,0000,43745,25026,1,주공,1,4,43745-16,47.01,,544,43745,4,,
4,"5,800",,1992,2012,역전로,00028,00000,43745,01,0,3244015,증평읍 창동리,0282,0000,43745,25026,1,영우,1,18,43745-15,59.9,,282,43745,7,,
5,"6,900",,1992,2012,장뜰로,00110,00000,43745,01,0,3244017,증평읍 장동리,0255,0000,43745,25027,1,증평삼일,1,2,43745-7,59.9,,255,43745,2,,
6,"3,500",,2000,2012,두름로1길,00021,00000,43745,01,0,4532035,증평읍 장동리,0350,0000,43745,25027,1,보창,1,3,43745-6,35.2139,,350,43745,6,,
7,"4,600",,2000,2012,두름로1길,00021,00000,43745,01,0,4532035,증평읍 장동리,0350,0000,43745,25027,1,보창,1,6,43745-6,55.0058,,350,43745,2,,
8,"6,860",,1992,2012,장뜰로,00110,00000,43745,01,0,3244017,증평읍 장동리,0255,0000,43745,25027,1,증평삼일,1,13,43745-7,59.9,,255,43745,1,,
9,"10,400",,2003,2012,문화로,00097,00000,43745,01,0,3244008,증평읍 장동리,0921,0000,43745,25027,1,증평4단지주공,1,16,43745-20,59.92,,921,43745,3,,
10,"11,100",,1992,2012,장뜰로,00110,00000,43745,01,0,3244017,증평읍 장동리,0255,0000,43745,25027,1,증평삼일,1,17,43745-7,84.95,,255,43745,15,,
11,"11,000",,1992,2012,장뜰로,00110,00000,43745,01,0,3244017,증평읍 장동리,0255,0000,43745,25027,1,증평삼일,1,20,43745-7,84.95,,255,43745,13,,
12,"9,500",,1992,2012,장뜰로,00110,00000,43745,01,0,3244017,증평읍 장동리,0255,0000,43745,25027,1,증평삼일,1,20,43745-7,84.95,,255,43745,2,,
13,"7,500",,1992,2012,장뜰로,00110,00000,43745,01,0,3244017,증평읍 장동리,0255,0000,43745,25027,1,증평삼일,1,30,43745-7,59.9,,255,43745,11,,
14,"8,500",,2003,2012,문화로,00097,00000,43745,01,0,3244008,증평읍 장동리,0921,0000,43745,25027,1,증평4단지주공,1,30,43745-20,51.95,,921,43745,7,,
15,"1,650",,1988,2012,문화로,00016,00000,43745,01,0,3244008,증평읍 증천리,0728,0000,43745,25028,1,한성,1,2,43745-12,39.6,,728,43745,5,,
16,"1,950",,1988,2012,문화로,00016,00000,43745,01,0,3244008,증평읍 증천리,0728,0000,43745,25028,1,한성,1,9,43745-12,39.6,,728,43745,5,,
17,"1,950",,1988,2012,문화로,00016,00000,43745,01,0,3244008,증평읍 증천리,0728,0000,43745,25028,1,한성,1,11,43745-12,39.6,,728,43745,5,,
18,"2,100",,1988,2012,문화로,00016,00000,43745,01,0,3244008,증평읍 증천리,0728,0000,43745,25028,1,한성,1,13,43745-12,39.6,,728,43745,5,,
19,"5,200",,1994,2012,진지내6길,00020,00000,43745,01,0,4532174,증평읍 증천리,0436,0000,43745,25028,1,삼일무지개,1,28,43745-11,59.94,,436,43745,6,,
20,"8,400",,2005,2012,가장골길,00016,00013,43745,01,0,4532003,증평읍 초중리,0114,0000,43745,25030,1,일진뜨리에,1,2,43745-79,59.675,,114,43745,9,,
21,"17,900",,2006,2012,초중6길,00008,00000,43745,01,0,4532190,증평읍 초중리,0533,0001,43745,25030,1,한라비발디,1,4,43745-80,84.9714,,533-1,43745,10,,
22,"16,500",,2006,2012,초중6길,00008,00000,43745,01,0,4532190,증평읍 초중리,0533,0001,43745,25030,1,한라비발디,1,4,43745-80,84.9714,,533-1,43745,5,,
23,"8,300",,2005,2012,가장골길,00016,00013,43745,01,0,4532003,증평읍 초중리,0114,0000,43745,25030,1,일진뜨리에,1,10,43745-79,59.675,,114,43745,10,,
24,"8,200",,2005,2012,가장골길,00016,00013,43745,01,0,4532003,증평읍 초중리,0114,0000,43745,25030,1,일진뜨리에,1,13,43745-79,59.675,,114,43745,7,,
25,"18,200",,2006,2012,초중6길,00008,00000,43745,01,0,4532190,증평읍 초중리,0533,0001,43745,25030,1,한라비발디,1,13,43745-80,84.9714,,533-1,43745,15,,
26,"16,900",,2006,2012,초중6길,00008,00000,43745,01,0,4532190,증평읍 초중리,0533,0001,43745,25030,1,한라비발디,1,16,43745-80,84.9714,,533-1,43745,6,,
27,"8,400",,2005,2012,가장골길,00016,00013,43745,01,0,4532003,증평읍 초중리,0114,0000,43745,25030,1,일진뜨리에,1,17,43745-79,59.675,,114,43745,3,,
28,"8,300",,2005,2012,가장골길,00016,00013,43745,01,0,4532003,증평읍 초중리,0114,0000,43745,25030,1,일진뜨리에,1,18,43745-79,59.675,,114,43745,12,,
29,"16,350",,2006,2012,초중6길,00008,00000,43745,01,0,4532190,증평읍 초중리,0533,0001,43745,25030,1,한라비발디,1,20,43745-80,84.9714,,533-1,43745,3,,
30,"18,650",,2006,2012,초중6길,00008,00000,43745,01,0,4532190,증평읍 초중리,0533,0001,43745,25030,1,한라비발디,1,31,43745-80,84.9714,,533-1,43745,12,,
31,"2,200",,2001,2012,광장로,00534,00000,43745,01,0,3014040,증평읍 용강리,0035,0000,43745,25035,1,서호이타운,1,13,43745-5,28.51,,35,43745,12,,
32,"4,000",,2001,2012,광장로,00534,00000,43745,01,0,3014040,증평읍 용강리,0035,0000,43745,25035,1,서호이타운,1,20,43745-5,59.94,,35,43745,1,,
33,"2,300",,2001,2012,광장로,00534,00000,43745,01,0,3014040,증평읍 용강리,0035,0000,43745,25035,1,서호이타운,1,25,43745-5,28.51,,35,43745,12,,
34,"2,300",,2001,2012,광장로,00534,00000,43745,01,0,3014040,증평읍 용강리,0035,0000,43745,25035,1,서호이타운,1,31,43745-5,28.51,,35,43745,7,,
0,"3,500",,1989,2012,삼일로,00022,00000,43745,01,0,3244012,증평읍 신동리,0542,0000,43745,25025,1,상아,2,29,43745-9,39.37,,542,43745,5,,
