,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"3,400",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,5,43750-48,28.47,,390,43750,4,,
1,"8,500",,1991,2012,중앙동로,00008,00000,43750,01,0,3245018,진천읍 신정리,0651,0001,43750,25022,1,장산,1,7,43750-14,77.22,,651-1,43750,1,,
2,"3,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,10,,
3,"4,900",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,48.12,,390,43750,5,,
4,"4,900",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,48.12,,390,43750,5,,
5,"5,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,48.12,,390,43750,11,,
6,"5,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,48.12,,390,43750,1,,
7,"5,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,48.12,,390,43750,10,,
8,"3,200",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,14,,
9,"3,200",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,3,,
10,"3,200",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,15,,
11,"3,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,14,,
12,"3,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,10,,
13,"3,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,14,,
14,"3,200",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,1,,
15,"3,200",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,7,,
16,"3,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,4,,
17,"3,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,3,,
18,"3,200",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,3,,
19,"3,000",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,13,,
20,"3,200",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,17,43750-48,28.47,,390,43750,10,,
21,"6,600",,1996,2012,농다리로,01411,00000,43750,01,0,3245003,진천읍 신정리,0390,0000,43750,25022,1,삼진동산,1,19,43750-48,59.94,,390,43750,6,,
22,"5,300",,1994,2012,진광로,00072,00000,43750,01,0,3245021,진천읍 성석리,0480,0013,43750,25025,1,우주동백,1,10,43750-12,50.4,,480-13,43750,15,,
23,"12,000",,2003,2012,성중로,00057,00000,43750,01,0,3245009,진천읍 성석리,0450,0000,43750,25025,1,산호오크힐,1,10,43750-46,84.85,,450,43750,5,,
24,"13,500",,2003,2012,성중로,00057,00000,43750,01,0,3245009,진천읍 성석리,0450,0000,43750,25025,1,산호오크힐,1,11,43750-46,84.85,,450,43750,11,,
25,"5,500",,1994,2012,진광로,00072,00000,43750,01,0,3245021,진천읍 성석리,0480,0013,43750,25025,1,우주동백,1,30,43750-12,59.9,,480-13,43750,6,,
26,"16,000",,2009,2012,장관2길,00159,00000,43750,01,0,4535332,진천읍 장관리,0002,0001,43750,25028,1,남해오네뜨,1,12,43750-241,73.9961,,2-1,43750,11,,
27,"16,500",,2009,2012,장관2길,00159,00000,43750,01,0,4535332,진천읍 장관리,0002,0001,43750,25028,1,남해오네뜨,1,26,43750-241,73.9961,,2-1,43750,9,,
