,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"1,650",,1985,2012,상진1로,00015,00000,43800,01,0,3248031,단양읍 상진리,0978,0000,43800,25027,1,주공,1,5,43800-4,39.72,,978,43800,1,,
1,"2,400",,1985,2012,상진1로,00015,00000,43800,01,0,3248031,단양읍 상진리,0978,0000,43800,25027,1,주공,1,30,43800-4,39.72,,978,43800,5,,
2,"3,700",,2005,2012,평동38길,00019,00000,43800,01,0,4544501,매포읍 평동리,1335,0000,43800,25327,1,단양태양드림빌,1,4,43800-13,57.42,,1335,43800,2,,
3,"3,900",,2005,2012,평동38길,00019,00000,43800,01,0,4544501,매포읍 평동리,1335,0000,43800,25327,1,단양태양드림빌,1,9,43800-13,50.4,,1335,43800,10,,
4,"3,500",,2005,2012,평동38길,00019,00000,43800,01,0,4544501,매포읍 평동리,1335,0000,43800,25327,1,단양태양드림빌,1,16,43800-13,50.4,,1335,43800,12,,
5,"2,400",,2005,2012,평동38길,00019,00000,43800,01,0,4544501,매포읍 평동리,1335,0000,43800,25327,1,단양태양드림빌,1,20,43800-13,42.36,,1335,43800,9,,
6,"4,300",,2005,2012,평동38길,00019,00000,43800,01,0,4544501,매포읍 평동리,1335,0000,43800,25327,1,단양태양드림빌,1,27,43800-13,57.42,,1335,43800,12,,
7,"3,200",,2005,2012,평동38길,00019,00000,43800,01,0,4544501,매포읍 평동리,1335,0000,43800,25327,1,단양태양드림빌,1,27,43800-13,50.4,,1335,43800,13,,
0,"2,500",,1989,2012,도전9나길,00019,00000,43800,01,0,4544134,단양읍 도전리,0644,0001,43800,25026,1,화성,2,10,43800-11,47.28,,644-1,43800,1,,
1,"2,650",,1985,2012,상진1로,00015,00000,43800,01,0,3248031,단양읍 상진리,0978,0000,43800,25027,1,주공,2,3,43800-4,39.72,,978,43800,5,,
