,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"12,200",,1998,2012,중앙로,00178,00000,44180,01,0,3252052,대천동,0372,0001,44180,10100,1,동부,1,12,44180-3,59.955,,372-1,44180,7,,
1,"4,000",,1985,2012,봉산2길,00013,00000,44180,01,0,4556234,대천동,0037,0011,44180,10100,1,보령,1,13,44180-5,59.4,,37-11,44180,4,,
2,"9,800",,1990,2012,보령북로,00226,00000,44180,01,0,3252020,대천동,0514,0025,44180,10100,1,서오,1,20,44180-6,81.27,,514-25,44180,11,,
3,"8,800",,1993,2012,보령북로,00195,00000,44180,01,0,3252020,대천동,0503,0003,44180,10100,1,흥화,1,31,44180-12,72.68,,503-3,44180,1,,
4,"14,550",,1997,2012,봉황로,00116,00000,44180,02,0,3252050,죽정동,0743,0000,44180,10200,1,대우,1,16,44180-26,84.962,,743,44180,12,,
5,"19,200",,2007,2012,지장골길,00160,00000,44180,01,0,4556567,죽정동,0789,0000,44180,10200,1,부경,1,17,44180-148,84.726,,789,44180,13,,
6,"4,950",,1989,2012,지장골길,00164,00000,44180,01,0,4556567,죽정동,0735,0019,44180,10200,1,유성1,1,18,44180-27,55.98,,735-19,44180,5,,
7,"9,300",,1997,2012,봉황로,00116,00000,44180,02,0,3252050,죽정동,0743,0000,44180,10200,1,대우,1,26,44180-26,59.946,,743,44180,4,,
8,"12,900",,1997,2012,봉황로,00116,00000,44180,02,0,3252050,죽정동,0743,0000,44180,10200,1,대우,1,27,44180-26,84.962,,743,44180,6,,
9,"18,900",,2007,2012,지장골길,00160,00000,44180,01,0,4556567,죽정동,0789,0000,44180,10200,1,부경,1,31,44180-148,84.726,,789,44180,11,,
10,"6,400",,1990,2012,주공로,00033,00000,44180,02,0,3252032,동대동,0414,0000,44180,10400,1,동대주공1,1,4,44180-14,39.3,,414,44180,2,,
11,"19,000",,2009,2012,한내로터리길,00092,00000,44180,01,0,4556642,동대동,1966,0000,44180,10400,1,휴먼시아보령동대3단지,1,4,44180-153,84.95,,1966,44180,9,,
12,"6,600",,1991,2012,주공로,00033,00000,44180,02,0,3252032,동대동,0414,0002,44180,10400,1,동대주공2,1,7,44180-15,39.6,,414-2,44180,2,,
13,"11,000",,2006,2012,한내로터리길,00119,00011,44180,01,0,4556642,동대동,1963,0000,44180,10400,1,광명샤인빌,1,13,44180-142,71.3716,,1963,44180,2,,
14,"12,750",,1997,2012,동현로,00047,00000,44180,01,0,3252014,동대동,0339,0000,44180,10400,1,동대동현대,1,16,44180-18,59.9,,339,44180,12,,
15,"6,100",,1991,2012,주공로,00033,00000,44180,02,0,3252032,동대동,0414,0002,44180,10400,1,동대주공2,1,17,44180-15,39.6,,414-2,44180,1,,
16,"15,878",,2009,2012,한내로터리길,00092,00000,44180,01,0,4556642,동대동,1966,0000,44180,10400,1,휴먼시아보령동대3단지,1,17,44180-153,84.95,,1966,44180,6,,
17,"15,878",,2009,2012,한내로터리길,00092,00000,44180,01,0,4556642,동대동,1966,0000,44180,10400,1,휴먼시아보령동대3단지,1,19,44180-153,84.95,,1966,44180,3,,
18,"11,900",,1997,2012,동현로,00047,00000,44180,01,0,3252014,동대동,0339,0000,44180,10400,1,동대동현대,1,30,44180-18,59.9,,339,44180,4,,
19,"16,500",,2009,2012,한내로터리길,00092,00000,44180,01,0,4556642,동대동,1966,0000,44180,10400,1,휴먼시아보령동대3단지,1,30,44180-153,84.95,,1966,44180,5,,
20,"13,000",,2006,2012,한내로터리길,00119,00011,44180,01,0,4556642,동대동,1963,0000,44180,10400,1,광명샤인빌,1,31,44180-142,71.3716,,1963,44180,5,,
21,"9,500",,1996,2012,주공로,00065,00000,44180,02,0,3252032,명천동,0389,0000,44180,10500,1,명천주공3,1,5,44180-22,49.97,,389,44180,3,,
22,"24,200",,2008,2012,주공로,00099,00000,44180,02,0,3252032,명천동,1010,0000,44180,10500,1,명천코아루,1,8,44180-151,107.6045,,1010,44180,3,,
23,"9,000",,1996,2012,주공로,00065,00000,44180,02,0,3252032,명천동,0389,0000,44180,10500,1,명천주공3,1,10,44180-22,49.97,,389,44180,14,,
24,"12,000",,2008,2012,주공로,00099,00000,44180,02,0,3252032,명천동,1010,0000,44180,10500,1,명천코아루,1,12,44180-151,84.804,,1010,44180,6,,
25,"18,800",,2008,2012,주공로,00099,00000,44180,02,0,3252032,명천동,1010,0000,44180,10500,1,명천코아루,1,16,44180-151,84.9265,,1010,44180,18,,
26,"11,500",,1996,2012,주공로,00065,00000,44180,02,0,3252032,명천동,0389,0000,44180,10500,1,명천주공3,1,26,44180-22,59.8,,389,44180,15,,
27,"12,500",,1996,2012,주공로,00065,00000,44180,02,0,3252032,명천동,0389,0000,44180,10500,1,명천주공3,1,26,44180-22,59.8,,389,44180,15,,
28,"18,300",,2006,2012,현충탑길,00065,00000,44180,01,0,4556671,궁촌동,0369,0000,44180,10600,1,에스케이뷰,1,9,44180-143,84.9244,,369,44180,4,,
29,"15,600",,2006,2012,현충탑길,00065,00000,44180,01,0,4556671,궁촌동,0369,0000,44180,10600,1,에스케이뷰,1,16,44180-143,84.9244,,369,44180,2,,
30,"17,800",,2006,2012,현충탑길,00065,00000,44180,01,0,4556671,궁촌동,0369,0000,44180,10600,1,에스케이뷰,1,20,44180-143,84.9244,,369,44180,3,,
31,"18,700",,2006,2012,현충탑길,00065,00000,44180,01,0,4556671,궁촌동,0369,0000,44180,10600,1,에스케이뷰,1,28,44180-143,84.9244,,369,44180,8,,
32,"9,200",,1996,2012,고잠2길,00001,00031,44180,01,0,4556043,신흑동,1634,0006,44180,11000,1,산호,1,18,44180-23,59.466,,1634-6,44180,9,,
33,"3,000",,1993,2012,청소큰길,00244,00000,44180,01,0,4556597,청소면 진죽리,0283,0000,44180,34021,1,서진,1,17,44180-30,77.28,,283,44180,5,,
0,"8,000",,1993,2012,보령북로,00195,00000,44180,01,0,3252020,대천동,0503,0003,44180,10100,1,흥화,2,1,44180-12,59.92,,503-3,44180,11,,
1,"8,450",,1993,2012,보령북로,00195,00000,44180,01,0,3252020,대천동,0503,0003,44180,10100,1,흥화,2,2,44180-12,59.92,,503-3,44180,7,,
2,"13,700",,1998,2012,중앙로,00178,00000,44180,01,0,3252052,대천동,0372,0001,44180,10100,1,동부,2,4,44180-3,74.07,,372-1,44180,2,,
3,"12,350",,1998,2012,중앙로,00178,00000,44180,01,0,3252052,대천동,0372,0001,44180,10100,1,동부,2,15,44180-3,59.955,,372-1,44180,8,,
4,"5,000",,1988,2012,쇳개길,00028,00000,44180,01,0,4556339,대천동,0297,0043,44180,10100,1,구중앙,2,16,44180-1,52.92,,297-43,44180,4,,
5,"6,300",,1990,2012,보령북로,00226,00000,44180,01,0,3252020,대천동,0514,0025,44180,10100,1,서오,2,21,44180-6,66.42,,514-25,44180,1,,
6,"11,700",,1993,2012,보령북로,00195,00000,44180,01,0,3252020,대천동,0503,0003,44180,10100,1,흥화,2,21,44180-12,84.96,,503-3,44180,10,,
7,"9,000",,2000,2012,봉산1길,00088,00000,44180,01,0,4556233,대천동,0137,0070,44180,10100,1,아남,2,24,44180-7,84.78,,137-70,44180,3,,
8,"10,500",,1997,2012,봉황로,00116,00000,44180,02,0,3252050,죽정동,0743,0000,44180,10200,1,대우,2,1,44180-26,59.946,,743,44180,18,,
9,"12,000",,1992,2012,현대로,00026,00000,44180,01,0,3252044,죽정동,0666,0006,44180,10200,1,현대,2,1,44180-29,73.8,,666-6,44180,3,,
10,"20,200",,2004,2012,지장골길,00078,00000,44180,01,0,4556567,죽정동,0775,0001,44180,10200,1,성지리벨루스,2,6,44180-39,118.519,,775-1,44180,14,,
11,"18,900",,2007,2012,지장골길,00160,00000,44180,01,0,4556567,죽정동,0789,0000,44180,10200,1,부경,2,6,44180-148,84.726,,789,44180,2,,
12,"7,650",,1993,2012,봉황로,00103,00000,44180,02,0,3252050,죽정동,0745,0000,44180,10200,1,유성2차APT,2,9,44180-28,59.35,,745,44180,2,,
13,"22,000",,2007,2012,지장골길,00160,00000,44180,01,0,4556567,죽정동,0789,0000,44180,10200,1,부경,2,9,44180-148,124.7648,,789,44180,11,,
14,"19,000",,2004,2012,지장골길,00078,00000,44180,01,0,4556567,죽정동,0775,0001,44180,10200,1,성지리벨루스,2,11,44180-39,118.519,,775-1,44180,1,,
