,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"3,600",,1989,2012,해월로,00063,00004,44230,03,0,3255038,부창동,0274,0043,44230,10400,1,주공,1,13,44230-8,46.68,,274-43,44230,5,,
1,"2,900",,1989,2012,해월로,00063,00004,44230,03,0,3255038,부창동,0274,0043,44230,10400,1,주공,1,13,44230-8,39.69,,274-43,44230,2,,
2,"2,800",,1989,2012,해월로,00063,00004,44230,03,0,3255038,부창동,0274,0043,44230,10400,1,주공,1,13,44230-8,39.69,,274-43,44230,5,,
3,"9,500",,2002,2012,중앙로260번길,00059,00005,44230,01,0,4565787,취암동,0080,0000,44230,10500,1,주공1단지,1,5,44230-37,46.2,,80,44230,8,,
4,"14,250",,2002,2012,중앙로260번길,00059,00005,44230,01,0,4565787,취암동,0080,0000,44230,10500,1,주공1단지,1,6,44230-37,59.64,,80,44230,12,,
5,"22,000",,2007,2012,번영로29번길,00010,00000,44230,01,0,4565373,취암동,1081,0000,44230,10500,1,계룡리슈빌,1,16,44230-191,84.8583,,1081,44230,14,,
6,"14,000",,2002,2012,중앙로260번길,00059,00005,44230,01,0,4565787,취암동,0080,0000,44230,10500,1,주공1단지,1,19,44230-37,59.64,,80,44230,11,,
7,"9,700",,2002,2012,중앙로260번길,00059,00005,44230,01,0,4565787,취암동,0080,0000,44230,10500,1,주공1단지,1,28,44230-37,46.2,,80,44230,15,,
8,"9,000",,1994,2012,체육로,00030,00000,44230,02,0,3255035,내동,0969,0000,44230,10900,1,놀뫼타운,1,3,44230-15,54.78,,969,44230,8,,
9,"8,500",,1994,2012,체육로,00030,00000,44230,02,0,3255035,내동,0969,0000,44230,10900,1,놀뫼타운,1,4,44230-15,54.78,,969,44230,10,,
10,"16,700",,2003,2012,시민로258번길,00010,00000,44230,02,0,4565534,내동,0272,0007,44230,10900,1,논산제이파크2단지,1,7,44230-39,84.9783,,272-7,44230,2,,
11,"13,500",,1994,2012,체육로,00030,00000,44230,02,0,3255035,내동,0969,0000,44230,10900,1,놀뫼타운,1,10,44230-15,84.98,,969,44230,2,,
12,"15,250",,1993,2012,체육로,00048,00006,44230,02,0,3255035,내동,0535,0000,44230,10900,1,동신,1,11,44230-16,89,,535,44230,8,,
13,"11,500",,1994,2012,체육로,00018,00000,44230,02,0,3255035,내동,0968,0000,44230,10900,1,아주,1,12,44230-17,59.85,,968,44230,10,,
14,"8,700",,1994,2012,체육로,00030,00000,44230,02,0,3255035,내동,0969,0000,44230,10900,1,놀뫼타운,1,16,44230-15,54.78,,969,44230,10,,
15,"17,200",,2003,2012,시민로258번길,00009,00000,44230,02,0,4565534,내동,0272,0000,44230,10900,1,논산제이파크1단지,1,19,44230-38,84.9783,,272,44230,2,,
16,"9,600",,1994,2012,체육로,00018,00000,44230,02,0,3255035,내동,0968,0000,44230,10900,1,아주,1,27,44230-17,55.2,,968,44230,4,,
17,"10,350",,2000,2012,논산대로,00269,00019,44230,05,0,2255001,강산동,0698,0000,44230,11000,1,논산강산한신청솔,1,2,44230-35,59.85,,698,44230,15,,
18,"9,800",,2000,2012,논산대로,00269,00019,44230,05,0,2255001,강산동,0698,0000,44230,11000,1,논산강산한신청솔,1,8,44230-35,59.85,,698,44230,14,,
19,"9,750",,2000,2012,논산대로,00269,00019,44230,05,0,2255001,강산동,0698,0000,44230,11000,1,논산강산한신청솔,1,17,44230-35,59.85,,698,44230,12,,
20,"9,600",,2000,2012,논산대로,00269,00019,44230,05,0,2255001,강산동,0698,0000,44230,11000,1,논산강산한신청솔,1,21,44230-35,59.85,,698,44230,6,,
21,"4,200",,1991,2012,금백로,00165,00000,44230,01,0,3251043,강경읍 동흥리,0100,0001,44230,25022,1,백조,1,9,44230-19,76.77,,100-1,44230,1,,
22,"19,500",,2008,2012,금백로,00074,00000,44230,01,0,3251043,강경읍 황산리,0014,0009,44230,25030,1,강경클래시움,1,6,44230-196,120.8735,,14-9,44230,10,,
23,"5,500",,1993,2012,옥녀봉로27번길,00052,00000,44230,01,0,4565659,강경읍 황산리,0011,0002,44230,25030,1,보성리버맨션,1,27,44230-23,59.595,,11-2,44230,8,,
24,"4,000",,2001,2012,동안로,00096,00000,44230,01,0,3255011,강경읍 산양리,0249,0002,44230,25032,1,금강빌리지아파트,1,16,44230-36,39.6,,249-2,44230,6,,
25,"4,000",,2001,2012,동안로,00096,00000,44230,01,0,3255011,강경읍 산양리,0249,0002,44230,25032,1,금강빌리지아파트,1,16,44230-36,39.6,,249-2,44230,11,,
0,"13,300",,2002,2012,해월로259번길,00014,00000,44230,01,0,4565899,화지동,0016,0000,44230,10100,1,조흥,2,1,44230-3,84.839,,16,44230,2,,
1,"8,400",,2001,2012,해월로249번길,00005,00000,44230,01,0,4565898,화지동,0024,0027,44230,10100,1,오성대,2,3,44230-2,86.6616,,24-27,44230,1,,
2,"5,600",,2001,2012,해월로249번길,00005,00000,44230,01,0,4565898,화지동,0024,0027,44230,10100,1,오성대,2,10,44230-2,77.2792,,24-27,44230,2,,
3,"9,000",,2002,2012,해월로259번길,00014,00000,44230,01,0,4565899,화지동,0016,0000,44230,10100,1,조흥,2,11,44230-3,84.839,,16,44230,6,,
4,"10,200",,2002,2012,해월로,00137,00000,44230,02,0,3255038,반월동,0173,0003,44230,10200,1,한청리츠빌,2,9,44230-1,84.259,,173-3,44230,12,,
5,"11,000",,1997,2012,대림길,00007,00000,44230,01,0,4565199,부창동,0209,0004,44230,10400,1,대림,2,12,44230-5,59.884,,209-4,44230,11,,
6,"14,600",,1997,2012,대림길,00007,00000,44230,01,0,4565199,부창동,0209,0004,44230,10400,1,대림,2,14,44230-5,84.829,,209-4,44230,18,,
7,"3,300",,1989,2012,해월로,00063,00004,44230,03,0,3255038,부창동,0274,0043,44230,10400,1,주공,2,14,44230-8,39.3,,274-43,44230,1,,
8,"2,300",,1989,2012,해월로,00063,00004,44230,03,0,3255038,부창동,0274,0043,44230,10400,1,주공,2,27,44230-8,39.69,,274-43,44230,4,,
9,"11,500",,1997,2012,대림길,00007,00000,44230,01,0,4565199,부창동,0209,0004,44230,10400,1,대림,2,28,44230-5,59.884,,209-4,44230,17,,
10,"4,500",,2000,2012,체육로,00039,00000,44230,01,0,3255035,취암동,0079,0000,44230,10500,1,세중세미클래식,2,1,44230-47,36.29,,79,44230,14,,
11,"22,000",,2007,2012,번영로29번길,00010,00000,44230,01,0,4565373,취암동,1081,0000,44230,10500,1,계룡리슈빌,2,1,44230-191,84.8583,,1081,44230,6,,
12,"7,000",,2000,2012,체육로,00039,00000,44230,01,0,3255035,취암동,0079,0000,44230,10500,1,세중세미클래식,2,3,44230-47,36.29,,79,44230,6,,
13,"11,500",,2002,2012,중앙로260번길,00059,00005,44230,01,0,4565787,취암동,0080,0000,44230,10500,1,주공1단지,2,4,44230-37,49.8,,80,44230,9,,
14,"10,400",,2002,2012,중앙로260번길,00059,00005,44230,01,0,4565787,취암동,0080,0000,44230,10500,1,주공1단지,2,7,44230-37,46.2,,80,44230,6,,
15,"9,200",,2002,2012,중앙로260번길,00059,00005,44230,01,0,4565787,취암동,0080,0000,44230,10500,1,주공1단지,2,8,44230-37,46.2,,80,44230,2,,
16,"9,700",,2002,2012,중앙로260번길,00059,00005,44230,01,0,4565787,취암동,0080,0000,44230,10500,1,주공1단지,2,9,44230-37,46.2,,80,44230,15,,
17,"10,200",,1991,2012,중앙로397번길,00006,00000,44230,01,0,4565800,취암동,0565,0000,44230,10500,1,부국,2,10,44230-11,83.115,,565,44230,10,,
18,"23,600",,2007,2012,번영로29번길,00010,00000,44230,01,0,4565373,취암동,1081,0000,44230,10500,1,계룡리슈빌,2,13,44230-191,101.9596,,1081,44230,3,,
19,"10,200",,2002,2012,중앙로260번길,00059,00005,44230,01,0,4565787,취암동,0080,0000,44230,10500,1,주공1단지,2,15,44230-37,46.2,,80,44230,8,,
20,"32,000",,2007,2012,번영로29번길,00010,00000,44230,01,0,4565373,취암동,1081,0000,44230,10500,1,계룡리슈빌,2,15,44230-191,142.946,,1081,44230,4,,
21,"6,800",,1993,2012,중앙로332번길,00008,00003,44230,01,0,4565789,취암동,0498,0004,44230,10500,1,정안로얄맨션,2,22,44230-14,84.99,,498-4,44230,3,,
22,"4,570",,2000,2012,체육로,00039,00000,44230,01,0,3255035,취암동,0079,0000,44230,10500,1,세중세미클래식,2,28,44230-47,36.29,,79,44230,5,,
23,"25,800",,2007,2012,번영로29번길,00010,00000,44230,01,0,4565373,취암동,1081,0000,44230,10500,1,계룡리슈빌,2,28,44230-191,101.9596,,1081,44230,14,,
24,"8,900",,1994,2012,체육로,00030,00000,44230,02,0,3255035,내동,0969,0000,44230,10900,1,놀뫼타운,2,16,44230-15,54.78,,969,44230,11,,
25,"14,000",,1993,2012,체육로,00048,00006,44230,02,0,3255035,내동,0535,0000,44230,10900,1,동신,2,17,44230-16,89,,535,44230,8,,
26,"14,400",,1993,2012,체육로,00048,00006,44230,02,0,3255035,내동,0535,0000,44230,10900,1,동신,2,18,44230-16,89,,535,44230,3,,
27,"8,900",,1994,2012,체육로,00018,00000,44230,02,0,3255035,내동,0968,0000,44230,10900,1,아주,2,19,44230-17,55.2,,968,44230,12,,
28,"9,400",,1994,2012,체육로,00030,00000,44230,02,0,3255035,내동,0969,0000,44230,10900,1,놀뫼타운,2,20,44230-15,54.78,,969,44230,4,,
29,"8,800",,1994,2012,체육로,00030,00000,44230,02,0,3255035,내동,0969,0000,44230,10900,1,놀뫼타운,2,22,44230-15,54.78,,969,44230,6,,
30,"12,800",,1994,2012,체육로,00018,00000,44230,02,0,3255035,내동,0968,0000,44230,10900,1,아주,2,22,44230-17,59.85,,968,44230,11,,
31,"8,600",,1994,2012,체육로,00030,00000,44230,02,0,3255035,내동,0969,0000,44230,10900,1,놀뫼타운,2,22,44230-15,54.78,,969,44230,1,,
32,"18,400",,2003,2012,시민로258번길,00010,00000,44230,02,0,4565534,내동,0272,0007,44230,10900,1,논산제이파크2단지,2,24,44230-39,84.9783,,272-7,44230,5,,
33,"13,400",,1993,2012,체육로,00048,00006,44230,02,0,3255035,내동,0535,0000,44230,10900,1,동신,2,25,44230-16,89,,535,44230,12,,
34,"12,700",,1994,2012,체육로,00030,00000,44230,02,0,3255035,내동,0969,0000,44230,10900,1,놀뫼타운,2,27,44230-15,84.98,,969,44230,12,,
35,"17,500",,2003,2012,시민로258번길,00010,00000,44230,02,0,4565534,내동,0272,0007,44230,10900,1,논산제이파크2단지,2,29,44230-39,84.9783,,272-7,44230,7,,
36,"11,000",,1995,2012,시민로307번길,00019,00000,44230,03,0,4565538,강산동,0645,0000,44230,11000,1,동신,2,7,44230-18,65.91,,645,44230,9,,
37,"9,550",,2000,2012,논산대로,00269,00019,44230,05,0,2255001,강산동,0698,0000,44230,11000,1,논산강산한신청솔,2,7,44230-35,59.85,,698,44230,1,,
38,"10,000",,1995,2012,시민로307번길,00019,00000,44230,03,0,4565538,강산동,0645,0000,44230,11000,1,동신,2,13,44230-18,65.91,,645,44230,13,,
39,"6,700",,2000,2012,논산대로,00269,00019,44230,05,0,2255001,강산동,0698,0000,44230,11000,1,논산강산한신청솔,2,13,44230-35,59.85,,698,44230,5,,
40,"13,900",,1995,2012,시민로307번길,00019,00000,44230,03,0,4565538,강산동,0645,0000,44230,11000,1,동신,2,19,44230-18,77.72,,645,44230,10,,
41,"12,500",,1995,2012,시민로307번길,00019,00000,44230,03,0,4565538,강산동,0645,0000,44230,11000,1,동신,2,20,44230-18,77.72,,645,44230,1,,
42,"13,000",,1995,2012,시민로307번길,00019,00000,44230,03,0,4565538,강산동,0645,0000,44230,11000,1,동신,2,21,44230-18,77.72,,645,44230,7,,
43,"4,000",,1991,2012,계백로219번길,00022,00000,44230,01,0,4565059,강경읍 홍교리,0113,0000,44230,25025,1,현대,2,29,44230-20,74.22,,113,44230,5,,
44,"6,000",,2000,2012,대흥로5번길,00037,00000,44230,01,0,4565224,강경읍 대흥리,0035,0000,44230,25029,1,조흥,2,16,44230-34,59.367,,35,44230,11,,
45,"6,000",,2000,2012,대흥로5번길,00037,00000,44230,01,0,4565224,강경읍 대흥리,0035,0000,44230,25029,1,조흥,2,17,44230-34,59.367,,35,44230,13,,
46,"9,851",,2008,2012,금백로,00074,00000,44230,01,0,3251043,강경읍 황산리,0014,0009,44230,25030,1,강경클래시움,2,2,44230-196,65.4314,,14-9,44230,5,,
47,"14,500",,2008,2012,금백로,00074,00000,44230,01,0,3251043,강경읍 황산리,0014,0009,44230,25030,1,강경클래시움,2,3,44230-196,84.8686,,14-9,44230,10,,
48,"19,000",,2008,2012,금백로,00074,00000,44230,01,0,3251043,강경읍 황산리,0014,0009,44230,25030,1,강경클래시움,2,20,44230-196,131.53,,14-9,44230,6,,
49,"4,100",,2001,2012,동안로,00096,00000,44230,01,0,3255011,강경읍 산양리,0249,0002,44230,25032,1,금강빌리지아파트,2,10,44230-36,39.6,,249-2,44230,3,,
50,"3,750",,1991,2012,잣디길,00013,00002,44230,01,0,4565758,강경읍 산양리,0255,0006,44230,25032,1,미주,2,13,44230-24,59.83,,255-6,44230,4,,
51,"3,700",,1991,2012,잣디길,00013,00002,44230,01,0,4565758,강경읍 산양리,0255,0006,44230,25032,1,미주,2,18,44230-24,59.83,,255-6,44230,3,,
52,"3,750",,1991,2012,잣디길,00013,00002,44230,01,0,4565758,강경읍 산양리,0255,0006,44230,25032,1,미주,2,25,44230-24,59.83,,255-6,44230,5,,
53,"4,500",,1991,2012,연무로212번길,00005,00000,44230,01,0,4565613,연무읍 마산리,0530,0009,44230,25321,1,광명,2,18,44230-25,76.95,,530-9,44230,5,,
