,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"4,250",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,1,3,44760-1,39.69,,41,44760,5,,
1,"3,500",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,1,18,44760-1,39.69,,41,44760,2,,
2,"2,500",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,1,20,44760-1,39.69,,41,44760,3,,
3,"1,800",,1982,2012,사비로,00112,00000,44760,01,0,3259094,부여읍 구아리,0145,0005,44760,25029,1,수정상가,1,31,44760-7,46.53,,145-5,44760,3,,
4,"14,700",,2000,2012,성왕로352번길,00011,00000,44760,01,0,4577363,부여읍 쌍북리,0727,0000,44760,25031,1,왕궁,1,3,44760-10,84.48,,727,44760,4,,
5,"15,000",,2000,2012,성왕로352번길,00011,00000,44760,01,0,4577363,부여읍 쌍북리,0727,0000,44760,25031,1,왕궁,1,9,44760-10,84.48,,727,44760,1,,
6,"14,750",,2000,2012,성왕로352번길,00011,00000,44760,01,0,4577363,부여읍 쌍북리,0727,0000,44760,25031,1,왕궁,1,16,44760-10,84.48,,727,44760,5,,
7,"12,500",,2001,2012,성왕로328번길,00018,00007,44760,01,0,4577362,부여읍 쌍북리,0734,0000,44760,25031,1,홍선,1,25,44760-11,59.9474,,734,44760,5,,
8,"11,000",,2002,2012,흥수로,00771,00005,44760,01,0,3259226,규암면 반산리,0321,0000,44760,31021,1,무지개,1,6,44760-20,83.8186,,321,44760,1,,
9,"4,000",,2000,2012,호수로,00019,00000,44760,01,0,3259216,규암면 석우리,0070,0002,44760,31038,1,초원,1,12,44760-17,43.077,,70-2,44760,6,,
10,"4,800",,2000,2012,홍산시장로,00014,00000,44760,01,0,3259219,홍산면 남촌리,0091,0010,44760,36024,1,홍산덕암비홍아파트101동,1,20,44760-18,55.1672,,91-10,44760,10,,
0,"4,600",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,2,9,44760-1,39.72,,41,44760,4,,
1,"4,800",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,2,21,44760-1,46.86,,41,44760,3,,
2,"15,000",,2000,2012,성왕로352번길,00011,00000,44760,01,0,4577363,부여읍 쌍북리,0727,0000,44760,25031,1,왕궁,2,7,44760-10,84.55,,727,44760,4,,
3,"5,350",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,2,10,44760-9,39.99,,113,44760,2,,
4,"5,500",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,2,17,44760-9,39.99,,113,44760,2,,
5,"5,450",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,2,20,44760-9,39.99,,113,44760,1,,
6,"15,000",,2000,2012,성왕로352번길,00011,00000,44760,01,0,4577363,부여읍 쌍북리,0727,0000,44760,25031,1,왕궁,2,20,44760-10,84.55,,727,44760,4,,
7,"5,000",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,2,21,44760-9,39.99,,113,44760,1,,
8,"5,300",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,2,23,44760-9,39.6,,113,44760,4,,
9,"13,400",,2001,2012,성왕로328번길,00018,00007,44760,01,0,4577362,부여읍 쌍북리,0734,0000,44760,25031,1,홍선,2,27,44760-11,59.9474,,734,44760,3,,
10,"8,900",,2002,2012,흥수로,00771,00005,44760,01,0,3259226,규암면 반산리,0321,0000,44760,31021,1,무지개,2,13,44760-20,59.9598,,321,44760,2,,
11,"12,900",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,2,15,44760-15,84.54,,307,44760,5,,
12,"8,350",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,2,13,44760-16,60,,500,44760,1,,
13,"9,500",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,2,15,44760-16,84.9,,500,44760,1,,
14,"9,200",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,2,20,44760-16,60,,500,44760,12,,
15,"11,200",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,2,26,44760-16,84.9,,500,44760,13,,
16,"5,000",,2000,2012,홍산시장로,00014,00000,44760,01,0,3259219,홍산면 남촌리,0091,0010,44760,36024,1,홍산덕암비홍아파트101동,2,28,44760-18,55.1672,,91-10,44760,10,,
0,"5,000",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,3,6,44760-1,46.68,,41,44760,4,,
1,"4,800",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,3,9,44760-1,39.72,,41,44760,5,,
2,"5,500",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,3,13,44760-1,46.86,,41,44760,1,,
3,"7,000",,1992,2012,서동로37번길,00029,00012,44760,01,0,4577326,부여읍 동남리,0233,0004,44760,25028,1,삼진(233-4),3,15,44760-2,79.68,,233-4,44760,2,,
4,"4,800",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,3,16,44760-1,39.72,,41,44760,5,,
5,"5,700",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,3,6,44760-9,39.6,,113,44760,1,,
6,"4,950",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,3,28,44760-9,39.99,,113,44760,5,,
7,"4,500",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,3,29,44760-9,39.99,,113,44760,5,,
8,"11,900",,2000,2012,성왕로352번길,00011,00000,44760,01,0,4577363,부여읍 쌍북리,0727,0000,44760,25031,1,왕궁,3,30,44760-10,59.47,,727,44760,4,,
9,"14,000",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,3,9,44760-15,99.27,,307,44760,11,,
10,"11,300",,2002,2012,흥수로,00771,00005,44760,01,0,3259226,규암면 반산리,0321,0000,44760,31021,1,무지개,3,9,44760-20,83.8186,,321,44760,13,,
11,"13,300",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,3,15,44760-15,84.54,,307,44760,8,,
12,"12,900",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,3,24,44760-15,84.54,,307,44760,12,,
13,"11,000",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,3,27,44760-15,84.54,,307,44760,7,,
14,"11,400",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,3,28,44760-15,84.54,,307,44760,14,,
15,"6,700",,1993,2012,충절로2255번길,00003,00000,44760,01,0,4577682,규암면 외리,0282,0001,44760,31033,1,부여백자,3,19,44760-13,59.83,,282-1,44760,2,,
16,"10,800",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,3,27,44760-16,84.9,,500,44760,12,,
0,"4,970",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,4,16,44760-1,39.69,,41,44760,4,,
1,"4,200",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,4,30,44760-1,39.69,,41,44760,3,,
2,"16,900",,2001,2012,성왕로328번길,00018,00007,44760,01,0,4577362,부여읍 쌍북리,0734,0000,44760,25031,1,홍선,4,3,44760-11,84.9038,,734,44760,2,,
3,"18,200",,2001,2012,성왕로328번길,00018,00007,44760,01,0,4577362,부여읍 쌍북리,0734,0000,44760,25031,1,홍선,4,4,44760-11,84.9038,,734,44760,6,,
4,"12,500",,2001,2012,성왕로328번길,00018,00007,44760,01,0,4577362,부여읍 쌍북리,0734,0000,44760,25031,1,홍선,4,9,44760-11,59.9474,,734,44760,1,,
5,"15,200",,2001,2012,성왕로328번길,00018,00007,44760,01,0,4577362,부여읍 쌍북리,0734,0000,44760,25031,1,홍선,4,11,44760-11,84.9038,,734,44760,2,,
6,"17,600",,2001,2012,성왕로328번길,00018,00007,44760,01,0,4577362,부여읍 쌍북리,0734,0000,44760,25031,1,홍선,4,12,44760-11,84.9038,,734,44760,4,,
7,"11,900",,2000,2012,성왕로352번길,00011,00000,44760,01,0,4577363,부여읍 쌍북리,0727,0000,44760,25031,1,왕궁,4,17,44760-10,59.47,,727,44760,1,,
8,"6,400",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,4,23,44760-9,47.31,,113,44760,1,,
9,"9,350",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,4,10,44760-15,59.64,,307,44760,4,,
10,"12,500",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,4,17,44760-15,84.54,,307,44760,10,,
11,"9,300",,2002,2012,흥수로,00771,00005,44760,01,0,3259226,규암면 반산리,0321,0000,44760,31021,1,무지개,4,25,44760-20,59.9598,,321,44760,6,,
12,"15,100",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,4,26,44760-15,99.27,,307,44760,11,,
13,"9,800",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,4,5,44760-16,84.9,,500,44760,15,,
14,"9,850",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,4,13,44760-16,84.9,,500,44760,15,,
15,"8,800",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,4,16,44760-16,60,,500,44760,14,,
0,"6,000",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,5,21,44760-1,46.78,,41,44760,3,,
1,"5,800",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,5,21,44760-1,46.86,,41,44760,1,,
2,"5,450",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,5,29,44760-9,39.6,,113,44760,2,,
3,"9,000",,2002,2012,흥수로,00771,00005,44760,01,0,3259226,규암면 반산리,0321,0000,44760,31021,1,무지개,5,17,44760-20,59.9598,,321,44760,10,,
4,"9,450",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,5,9,44760-16,60,,500,44760,12,,
5,"10,700",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,5,10,44760-16,84.9,,500,44760,6,,
6,"11,600",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,5,10,44760-16,84.9,,500,44760,8,,
7,"11,600",,2001,2012,흥수로,00646,00000,44760,01,0,3259226,규암면 합송리,0500,0000,44760,31035,1,규암강산,5,30,44760-16,84.9,,500,44760,3,,
0,"5,500",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,6,5,44760-1,46.86,,41,44760,3,,
1,"8,500",,1995,2012,사비로,00009,00000,44760,01,0,3259094,부여읍 동남리,0190,0002,44760,25028,1,신안(190-2),6,18,44760-4,67.41,,190-2,44760,3,,
2,"6,400",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,6,20,44760-1,46.79,,41,44760,2,,
3,"17,700",,2001,2012,성왕로328번길,00018,00007,44760,01,0,4577362,부여읍 쌍북리,0734,0000,44760,25031,1,홍선,6,14,44760-11,84.9038,,734,44760,6,,
4,"5,800",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,6,19,44760-9,46.98,,113,44760,4,,
5,"13,900",,2001,2012,성왕로328번길,00018,00007,44760,01,0,4577362,부여읍 쌍북리,0734,0000,44760,25031,1,홍선,6,22,44760-11,59.9474,,734,44760,4,,
6,"5,900",,1991,2012,성왕로328번길,00015,00000,44760,01,0,4577362,부여읍 쌍북리,0113,0000,44760,25031,1,쌍북주공1,6,29,44760-9,46.98,,113,44760,5,,
7,"9,500",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,6,5,44760-15,59.64,,307,44760,4,,
8,"12,750",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,6,12,44760-15,84.54,,307,44760,5,,
9,"6,900",,2002,2012,흥수로,00771,00005,44760,01,0,3259226,규암면 반산리,0321,0000,44760,31021,1,무지개,6,15,44760-20,49.5388,,321,44760,2,,
10,"5,800",,2002,2012,흥수로,00771,00005,44760,01,0,3259226,규암면 반산리,0321,0000,44760,31021,1,무지개,6,22,44760-20,59.9598,,321,44760,2,,
11,"12,000",,2002,2012,호수로,00032,00000,44760,01,0,3259216,규암면 반산리,0307,0000,44760,31021,1,대동,6,29,44760-15,84.54,,307,44760,11,,
12,"4,000",,2000,2012,호수로,00019,00000,44760,01,0,3259216,규암면 석우리,0070,0002,44760,31038,1,초원,6,11,44760-17,43.077,,70-2,44760,5,,
0,"5,500",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,7,25,44760-1,46.86,,41,44760,1,,
1,"4,750",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,7,27,44760-1,39.72,,41,44760,2,,
2,"4,300",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,7,27,44760-1,39.72,,41,44760,4,,
3,"4,600",,1986,2012,금성로,00020,00000,44760,01,0,3259024,부여읍 동남리,0041,0000,44760,25028,1,동남주공,7,29,44760-1,39.72,,41,44760,5,,
