,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,1,4,44770-161,84.9977,,386,44770,10,,
1,"15,240",,2010,2012,서천로131번길,00033,00003,44770,01,0,4580391,서천읍 사곡리,0389,0000,44770,25322,1,천산스카이빌(201동),1,5,44770-165,84.2133,,389,44770,6,,
2,"16,700",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,1,7,44770-161,84.9977,,386,44770,12,,
3,"10,500",,2004,2012,사곡로,00012,00016,44770,01,0,3260006,서천읍 사곡리,0304,0156,44770,25322,1,신영골든빌,1,13,44770-13,83.625,,304-156,44770,1,,
4,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,1,17,44770-161,84.9977,,386,44770,8,,
5,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,1,19,44770-161,84.9977,,386,44770,3,,
6,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,1,20,44770-161,84.9977,,386,44770,3,,
7,"16,280",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,1,25,44770-161,84.9977,,386,44770,2,,
8,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,1,30,44770-161,84.9977,,386,44770,3,,
9,"15,240",,2010,2012,서천로131번길,00033,00003,44770,01,0,4580391,서천읍 사곡리,0389,0000,44770,25322,1,천산스카이빌(201동),1,31,44770-165,84.2133,,389,44770,5,,
10,"6,500",,2003,2012,서문로,00081,00000,44770,01,0,3260045,서천읍 화금리,0661,0009,44770,25330,1,그린빌,1,30,44770-15,84.02,,661-9,44770,6,,
11,"5,680",,2001,2012,장서로,00493,00000,44770,03,0,3260030,마서면 덕암리,0314,0004,44770,31030,1,천산,1,12,44770-20,59.706,,314-4,44770,8,,
0,"3,450",,1989,2012,신창서로,00058,00000,44770,01,0,3260024,장항읍 신창리,0243,0044,44770,25024,1,영흥맨션,2,15,44770-1,50.82,,243-44,44770,3,,
1,"5,675",,1995,2012,신창서로,00081,00000,44770,01,0,3260024,장항읍 화천리,0303,0007,44770,25026,1,신흥,2,6,44770-2,59.69,,303-7,44770,6,,
2,"5,500",,1995,2012,신창서로,00081,00000,44770,01,0,3260024,장항읍 화천리,0303,0007,44770,25026,1,신흥,2,7,44770-2,59.69,,303-7,44770,6,,
3,"4,800",,1995,2012,신창서로,00081,00000,44770,01,0,3260024,장항읍 화천리,0303,0007,44770,25026,1,신흥,2,24,44770-2,59.69,,303-7,44770,1,,
4,"5,800",,1995,2012,신창서로,00081,00000,44770,01,0,3260024,장항읍 화천리,0303,0007,44770,25026,1,신흥,2,27,44770-2,59.69,,303-7,44770,14,,
5,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,2,8,44770-161,84.9977,,386,44770,3,,
6,"6,000",,1996,2012,사곡로75번길,00007,00000,44770,01,0,4580283,서천읍 사곡리,0117,0003,44770,25322,1,정원,2,9,44770-10,59.8,,117-3,44770,5,,
7,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,2,9,44770-161,84.9977,,386,44770,3,,
8,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,2,10,44770-161,84.9977,,386,44770,13,,
9,"11,000",,2004,2012,사곡로,00012,00016,44770,01,0,3260006,서천읍 사곡리,0304,0156,44770,25322,1,신영골든빌,2,11,44770-13,83.625,,304-156,44770,7,,
10,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,2,12,44770-161,84.9977,,386,44770,9,,
11,"9,500",,1996,2012,사곡로75번길,00007,00000,44770,01,0,4580283,서천읍 사곡리,0117,0003,44770,25322,1,정원,2,13,44770-10,84.98,,117-3,44770,3,,
12,"14,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,2,13,44770-161,84.9977,,386,44770,1,,
13,"8,000",,1996,2012,사곡로75번길,00007,00000,44770,01,0,4580283,서천읍 사곡리,0117,0003,44770,25322,1,정원,2,14,44770-10,84.98,,117-3,44770,14,,
14,"12,700",,2004,2012,사곡로,00012,00016,44770,01,0,3260006,서천읍 사곡리,0304,0156,44770,25322,1,신영골든빌,2,19,44770-13,83.625,,304-156,44770,13,,
15,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,2,20,44770-161,84.9977,,386,44770,8,,
16,"15,900",,2009,2012,사곡로75번길,00006,00000,44770,01,0,4580283,서천읍 사곡리,0385,0000,44770,25322,1,서천클래시움,2,24,44770-160,84.941,,385,44770,3,,
17,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,2,24,44770-161,84.9977,,386,44770,9,,
18,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,2,24,44770-161,84.9977,,386,44770,7,,
19,"11,800",,2004,2012,사곡로,00012,00016,44770,01,0,3260006,서천읍 사곡리,0304,0156,44770,25322,1,신영골든빌,2,27,44770-13,83.625,,304-156,44770,15,,
20,"15,000",,2009,2012,사곡로75번길,00006,00000,44770,01,0,4580283,서천읍 사곡리,0385,0000,44770,25322,1,서천클래시움,2,27,44770-160,84.941,,385,44770,10,,
21,"5,680",,2001,2012,장서로,00493,00000,44770,03,0,3260030,마서면 덕암리,0314,0004,44770,31030,1,천산,2,3,44770-20,59.706,,314-4,44770,12,,
22,"5,580",,2001,2012,장서로,00493,00000,44770,03,0,3260030,마서면 덕암리,0314,0004,44770,31030,1,천산,2,10,44770-20,59.706,,314-4,44770,2,,
23,"5,350",,2001,2012,장서로,00493,00000,44770,03,0,3260030,마서면 덕암리,0314,0004,44770,31030,1,천산,2,13,44770-20,59.706,,314-4,44770,2,,
24,"5,680",,2001,2012,장서로,00493,00000,44770,03,0,3260030,마서면 덕암리,0314,0004,44770,31030,1,천산,2,20,44770-20,59.706,,314-4,44770,3,,
25,"5,680",,2001,2012,장서로,00493,00000,44770,03,0,3260030,마서면 덕암리,0314,0004,44770,31030,1,천산,2,21,44770-20,59.706,,314-4,44770,12,,
26,"5,580",,2001,2012,장서로,00493,00000,44770,03,0,3260030,마서면 덕암리,0314,0004,44770,31030,1,천산,2,29,44770-20,59.706,,314-4,44770,2,,
0,"7,000",,1996,2012,성화로,00194,00000,44770,01,0,3260013,장항읍 성주리,0278,0002,44770,25023,1,금강,3,6,44770-3,59.99,,278-2,44770,8,,
1,"7,300",,1996,2012,성화로,00194,00000,44770,01,0,3260013,장항읍 성주리,0278,0002,44770,25023,1,금강,3,13,44770-3,59.99,,278-2,44770,3,,
2,"11,500",,1996,2012,성화로,00194,00000,44770,01,0,3260013,장항읍 성주리,0278,0002,44770,25023,1,금강,3,20,44770-3,109.11,,278-2,44770,14,,
3,"13,000",,1996,2012,성화로,00194,00000,44770,01,0,3260013,장항읍 성주리,0278,0002,44770,25023,1,금강,3,29,44770-3,109.11,,278-2,44770,13,,
4,"2,400",,1989,2012,신창서로,00058,00000,44770,01,0,3260024,장항읍 신창리,0243,0044,44770,25024,1,영흥맨션,3,19,44770-1,50.82,,243-44,44770,4,,
5,"2,500",,1989,2012,신창서로,00064,00000,44770,01,0,3260024,장항읍 신창리,0243,0044,44770,25024,1,영흥맨션,3,24,44770-1,51.27,,243-44,44770,4,,
6,"6,000",,1995,2012,신창서로,00081,00000,44770,01,0,3260024,장항읍 화천리,0303,0007,44770,25026,1,신흥,3,17,44770-2,59.69,,303-7,44770,14,,
7,"1,600",,1998,2012,장항공단길10번길,00042,00000,44770,01,0,4580704,장항읍 원수리,0207,0000,44770,25030,1,임해,3,15,44770-18,43.27,,207,44770,1,,
8,"9,200",,1992,2012,충절로29번길,00016,00000,44770,01,0,4580843,서천읍 군사리,0693,0001,44770,25321,1,제일맨션,3,5,44770-4,84.74,,693-1,44770,2,,
9,"22,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,3,3,44770-161,125.0019,,386,44770,13,,
10,"15,430",,2009,2012,사곡로75번길,00006,00000,44770,01,0,4580283,서천읍 사곡리,0385,0000,44770,25322,1,서천클래시움,3,6,44770-160,84.941,,385,44770,2,,
11,"12,000",,2004,2012,사곡로,00012,00016,44770,01,0,3260006,서천읍 사곡리,0304,0156,44770,25322,1,신영골든빌,3,8,44770-13,83.625,,304-156,44770,1,,
12,"11,750",,2004,2012,사곡로,00012,00016,44770,01,0,3260006,서천읍 사곡리,0304,0156,44770,25322,1,신영골든빌,3,8,44770-13,83.625,,304-156,44770,3,,
13,"10,200",,1996,2012,사곡로75번길,00007,00000,44770,01,0,4580283,서천읍 사곡리,0117,0003,44770,25322,1,정원,3,13,44770-10,84.98,,117-3,44770,2,,
14,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,3,13,44770-161,84.9977,,386,44770,5,,
15,"9,700",,1996,2012,사곡로75번길,00007,00000,44770,01,0,4580283,서천읍 사곡리,0117,0003,44770,25322,1,정원,3,15,44770-10,84.98,,117-3,44770,1,,
16,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,3,17,44770-161,84.9977,,386,44770,4,,
17,"15,430",,2009,2012,사곡로75번길,00006,00000,44770,01,0,4580283,서천읍 사곡리,0385,0000,44770,25322,1,서천클래시움,3,28,44770-160,84.941,,385,44770,2,,
18,"15,240",,2010,2012,서천로131번길,00033,00003,44770,01,0,4580391,서천읍 사곡리,0389,0000,44770,25322,1,천산스카이빌(201동),3,28,44770-165,84.2133,,389,44770,4,,
19,"16,280",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,3,28,44770-161,84.9977,,386,44770,2,,
20,"7,500",,1996,2012,사곡로75번길,00007,00000,44770,01,0,4580283,서천읍 사곡리,0117,0003,44770,25322,1,정원,3,30,44770-10,59.8,,117-3,44770,3,,
21,"15,980",,2009,2012,서천로143번길,00051,00000,44770,01,0,4580393,서천읍 사곡리,0386,0000,44770,25322,1,천산스카이빌,3,31,44770-161,84.9977,,386,44770,4,,
22,"5,680",,2001,2012,장서로,00493,00000,44770,03,0,3260030,마서면 덕암리,0314,0004,44770,31030,1,천산,3,2,44770-20,59.706,,314-4,44770,3,,
23,"5,750",,2001,2012,장서로,00493,00000,44770,03,0,3260030,마서면 덕암리,0314,0004,44770,31030,1,천산,3,20,44770-20,59.706,,314-4,44770,9,,
0,"6,750",,1996,2012,성화로,00194,00000,44770,01,0,3260013,장항읍 성주리,0278,0002,44770,25023,1,금강,4,9,44770-3,59.99,,278-2,44770,7,,
1,"8,000",,1996,2012,성화로,00194,00000,44770,01,0,3260013,장항읍 성주리,0278,0002,44770,25023,1,금강,4,14,44770-3,59.99,,278-2,44770,15,,
2,"3,500",,1989,2012,신창서로,00058,00000,44770,01,0,3260024,장항읍 신창리,0243,0044,44770,25024,1,영흥맨션,4,20,44770-1,53.85,,243-44,44770,4,,
3,"1,750",,1998,2012,장항공단길10번길,00042,00000,44770,01,0,4580704,장항읍 원수리,0207,0000,44770,25030,1,임해,4,9,44770-18,43.27,,207,44770,4,,
