,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"16,300",,2004,2012,고리섬들길,00092,00000,44790,01,0,4583017,청양읍 읍내리,0371,0006,44790,25021,1,디엠에이스빌,1,12,44790-5,84.9153,,371-6,44790,11,,
0,"7,000",,2000,2012,청산로,00035,00000,44790,01,0,3261017,청양읍 읍내리,0376,0011,44790,25021,1,장안,2,7,44790-7,59.67,,376-11,44790,4,,
1,"8,100",,1997,2012,중앙로,00080,00001,44790,01,0,3261022,청양읍 읍내리,0376,0008,44790,25021,1,세아,2,27,44790-2,59.67,,376-8,44790,7,,
0,"6,500",,2002,2012,고리섬들길,00068,00008,44790,01,0,4583017,청양읍 읍내리,0306,0000,44790,25021,1,주공1단지,3,5,44790-6,36.44,,306,44790,7,,
1,"7,000",,2002,2012,고리섬들길,00068,00008,44790,01,0,4583017,청양읍 읍내리,0306,0000,44790,25021,1,주공1단지,3,9,44790-6,59.64,,306,44790,14,,
2,"8,150",,1997,2012,중앙로,00080,00001,44790,01,0,3261022,청양읍 읍내리,0376,0008,44790,25021,1,세아,3,16,44790-2,59.67,,376-8,44790,11,,
3,"7,000",,2000,2012,청산로,00035,00000,44790,01,0,3261017,청양읍 읍내리,0376,0011,44790,25021,1,장안,3,27,44790-7,59.67,,376-11,44790,2,,
4,"17,000",,2004,2012,고리섬들길,00092,00000,44790,01,0,4583017,청양읍 읍내리,0371,0006,44790,25021,1,디엠에이스빌,3,29,44790-5,84.9153,,371-6,44790,12,,
0,"8,500",,2000,2012,청산로,00035,00000,44790,01,0,3261017,청양읍 읍내리,0376,0011,44790,25021,1,장안,5,1,44790-7,59.67,,376-11,44790,9,,
1,"10,000",,1996,2012,청산로,00029,00000,44790,01,0,3261017,청양읍 읍내리,0377,0005,44790,25021,1,천강,5,2,44790-4,84.906,,377-5,44790,10,,
2,"8,800",,2000,2012,청산로,00035,00000,44790,01,0,3261017,청양읍 읍내리,0376,0011,44790,25021,1,장안,5,9,44790-7,59.67,,376-11,44790,7,,
3,"6,500",,2000,2012,청산로,00035,00000,44790,01,0,3261017,청양읍 읍내리,0376,0011,44790,25021,1,장안,5,14,44790-7,49.95,,376-11,44790,5,,
4,"3,300",,2000,2012,청산로,00035,00000,44790,01,0,3261017,청양읍 읍내리,0376,0011,44790,25021,1,장안,5,30,44790-7,29.7,,376-11,44790,8,,
