,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"8,500",,1997,2012,내포로146번길,00046,00000,44800,01,0,4586161,홍성읍 오관리,0652,0000,44800,25021,1,미림청솔,1,2,44800-2,59.22,,652,44800,2,,
1,"21,200",,2006,2012,충서로,01506,00000,44800,01,0,3252053,홍성읍 오관리,0808,0000,44800,25021,1,세광엔리치타워,1,5,44800-213,84.9595,,808,44800,6,,
2,"9,300",,1997,2012,월계천길,00041,00011,44800,01,0,4586356,홍성읍 오관리,0668,0002,44800,25021,1,현대,1,9,44800-9,59.928,,668-2,44800,1,,
3,"12,000",,1997,2012,월계천길,00041,00011,44800,01,0,4586356,홍성읍 오관리,0668,0002,44800,25021,1,현대,1,13,44800-9,59.928,,668-2,44800,12,,
4,"9,400",,1997,2012,월계천길,00041,00011,44800,01,0,4586356,홍성읍 오관리,0668,0002,44800,25021,1,현대,1,31,44800-9,59.928,,668-2,44800,2,,
5,"14,800",,2003,2012,월산로30번길,00039,00000,44800,01,0,4586362,홍성읍 월산리,0850,0000,44800,25024,1,부영1차,1,13,44800-31,80.9663,,850,44800,11,,
6,"16,700",,2006,2012,문화로33번길,00011,00000,44800,01,0,4586226,홍성읍 옥암리,1105,0000,44800,25025,1,홍성옥암하늘채,1,28,44800-212,72.6352,,1105,44800,14,,
7,"7,600",,2001,2012,문화로72번길,00092,00000,44800,01,0,4586228,홍성읍 남장리,0515,0000,44800,25026,1,주공아파트1차,1,6,44800-17,45.79,,515,44800,13,,
8,"5,400",,1990,2012,홍장북로441번길,00025,00009,44800,01,0,4586630,홍성읍 남장리,0095,0051,44800,25026,1,거성B동,1,7,44800-12,70.02,,95-51,44800,1,,
9,"6,000",,1990,2012,홍장북로441번길,00025,00009,44800,01,0,4586630,홍성읍 남장리,0095,0051,44800,25026,1,거성B동,1,17,44800-12,67.5,,95-51,44800,3,,
10,"6,250",,1991,2012,홍장북로441번길,00025,00012,44800,01,0,4586630,홍성읍 남장리,0095,0022,44800,25026,1,미성아파트C동,1,19,44800-15,69.29,,95-22,44800,5,,
11,"10,700",,1995,2012,문화로72번길,00041,00000,44800,01,0,4586228,홍성읍 남장리,0112,0012,44800,25026,1,대우아파트,1,26,44800-13,84.975,,112-12,44800,9,,
12,"7,800",,1995,2012,문화로72번길,00041,00000,44800,01,0,4586228,홍성읍 남장리,0112,0012,44800,25026,1,대우아파트,1,28,44800-13,59.46,,112-12,44800,13,,
13,"18,000",,2009,2012,충절로953번길,00020,00000,44800,01,0,4586524,홍성읍 고암리,1077,0000,44800,25030,1,신동아파밀리에,1,6,44800-221,84.891,,1077,44800,2,,
14,"23,000",,2009,2012,충절로953번길,00020,00000,44800,01,0,4586524,홍성읍 고암리,1077,0000,44800,25030,1,신동아파밀리에,1,9,44800-221,122.9906,,1077,44800,3,,
15,"22,800",,2009,2012,충절로953번길,00020,00000,44800,01,0,4586524,홍성읍 고암리,1077,0000,44800,25030,1,신동아파밀리에,1,13,44800-221,122.9906,,1077,44800,4,,
16,"26,500",,2009,2012,충절로953번길,00020,00000,44800,01,0,4586524,홍성읍 고암리,1077,0000,44800,25030,1,신동아파밀리에,1,17,44800-221,129.667,,1077,44800,7,,
