,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"14,900",,1997,2012,동문로,00083,00000,45190,01,0,3271012,동충동,0330,0000,45190,10100,1,현대,1,12,45190-2,84.814,,330,45190,5,,
1,"2,700",,1990,2012,금하정1길,00008,00006,45190,01,0,4613083,금동,0429,0000,45190,10600,1,금동주공,1,19,45190-3,39.69,,429,45190,5,,
2,"3,400",,1990,2012,금하정1길,00008,00006,45190,01,0,4613083,금동,0429,0000,45190,10600,1,금동주공,1,26,45190-3,39.69,,429,45190,5,,
3,"3,850",,1990,2012,금하정1길,00008,00006,45190,01,0,4613083,금동,0429,0000,45190,10600,1,금동주공,1,30,45190-3,39.3,,429,45190,4,,
4,"13,500",,2008,2012,요천로,01300,00000,45190,04,0,3000200,조산동,0975,0000,45190,10700,1,메카센트럴,1,5,45190-68,84.9987,,975,45190,4,,
5,"12,000",,2008,2012,요천로,01300,00000,45190,04,0,3000200,조산동,0975,0000,45190,10700,1,메카센트럴,1,20,45190-68,84.9987,,975,45190,1,,
6,"17,300",,2008,2012,요천로,01300,00000,45190,04,0,3000200,조산동,0975,0000,45190,10700,1,메카센트럴,1,28,45190-68,84.9987,,975,45190,15,,
7,"9,700",,1991,2012,동림로,00129,00000,45190,03,0,3271011,향교동,0285,0000,45190,11100,1,중앙하이츠,1,2,45190-10,84.95,,285,45190,3,,
8,"9,300",,1991,2012,동림로,00129,00000,45190,03,0,3271011,향교동,0285,0000,45190,11100,1,중앙하이츠,1,16,45190-10,84.95,,285,45190,4,,
9,"10,200",,1991,2012,동림로,00129,00000,45190,03,0,3271011,향교동,0285,0000,45190,11100,1,중앙하이츠,1,20,45190-10,84.95,,285,45190,1,,
10,"3,700",,1989,2012,용성로,00227,00000,45190,04,0,3271024,도통동,0107,0008,45190,11600,1,도통주공,1,3,45190-7,39.69,,107-8,45190,4,,
11,"5,000",,1989,2012,용성로,00227,00000,45190,04,0,3271024,도통동,0107,0008,45190,11600,1,도통주공,1,27,45190-7,39.3,,107-8,45190,2,,
12,"11,000",,2001,2012,오들1길,00090,00000,45190,02,0,4613437,월락동,0641,0000,45190,11700,1,호반리젠시빌,1,9,45190-27,82.514,,641,45190,7,,
13,"13,000",,2001,2012,오들1길,00090,00000,45190,02,0,4613437,월락동,0641,0000,45190,11700,1,호반리젠시빌,1,27,45190-27,82.514,,641,45190,13,,
14,"15,500",,2010,2012,황죽로,00011,00000,45190,02,0,3271038,고죽동,0147,0003,45190,11800,1,경보이-그린,1,6,45190-69,84.95,,147-3,45190,6,,
15,"6,100",,1996,2012,쑥고개로,00041,00000,45190,01,0,3271043,노암동,0383,0000,45190,12100,1,명지3단지,1,23,45190-30,59.98,,383,45190,2,,
16,"5,650",,1996,2012,쑥고개로,00041,00000,45190,01,0,3271043,노암동,0383,0000,45190,12100,1,명지3단지,1,29,45190-30,59.69,,383,45190,5,,
0,"15,000",,1997,2012,동문로,00083,00000,45190,01,0,3271012,동충동,0330,0000,45190,10100,1,현대,2,29,45190-2,134.82,,330,45190,1,,
1,"5,800",,1984,2012,용성로,00156,00000,45190,03,0,3271024,죽항동,0306,0000,45190,10300,1,죽항2,2,3,45190-5,49.22,,306,45190,3,,
2,"4,200",,1984,2012,용성로,00156,00000,45190,03,0,3271024,죽항동,0306,0000,45190,10300,1,죽항2,2,6,45190-5,42.74,,306,45190,1,,
3,"4,500",,1984,2012,동림로,00008,00000,45190,02,0,3271011,죽항동,0001,0000,45190,10300,1,죽항1,2,7,45190-4,40.32,,1,45190,2,,
4,"5,500",,1984,2012,용성로,00156,00000,45190,03,0,3271024,죽항동,0306,0000,45190,10300,1,죽항2,2,24,45190-5,49.22,,306,45190,4,,
5,"3,700",,1990,2012,금하정1길,00008,00006,45190,01,0,4613083,금동,0429,0000,45190,10600,1,금동주공,2,6,45190-3,39.69,,429,45190,5,,
6,"12,000",,2008,2012,요천로,01300,00000,45190,04,0,3000200,조산동,0975,0000,45190,10700,1,메카센트럴,2,20,45190-68,84.9987,,975,45190,2,,
7,"17,300",,2008,2012,요천로,01300,00000,45190,04,0,3000200,조산동,0975,0000,45190,10700,1,메카센트럴,2,23,45190-68,84.9987,,975,45190,15,,
8,"3,500",,1993,2012,성황단길,00038,00000,45190,01,0,4613348,왕정동,0231,0002,45190,10800,1,"명지2단지1,2동",2,10,45190-65,78.97,,231-2,45190,6,,
9,"7,200",,1994,2012,광천남길,00410,00000,45190,03,0,4613050,왕정동,0113,0001,45190,10800,1,비사벌,2,20,45190-15,84.48,,113-1,45190,11,,
10,"4,400",,1990,2012,의서길,00010,00000,45190,01,0,4613518,왕정동,0018,0000,45190,10800,1,왕정시영,2,20,45190-17,54.18,,18,45190,5,,
11,"5,000",,1993,2012,성황단길,00038,00000,45190,01,0,4613348,왕정동,0231,0000,45190,10800,1,명지2단지아파트,2,28,45190-14,84.79,,231,45190,2,,
12,"3,800",,1987,2012,붕맛길,00095,00000,45190,02,0,4613269,향교동,0257,0001,45190,11100,1,향교,2,1,45190-11,39.72,,257-1,45190,2,,
13,"5,000",,1991,2012,붕맛길,00081,00017,45190,02,0,4613269,향교동,0297,0000,45190,11100,1,향교시영1차,2,3,45190-8,57.84,,297,45190,3,,
14,"10,200",,1991,2012,동림로,00129,00000,45190,03,0,3271011,향교동,0285,0000,45190,11100,1,중앙하이츠,2,4,45190-10,84.95,,285,45190,9,,
15,"13,900",,1991,2012,동림로,00129,00000,45190,03,0,3271011,향교동,0285,0000,45190,11100,1,중앙하이츠,2,4,45190-10,130.16,,285,45190,11,,
16,"4,300",,1991,2012,붕맛길,00081,00017,45190,02,0,4613269,향교동,0297,0000,45190,11100,1,향교시영1차,2,6,45190-8,57.12,,297,45190,5,,
17,"2,500",,1987,2012,붕맛길,00095,00000,45190,02,0,4613269,향교동,0257,0001,45190,11100,1,향교,2,8,45190-11,39.72,,257-1,45190,4,,
18,"4,000",,1987,2012,붕맛길,00095,00000,45190,02,0,4613269,향교동,0257,0001,45190,11100,1,향교,2,13,45190-11,39.72,,257-1,45190,1,,
19,"7,800",,1991,2012,동림로,00129,00000,45190,03,0,3271011,향교동,0285,0000,45190,11100,1,중앙하이츠,2,16,45190-10,61.32,,285,45190,2,,
