,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"7,500",,1993,2012,중앙16길,00051,00000,45210,01,0,4616921,신풍동,0315,0001,45210,10200,1,현대,1,3,45210-20,59.4,,315-1,45210,1,,
1,"6,550",,1993,2012,도작로,00093,00000,45210,01,0,3272017,신풍동,0595,0000,45210,10200,1,비사벌,1,9,45210-16,59.4,,595,45210,2,,
2,"12,200",,2001,2012,벽지산로,00070,00000,45210,01,0,3272024,신풍동,0365,0000,45210,10200,1,성산그린빌,1,12,45210-22,83.1066,,365,45210,14,,
3,"7,200",,1993,2012,도작로,00093,00000,45210,01,0,3272017,신풍동,0595,0000,45210,10200,1,비사벌,1,14,45210-16,59.4,,595,45210,13,,
4,"12,000",,2004,2012,도작4길,00055,00000,45210,01,0,4616246,검산동,1048,0000,45210,10400,1,검산주공2단지아파트,1,1,45210-31,59.56,,1048,45210,10,,
5,"11,700",,2004,2012,도작4길,00055,00000,45210,01,0,4616246,검산동,1048,0000,45210,10400,1,검산주공2단지아파트,1,2,45210-31,59.56,,1048,45210,13,,
6,"8,700",,1998,2012,요촌동길,00056,00000,45210,02,0,4616700,검산동,1030,0003,45210,10400,1,진우APT,1,5,45210-28,59.99,,1030-3,45210,12,,
7,"8,750",,1998,2012,요촌동길,00056,00000,45210,02,0,4616700,검산동,1030,0003,45210,10400,1,진우APT,1,8,45210-28,59.99,,1030-3,45210,12,,
8,"7,900",,1998,2012,요촌동길,00056,00000,45210,00,,4616700,검산동,1030,0000,45210,10400,1,진우(1차),1,10,45210-26,55.2,,1030,45210,17,,
9,"11,900",,2004,2012,도작4길,00055,00000,45210,01,0,4616246,검산동,1048,0000,45210,10400,1,검산주공2단지아파트,1,10,45210-31,59.56,,1048,45210,8,,
10,"8,800",,1998,2012,요촌동길,00056,00000,45210,00,,4616700,검산동,1030,0000,45210,10400,1,진우(1차),1,12,45210-26,59.99,,1030,45210,11,,
11,"7,000",,1998,2012,요촌동길,00056,00000,45210,00,,4616700,검산동,1030,0000,45210,10400,1,진우(1차),1,14,45210-26,55.2,,1030,45210,8,,
12,"8,300",,1998,2012,요촌동길,00056,00000,45210,00,,4616700,검산동,1030,0000,45210,10400,1,진우(1차),1,15,45210-26,55.2,,1030,45210,5,,
13,"8,000",,1998,2012,요촌동길,00056,00000,45210,02,0,4616700,검산동,1030,0003,45210,10400,1,진우APT,1,28,45210-28,59.99,,1030-3,45210,17,,
14,"14,500",,2009,2012,남북로,00267,00000,45210,03,0,3272083,서암동,0017,0001,45210,10700,1,위드,1,18,45210-78,84.8624,,17-1,45210,10,,
15,"4,000",,1993,2012,향교길,00165,00000,45210,02,0,4617023,서암동,0402,0001,45210,10700,1,두일골드맨션,1,31,45210-14,59.26,,402-1,45210,4,,
16,"3,100",,2000,2012,만경로,00870,00012,45210,04,0,3016004,만경읍 몽산리,0079,0004,45210,25027,1,만경영광아파트,1,30,45210-34,49.8,,79-4,45210,3,,
