,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"3,270",,1997,2012,왕궁로,00010,00000,45710,01,0,3269060,삼례읍 삼례리,0297,0010,45710,25021,1,대영1,1,5,45710-4,33.15,,297-10,45710,6,,
1,"2,400",,1997,2012,왕궁로,00010,00000,45710,01,0,3269060,삼례읍 삼례리,0297,0010,45710,25021,1,대영1,1,9,45710-4,33.15,,297-10,45710,2,,
2,"5,500",,1998,2012,왕궁로,00056,00000,45710,01,0,3269060,삼례읍 삼례리,1753,0000,45710,25021,1,삼례주공(1),1,11,45710-17,49.62,,1753,45710,11,,
3,"3,200",,1997,2012,왕궁로,00010,00000,45710,01,0,3269060,삼례읍 삼례리,0297,0010,45710,25021,1,대영1,1,12,45710-4,42.12,,297-10,45710,18,,
4,"5,550",,1998,2012,왕궁로,00056,00000,45710,01,0,3269060,삼례읍 삼례리,1753,0000,45710,25021,1,삼례주공(1),1,19,45710-17,49.62,,1753,45710,13,,
5,"3,100",,1998,2012,왕궁로,00056,00000,45710,01,0,3269060,삼례읍 삼례리,1753,0000,45710,25021,1,삼례주공(1),1,20,45710-17,39.74,,1753,45710,12,,
6,"3,000",,1997,2012,왕궁로,00010,00000,45710,01,0,3269060,삼례읍 삼례리,0297,0010,45710,25021,1,대영1,1,27,45710-4,33.15,,297-10,45710,8,,
7,"8,300",,1997,2012,왕궁로,00010,00000,45710,01,0,3269060,삼례읍 삼례리,0297,0010,45710,25021,1,대영1,1,29,45710-4,59.25,,297-10,45710,12,,
8,"7,700",,1998,2012,충혼길,00050,00000,45710,01,0,4619374,삼례읍 후정리,0106,0000,45710,25022,1,삼례대명,1,15,45710-3,59.98,,106,45710,6,,
9,"7,000",,1998,2012,충혼길,00050,00000,45710,01,0,4619374,삼례읍 후정리,0106,0000,45710,25022,1,삼례대명,1,16,45710-3,59.98,,106,45710,11,,
10,"14,500",,2005,2012,둔산3로,00063,00000,45710,01,0,3273023,봉동읍 둔산리,0898,0002,45710,25324,1,전주첨단코아루1차,1,6,45710-28,84.9187,,898-2,45710,10,,
11,"13,680",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,6,45710-63,71.6893,,871-1,45710,7,,
12,"12,470",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,6,45710-63,71.6893,,871-1,45710,1,,
13,"11,500",,2005,2012,둔산3로,00063,00000,45710,01,0,3273023,봉동읍 둔산리,0898,0002,45710,25324,1,전주첨단코아루1차,1,7,45710-28,84.9599,,898-2,45710,14,,
14,"17,700",,2006,2012,둔산1로,00130,00000,45710,01,0,3273021,봉동읍 둔산리,0873,0003,45710,25324,1,전주첨단코아루2차,1,7,45710-58,84.9534,,873-3,45710,6,,
15,"16,700",,2006,2012,둔산1로,00130,00000,45710,01,0,3273021,봉동읍 둔산리,0873,0003,45710,25324,1,전주첨단코아루2차,1,7,45710-58,84.9534,,873-3,45710,3,,
16,"17,300",,2006,2012,둔산1로,00130,00000,45710,01,0,3273021,봉동읍 둔산리,0873,0003,45710,25324,1,전주첨단코아루2차,1,9,45710-58,84.9534,,873-3,45710,4,,
17,"13,680",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,9,45710-63,71.6893,,871-1,45710,13,,
18,"14,000",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,9,45710-63,71.6893,,871-1,45710,10,,
19,"10,000",,2007,2012,둔산1로,00142,00000,45710,01,0,3273021,봉동읍 둔산리,0873,0001,45710,25324,1,전주렉시안,1,9,45710-59,59.9604,,873-1,45710,6,,
20,"13,030",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,10,45710-63,71.6893,,871-1,45710,2,,
21,"17,130",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,11,45710-63,84.9206,,871-1,45710,6,,
22,"13,680",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,11,45710-63,71.6893,,871-1,45710,4,,
23,"15,510",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,13,45710-63,84.9206,,871-1,45710,1,,
24,"10,500",,2005,2012,둔산3로,00063,00000,45710,01,0,3273023,봉동읍 둔산리,0898,0002,45710,25324,1,전주첨단코아루1차,1,14,45710-28,59.9356,,898-2,45710,13,,
25,"14,400",,2005,2012,둔산3로,00063,00000,45710,01,0,3273023,봉동읍 둔산리,0898,0002,45710,25324,1,전주첨단코아루1차,1,16,45710-28,84.9187,,898-2,45710,9,,
26,"16,700",,2006,2012,둔산1로,00130,00000,45710,01,0,3273021,봉동읍 둔산리,0873,0003,45710,25324,1,전주첨단코아루2차,1,18,45710-58,84.9534,,873-3,45710,3,,
27,"17,130",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,18,45710-63,84.9724,,871-1,45710,5,,
28,"13,030",,2009,2012,둔산1로,00107,00000,45710,01,0,3273021,봉동읍 둔산리,0871,0001,45710,25324,1,라송센트럴카운티,1,19,45710-63,71.6893,,871-1,45710,2,,
29,"12,800",,2005,2012,둔산3로,00063,00000,45710,01,0,3273023,봉동읍 둔산리,0898,0002,45710,25324,1,전주첨단코아루1차,1,21,45710-28,84.9187,,898-2,45710,2,,
30,"14,350",,2007,2012,둔산1로,00142,00000,45710,01,0,3273021,봉동읍 둔산리,0873,0001,45710,25324,1,전주렉시안,1,26,45710-59,84.9159,,873-1,45710,11,,
31,"16,000",,2007,2012,둔산1로,00142,00000,45710,01,0,3273021,봉동읍 둔산리,0873,0001,45710,25324,1,전주렉시안,1,27,45710-59,84.9159,,873-1,45710,12,,
32,"10,900",,2005,2012,둔산3로,00063,00000,45710,01,0,3273023,봉동읍 둔산리,0898,0002,45710,25324,1,전주첨단코아루1차,1,28,45710-28,59.9356,,898-2,45710,10,,
33,"5,800",,1993,2012,봉동동서로,00076,00000,45710,01,0,3273028,봉동읍 장기리,0273,0000,45710,25328,1,봉동2차명진로얄아파트,1,11,45710-9,59.4,,273,45710,1,,
34,"7,900",,1993,2012,봉동동서로,00076,00000,45710,01,0,3273028,봉동읍 장기리,0273,0000,45710,25328,1,봉동2차명진로얄아파트,1,18,45710-9,76.95,,273,45710,4,,
35,"6,900",,1993,2012,봉동동서로,00076,00000,45710,01,0,3273028,봉동읍 장기리,0273,0000,45710,25328,1,봉동2차명진로얄아파트,1,29,45710-9,59.4,,273,45710,5,,
36,"4,500",,1995,2012,봉동동서로,00085,00005,45710,01,0,3273028,봉동읍 장기리,0288,0000,45710,25328,1,아람파크맨션,1,29,45710-10,59.4,,288,45710,1,,
37,"5,000",,1999,2012,하보상길,00018,00006,45710,01,0,4619384,봉동읍 낙평리,0047,0000,45710,25329,1,봉동한신2차,1,5,45710-12,59.926,,47,45710,7,,
38,"6,300",,1999,2012,하보상길,00018,00006,45710,01,0,4619384,봉동읍 낙평리,0047,0000,45710,25329,1,봉동한신2차,1,6,45710-12,59.926,,47,45710,9,,
39,"7,100",,1999,2012,하보상길,00018,00006,45710,01,0,4619384,봉동읍 낙평리,0047,0000,45710,25329,1,봉동한신2차,1,31,45710-12,59.926,,47,45710,4,,
40,"5,600",,1997,2012,봉동로,00019,00000,45710,01,0,3016033,봉동읍 신성리,0819,0014,45710,25333,1,봉동한신아파트,1,10,45710-21,59.94,,819-14,45710,2,,
41,"5,500",,1997,2012,봉동로,00019,00000,45710,01,0,3016033,봉동읍 신성리,0819,0014,45710,25333,1,봉동한신아파트,1,31,45710-21,59.94,,819-14,45710,12,,
42,"3,000",,1999,2012,,00812,00000,45710,02,0,3267079,용진읍 신지리,1581,0001,45710,25627,1,대영,1,3,45710-23,49.68,,1581-1,45710,12,,
43,"2,000",,1997,2012,,00716,00000,45710,02,0,3267079,용진읍 신지리,0876,0004,45710,25627,1,용진원주,1,13,45710-22,35.52,,876-4,45710,8,,
44,"6,400",,1999,2012,,00812,00000,45710,02,0,3267079,용진읍 신지리,1581,0001,45710,25627,1,대영,1,14,45710-23,59.736,,1581-1,45710,3,,
45,"4,600",,1997,2012,,00716,00000,45710,02,0,3267079,용진읍 신지리,0876,0004,45710,25627,1,용진원주,1,18,45710-22,55.44,,876-4,45710,2,,
46,"5,000",,1997,2012,,00716,00000,45710,02,0,3267079,용진읍 신지리,0876,0004,45710,25627,1,용진원주,1,25,45710-22,59.73,,876-4,45710,1,,
47,"3,700",,1999,2012,,00812,00000,45710,02,0,3267079,용진읍 신지리,1581,0001,45710,25627,1,대영,1,26,45710-23,59.736,,1581-1,45710,5,,
48,"2,730",,1999,2012,,00812,00000,45710,02,0,3267079,용진읍 신지리,1581,0001,45710,25627,1,대영,1,28,45710-23,33.75,,1581-1,45710,5,,
49,"2,900",,1997,2012,,00716,00000,45710,02,0,3267079,용진읍 신지리,0876,0004,45710,25627,1,용진원주,1,31,45710-22,35.52,,876-4,45710,2,,
