,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"4,000",,1992,2012,봉황10길,00077,00000,45750,01,0,4631120,임실읍 이도리,0182,0002,45750,25022,1,상원상아,1,12,45750-2,59.58,,182-2,45750,2,,
1,"5,680",,2010,2012,운수로,00033,00022,45750,01,0,3277026,임실읍 이도리,0272,0000,45750,25022,1,신우,1,13,45750-36,59.4,,272,45750,2,,
2,"5,980",,2010,2012,운수로,00033,00022,45750,01,0,3277026,임실읍 이도리,0272,0000,45750,25022,1,신우,1,17,45750-36,59.4,,272,45750,3,,
3,"5,680",,2010,2012,운수로,00033,00022,45750,01,0,3277026,임실읍 이도리,0272,0000,45750,25022,1,신우,1,31,45750-36,59.4,,272,45750,3,,
4,"3,100",,1996,2012,충효로,02050,00006,45750,01,0,3276058,오수면 오수리,0387,0027,45750,35521,1,세원타워,1,2,45750-5,59.4,,387-27,45750,5,,
5,"3,000",,1991,2012,사선1길,00070,00004,45750,01,0,4631140,관촌면 관촌리,0584,0002,45750,38026,1,명진마을,1,31,45750-8,59.55,,584-2,45750,5,,
0,"4,670",,2010,2012,운수로,00033,00022,45750,01,0,3277026,임실읍 이도리,0272,0000,45750,25022,1,신우,2,1,45750-36,40.32,,272,45750,8,,
1,"5,980",,2010,2012,운수로,00033,00022,45750,01,0,3277026,임실읍 이도리,0272,0000,45750,25022,1,신우,2,10,45750-36,59.4,,272,45750,3,,
2,"5,980",,2010,2012,운수로,00033,00022,45750,01,0,3277026,임실읍 이도리,0272,0000,45750,25022,1,신우,2,10,45750-36,59.4,,272,45750,3,,
3,"5,800",,2010,2012,운수로,00033,00022,45750,01,0,3277026,임실읍 이도리,0272,0000,45750,25022,1,신우,2,23,45750-36,59.4,,272,45750,6,,
4,"2,500",,1994,2012,삼일로,00011,00000,45750,01,0,3277014,오수면 오수리,0366,0003,45750,35521,1,상아프라자,2,2,45750-4,59.985,,366-3,45750,6,,
5,"3,200",,1996,2012,충효로,02050,00006,45750,01,0,3276058,오수면 오수리,0387,0027,45750,35521,1,세원타워,2,27,45750-5,59.4,,387-27,45750,5,,
6,"3,400",,1990,2012,사선1길,00039,00000,45750,01,0,4631140,관촌면 관촌리,0489,0005,45750,38026,1,백우맨션,2,1,45750-9,65.35,,489-5,45750,4,,
0,"4,000",,1993,2012,봉황10길,00105,00005,45750,01,0,4631120,임실읍 이도리,0212,0000,45750,25022,1,아도훼밀리,3,14,45750-3,58.32,,212,45750,4,,
1,"13,000",,2003,2012,구이로,00012,00000,45750,01,0,3266093,운암면 마암리,0613,0016,45750,32030,1,운암엘드호수가,3,19,45750-12,84.5911,,613-16,45750,9,,
2,"2,500",,1991,2012,오수2길,00011,00000,45750,00,,4631232,오수면 오수리,0376,0002,45750,35521,1,훼미리,3,5,45750-7,59.88,,376-2,45750,5,,
3,"3,800",,1991,2012,사선1길,00070,00004,45750,01,0,4631140,관촌면 관촌리,0584,0002,45750,38026,1,명진마을,3,29,45750-8,59.55,,584-2,45750,4,,
0,"5,750",,2010,2012,운수로,00033,00022,45750,01,0,3277026,임실읍 이도리,0272,0000,45750,25022,1,신우,4,13,45750-36,59.4,,272,45750,12,,
1,"3,500",,1996,2012,충효로,02050,00006,45750,01,0,3276058,오수면 오수리,0387,0027,45750,35521,1,세원타워,4,2,45750-5,59.4,,387-27,45750,8,,
2,"4,500",,1991,2012,사선1길,00070,00004,45750,01,0,4631140,관촌면 관촌리,0584,0002,45750,38026,1,명진마을,4,19,45750-8,81.42,,584-2,45750,4,,
3,"3,000",,1990,2012,사선1길,00039,00000,45750,01,0,4631140,관촌면 관촌리,0489,0005,45750,38026,1,백우맨션,4,20,45750-9,78.27,,489-5,45750,3,,
4,"4,000",,1991,2012,사선1길,00070,00004,45750,01,0,4631140,관촌면 관촌리,0584,0002,45750,38026,1,명진마을,4,24,45750-8,59.55,,584-2,45750,2,,
5,"3,800",,1991,2012,사선1길,00070,00004,45750,01,0,4631140,관촌면 관촌리,0584,0002,45750,38026,1,명진마을,4,24,45750-8,59.55,,584-2,45750,5,,
0,"6,000",,2010,2012,운수로,00033,00022,45750,01,0,3277026,임실읍 이도리,0272,0000,45750,25022,1,신우,5,18,45750-36,59.4,,272,45750,6,,
1,"4,200",,1992,2012,봉황10길,00077,00000,45750,01,0,4631120,임실읍 이도리,0182,0002,45750,25022,1,상원상아,5,21,45750-2,59.975,,182-2,45750,3,,
2,"3,500",,1993,2012,봉황10길,00105,00005,45750,01,0,4631120,임실읍 이도리,0212,0000,45750,25022,1,아도훼밀리,5,28,45750-3,57.51,,212,45750,5,,
3,"2,700",,1991,2012,오수2길,00011,00000,45750,00,,4631232,오수면 오수리,0376,0002,45750,35521,1,훼미리,5,23,45750-7,57.92,,376-2,45750,1,,
4,"3,000",,1990,2012,사선1길,00039,00000,45750,01,0,4631140,관촌면 관촌리,0489,0005,45750,38026,1,백우맨션,5,2,45750-9,62.2,,489-5,45750,1,,
5,"3,300",,1990,2012,사선1길,00039,00000,45750,01,0,4631140,관촌면 관촌리,0489,0005,45750,38026,1,백우맨션,5,5,45750-9,65.35,,489-5,45750,4,,
6,"3,700",,1990,2012,사선1길,00039,00000,45750,01,0,4631140,관촌면 관촌리,0489,0005,45750,38026,1,백우맨션,5,16,45750-9,78.27,,489-5,45750,5,,
7,"3,400",,1990,2012,사선1길,00039,00000,45750,01,0,4631140,관촌면 관촌리,0489,0005,45750,38026,1,백우맨션,5,24,45750-9,62.2,,489-5,45750,3,,
0,"3,800",,1996,2012,충효로,02050,00006,45750,01,0,3276058,오수면 오수리,0387,0027,45750,35521,1,세원타워,6,18,45750-5,59.4,,387-27,45750,7,,
0,"4,350",,1993,2012,봉황10길,00105,00005,45750,01,0,4631120,임실읍 이도리,0212,0000,45750,25022,1,아도훼밀리,7,3,45750-3,58.32,,212,45750,2,,
1,"3,850",,1992,2012,봉황10길,00077,00000,45750,01,0,4631120,임실읍 이도리,0182,0002,45750,25022,1,상원상아,7,29,45750-2,59.58,,182-2,45750,1,,
2,"2,900",,1991,2012,오수2길,00011,00000,45750,00,,4631232,오수면 오수리,0376,0002,45750,35521,1,훼미리,7,25,45750-7,59.88,,376-2,45750,3,,
0,"3,200",,1996,2012,충효로,02050,00006,45750,01,0,3276058,오수면 오수리,0387,0027,45750,35521,1,세원타워,8,16,45750-5,59.4,,387-27,45750,1,,
1,"4,800",,1990,2012,사선로,00075,00000,45750,01,0,3277013,관촌면 관촌리,0521,0001,45750,38026,1,삼소(동원),8,16,45750-10,82.83,,521-1,45750,1,,
0,"4,000",,1994,2012,삼일로,00011,00000,45750,01,0,3277014,오수면 오수리,0366,0003,45750,35521,1,상아프라자,9,27,45750-4,81.18,,366-3,45750,5,,
1,"2,550",,1990,2012,사선1길,00039,00000,45750,01,0,4631140,관촌면 관촌리,0489,0005,45750,38026,1,백우맨션,9,11,45750-9,65.35,,489-5,45750,5,,
