,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"3,700",,1990,2012,순창11길,00047,00022,45770,01,0,4634172,순창읍 순화리,0092,0002,45770,25021,1,신천,2,1,45770-3,52.56,,92-2,45770,5,,
1,"12,000",,2006,2012,순창9길,00036,00003,45770,01,0,4634181,순창읍 순화리,0130,0003,45770,25021,1,웰빙아트빌,2,16,45770-24,84.96,,130-3,45770,1,,
0,"3,650",,1990,2012,순창11길,00047,00022,45770,01,0,4634172,순창읍 순화리,0092,0002,45770,25021,1,신천,3,9,45770-3,58.8,,92-2,45770,3,,
1,"6,850",,1995,2012,장류로,00296,00000,45770,01,0,3278043,순창읍 순화리,0465,0001,45770,25021,1,정명(대신파크),3,20,45770-1,59.85,,465-1,45770,11,,
2,"9,400",,1995,2012,장류로,00296,00000,45770,01,0,3278043,순창읍 순화리,0465,0001,45770,25021,1,정명(대신파크),3,21,45770-1,84.84,,465-1,45770,8,,
3,"4,800",,1990,2012,순창11길,00047,00022,45770,01,0,4634172,순창읍 순화리,0092,0002,45770,25021,1,신천,3,21,45770-3,58.8,,92-2,45770,1,,
0,"9,300",,1995,2012,장류로,00296,00000,45770,01,0,3278043,순창읍 순화리,0465,0001,45770,25021,1,정명(대신파크),4,17,45770-1,84.84,,465-1,45770,5,,
0,"2,750",,1990,2012,순창11길,00047,00022,45770,01,0,4634172,순창읍 순화리,0092,0002,45770,25021,1,신천,6,11,45770-3,52.56,,92-2,45770,5,,
1,"9,400",,1995,2012,장류로,00296,00000,45770,01,0,3278043,순창읍 순화리,0465,0001,45770,25021,1,정명(대신파크),6,15,45770-1,84.84,,465-1,45770,2,,
0,"4,300",,1990,2012,순창11길,00047,00022,45770,01,0,4634172,순창읍 순화리,0092,0002,45770,25021,1,신천,7,10,45770-3,58.8,,92-2,45770,2,,
1,"12,300",,2006,2012,순창9길,00036,00003,45770,01,0,4634181,순창읍 순화리,0130,0003,45770,25021,1,웰빙아트빌,7,12,45770-24,84.96,,130-3,45770,1,,
0,"15,200",,2006,2012,순창9길,00036,00003,45770,01,0,4634181,순창읍 순화리,0130,0003,45770,25021,1,웰빙아트빌,8,25,45770-24,84.96,,130-3,45770,10,,
1,"6,800",,1999,2012,양지길,00081,00000,45770,01,0,4634203,순창읍 남계리,0343,0000,45770,25022,1,대석,8,6,45770-4,59.86,,343,45770,9,,
2,"7,500",,1995,2012,남계로,00096,00000,45770,01,0,3278016,순창읍 남계리,0248,0000,45770,25022,1,해태,8,30,45770-5,84.41,,248,45770,6,,
