,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"7,000",,1991,2012,향백동1길,00006,00000,46710,01,0,4658406,담양읍 백동리,0341,0004,46710,25025,1,타워맨션,1,9,46710-4,83.1,,341-4,46710,5,,
1,"9,800",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,1,16,46710-3,84.75,,100,46710,15,,
0,"11,100",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,2,7,46710-3,131.82,,100,46710,6,,
1,"8,210",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,2,28,46710-3,84.75,,100,46710,3,,
2,"4,800",,1992,2012,원등1길,00030,00003,46710,01,0,4658294,고서면 동운리,0602,0002,46710,32029,1,새봄,2,9,46710-5,49.14,,602-2,46710,4,,
0,"14,100",,2007,2012,천변3길,00029,00000,46710,01,0,4658364,담양읍 천변리,0169,0039,46710,25022,1,유리안아파트1차,3,23,46710-31,97.36,,169-39,46710,1,,
1,"13,500",,2004,2012,미리산길,00067,00000,46710,01,0,4658139,담양읍 지침리,0127,0003,46710,25023,1,금강래인보우,3,2,46710-7,84.9629,,127-3,46710,8,,
2,"12,900",,2004,2012,미리산길,00067,00000,46710,01,0,4658139,담양읍 지침리,0127,0003,46710,25023,1,금강래인보우,3,12,46710-7,84.9629,,127-3,46710,5,,
3,"9,000",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,3,13,46710-3,84.75,,100,46710,10,,
4,"8,700",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,3,15,46710-3,84.75,,100,46710,3,,
5,"6,800",,1991,2012,향백동1길,00006,00000,46710,01,0,4658406,담양읍 백동리,0341,0004,46710,25025,1,타워맨션,3,15,46710-4,84.96,,341-4,46710,5,,
6,"8,800",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,3,20,46710-3,84.75,,100,46710,17,,
0,"9,200",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,4,25,46710-3,84.75,,100,46710,10,,
1,"9,700",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,4,27,46710-3,84.75,,100,46710,1,,
2,"4,800",,1992,2012,원등1길,00030,00003,46710,01,0,4658294,고서면 동운리,0602,0002,46710,32029,1,새봄,4,10,46710-5,49.14,,602-2,46710,6,,
0,"18,500",,2007,2012,천변3길,00029,00000,46710,01,0,4658364,담양읍 천변리,0169,0041,46710,25022,1,유리안아파트2차,5,23,46710-32,106.29,,169-41,46710,3,,
1,"8,700",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,5,1,46710-3,84.75,,100,46710,16,,
2,"9,400",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,5,2,46710-3,84.75,,100,46710,4,,
3,"9,450",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,5,10,46710-3,84.75,,100,46710,7,,
4,"14,800",,2012,2012,삼거리길,00027,00011,46710,01,0,4658181,담양읍 백동리,0174,0000,46710,25025,1,채움아파트,5,16,46710-35,105.8,,174,46710,2,,
5,"16,700",,2012,2012,삼거리길,00027,00011,46710,01,0,4658181,담양읍 백동리,0174,0000,46710,25025,1,채움아파트,5,16,46710-35,108.41,,174,46710,7,,
0,"9,500",,2002,2012,지침1길,00003,00001,46710,01,0,4658353,담양읍 지침리,0146,0003,46710,25023,1,추성하이빌,6,12,46710-2,96.45,,146-3,46710,6,,
1,"10,500",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,6,15,46710-3,131.82,,100,46710,14,,
2,"14,500",,2012,2012,삼거리길,00027,00011,46710,01,0,4658181,담양읍 백동리,0174,0000,46710,25025,1,채움아파트,6,28,46710-35,105.8,,174,46710,1,,
0,"15,500",,2010,2012,지침4길,00007,00001,46710,01,0,4658356,담양읍 지침리,0053,0000,46710,25023,1,푸르미아파트,7,2,46710-33,79.16,,53,46710,6,,
1,"14,700",,2012,2012,삼거리길,00027,00011,46710,01,0,4658181,담양읍 백동리,0174,0000,46710,25025,1,채움아파트,7,4,46710-35,100.41,,174,46710,1,,
2,"8,500",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,7,9,46710-3,106.59,,100,46710,16,,
3,"13,700",,2012,2012,삼거리길,00027,00011,46710,01,0,4658181,담양읍 백동리,0174,0000,46710,25025,1,채움아파트,7,10,46710-35,90.72,,174,46710,4,,
4,"9,600",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,7,11,46710-3,84.75,,100,46710,14,,
5,"11,000",,2012,2012,삼거리길,00027,00011,46710,01,0,4658181,담양읍 백동리,0174,0000,46710,25025,1,채움아파트,7,16,46710-35,90.72,,174,46710,1,,
6,"12,900",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,7,31,46710-3,131.82,,100,46710,10,,
0,"10,000",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,8,2,46710-3,131.82,,100,46710,13,,
1,"9,900",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,8,20,46710-3,84.75,,100,46710,11,,
2,"7,000",,1991,2012,향백동1길,00006,00000,46710,01,0,4658406,담양읍 백동리,0341,0004,46710,25025,1,타워맨션,8,20,46710-4,83.1,,341-4,46710,5,,
3,"9,100",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,8,20,46710-3,84.75,,100,46710,2,,
4,"9,300",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,8,24,46710-3,84.75,,100,46710,18,,
0,"14,200",,2007,2012,천변3길,00029,00000,46710,01,0,4658364,담양읍 천변리,0169,0041,46710,25022,1,유리안아파트2차,9,3,46710-32,97.36,,169-41,46710,1,,
1,"14,500",,2004,2012,미리산길,00067,00000,46710,01,0,4658139,담양읍 지침리,0127,0003,46710,25023,1,금강래인보우,9,10,46710-7,84.9629,,127-3,46710,7,,
2,"15,000",,2004,2012,미리산길,00067,00000,46710,01,0,4658139,담양읍 지침리,0127,0003,46710,25023,1,금강래인보우,9,15,46710-7,84.9629,,127-3,46710,6,,
3,"9,500",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,9,14,46710-3,84.75,,100,46710,7,,
0,"14,800",,2004,2012,미리산길,00067,00000,46710,01,0,4658139,담양읍 지침리,0127,0003,46710,25023,1,금강래인보우,10,19,46710-7,84.9629,,127-3,46710,10,,
1,"10,700",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,10,9,46710-3,131.82,,100,46710,14,,
2,"9,500",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,10,20,46710-3,84.75,,100,46710,5,,
0,"6,500",,1991,2012,향백동1길,00006,00000,46710,01,0,4658406,담양읍 백동리,0341,0004,46710,25025,1,타워맨션,11,2,46710-4,83.1,,341-4,46710,8,,
1,"11,900",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,11,6,46710-3,106.59,,100,46710,5,,
2,"9,900",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,11,8,46710-3,84.75,,100,46710,11,,
3,"8,800",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,11,16,46710-3,84.75,,100,46710,10,,
4,"7,000",,1991,2012,향백동1길,00006,00000,46710,01,0,4658406,담양읍 백동리,0341,0004,46710,25025,1,타워맨션,11,23,46710-4,83.1,,341-4,46710,2,,
5,"4,400",,1992,2012,원등1길,00030,00003,46710,01,0,4658294,고서면 동운리,0602,0002,46710,32029,1,새봄,11,11,46710-5,49.14,,602-2,46710,1,,
0,"6,500",,1992,2012,미리산길,00002,00000,46710,01,0,4658139,담양읍 백동리,0100,0000,46710,25025,1,담양청전,12,13,46710-3,84.75,,100,46710,18,,
1,"4,700",,1992,2012,원등1길,00030,00003,46710,01,0,4658294,고서면 동운리,0602,0002,46710,32029,1,새봄,12,19,46710-5,49.14,,602-2,46710,2,,
0,"16,000",,2010,2013,지침4길,00007,00001,46710,01,0,4658356,담양읍 지침리,0053,0000,46710,25023,1,푸르미아파트,2,12,46710-33,79,,53,46710,3,,
1,"14,000",,2004,2013,미리산길,00067,00000,46710,01,0,4658139,담양읍 지침리,0127,0003,46710,25023,1,금강래인보우,2,13,46710-7,84.9629,,127-3,46710,3,,
