,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"3,000",,1992,2012,고흥로,01593,00000,46770,01,0,3289003,고흥읍 등암리,0171,0006,46770,25024,1,영진맨션,1,31,46770-11,69.78,,171-6,46770,2,,
1,"7,800",,1996,2012,후동길,00050,00000,46770,00,,4667726,고흥읍 남계리,0409,0001,46770,25026,1,장미2차,1,14,46770-16,59.58,,409-1,46770,8,,
2,"9,300",,1994,2012,고흥로,01833,00000,46770,01,0,3289003,고흥읍 남계리,0332,0003,46770,25026,1,장미1차,1,20,46770-15,84.81,,332-3,46770,11,,
3,"3,300",,1998,2012,천마로,00145,00004,46770,02,0,3289026,도양읍 봉암리,1514,0000,46770,25324,1,주공,1,9,46770-25,39.74,,1514,46770,10,,
4,"3,100",,1996,2012,녹동신항8길,00045,00000,46770,01,0,4667122,도양읍 봉암리,3380,0000,46770,25324,1,녹동프라자,1,13,46770-8,43,,3380,46770,6,,
5,"3,500",,1996,2012,녹동신항8길,00045,00000,46770,01,0,4667122,도양읍 봉암리,3380,0000,46770,25324,1,녹동프라자,1,27,46770-8,43,,3380,46770,8,,
0,"3,650",,1992,2012,두원로,00019,00000,46770,01,0,3289013,고흥읍 서문리,0255,0001,46770,25028,1,미래,2,27,46770-20,43.05,,255-1,46770,3,,
1,"1,700",,1992,2012,두원로,00019,00000,46770,01,0,3289013,고흥읍 서문리,0255,0001,46770,25028,1,미래,2,27,46770-20,43.05,,255-1,46770,5,,
2,"2,500",,1998,2012,천마로,00145,00004,46770,02,0,3289026,도양읍 봉암리,1514,0000,46770,25324,1,주공,2,1,46770-25,39.74,,1514,46770,1,,
3,"10,000",,2007,2012,녹동1길,00027,00007,46770,01,0,4667107,도양읍 봉암리,3180,0000,46770,25324,1,대현골드빌,2,4,46770-218,84.56,,3180,46770,7,,
4,"3,000",,1990,2012,녹동남촌3길,00028,00000,46770,01,0,4667113,도양읍 봉암리,2695,0032,46770,25324,1,가든맨션,2,6,46770-1,84.89,,2695-32,46770,4,,
