,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"5,200",,1999,2012,중앙로,00007,00000,46780,01,0,3290018,보성읍 우산리,0631,0001,46780,25022,1,우산주공,1,12,46780-12,49.85,,631-1,46780,4,,
1,"7,500",,2003,2012,중앙로,00030,00040,46780,01,0,3290018,보성읍 우산리,0007,0002,46780,25022,1,보성장미힐,1,30,46780-11,84.33,,7-2,46780,15,,
2,"3,700",,1992,2012,신정길,00047,00024,46780,01,0,4670251,벌교읍 회정리,0451,0000,46780,25338,1,우리,1,27,46780-9,84.86,,451,46780,8,,
0,"4,200",,1999,2012,중앙로,00007,00000,46780,01,0,3290018,보성읍 우산리,0631,0001,46780,25022,1,우산주공,2,12,46780-12,49.85,,631-1,46780,4,,
1,"5,200",,1999,2012,중앙로,00007,00000,46780,01,0,3290018,보성읍 우산리,0631,0001,46780,25022,1,우산주공,2,14,46780-12,49.85,,631-1,46780,1,,
2,"8,800",,2003,2012,중앙로,00030,00040,46780,01,0,3290018,보성읍 우산리,0007,0002,46780,25022,1,보성장미힐,2,15,46780-11,84.371,,7-2,46780,3,,
3,"5,200",,1999,2012,중앙로,00007,00000,46780,01,0,3290018,보성읍 우산리,0631,0001,46780,25022,1,우산주공,2,17,46780-12,49.85,,631-1,46780,2,,
4,"2,200",,1991,2012,현충로,00016,00008,46780,01,0,3290014,보성읍 원봉리,0005,0011,46780,25028,1,남일,2,6,46780-4,59.78,,5-11,46780,3,,
5,"7,850",,1993,2012,조정래길,00056,00000,46780,01,0,4670386,벌교읍 회정리,0653,0007,46780,25338,1,엘림,2,20,46780-8,84.93,,653-7,46780,11,,
0,"3,000",,1992,2012,송재로,00200,00001,46780,01,0,3290008,보성읍 보성리,0542,0000,46780,25021,1,정산,3,2,46780-2,68.94,,542,46780,3,,
1,"5,900",,1999,2012,중앙로,00007,00000,46780,01,0,3290018,보성읍 우산리,0631,0001,46780,25022,1,우산주공,3,27,46780-12,49.85,,631-1,46780,2,,
