,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"6,700",,1996,2012,동부로,00067,00009,46800,00,0,3292039,장흥읍 건산리,0129,0000,46800,25037,1,미래3,1,10,46800-6,47.79,,129,46800,4,,
1,"13,700",,2009,2012,동교로,00067,00000,46800,01,0,3292009,장흥읍 건산리,0635,0001,46800,25037,1,수창휴그린,1,20,46800-46,84.9629,,635-1,46800,2,,
2,"17,500",,2001,2012,건산남부길,00031,00000,46800,01,0,4676015,장흥읍 건산리,0413,0000,46800,25037,1,솔뫼타운,1,30,46800-7,119.4344,,413,46800,16,,
3,"3,500",,2003,2012,가학회진로,01530,00000,46800,02,0,3292001,회진면 회진리,0538,0000,46800,37022,1,성은,1,4,46800-12,59.7452,,538,46800,4,,
0,"5,500",,1991,2012,건산로1길,00016,00000,46800,01,0,4676016,장흥읍 건산리,0473,0031,46800,25037,1,미래1,2,10,46800-4,63.62,,473-31,46800,6,,
1,"13,700",,2001,2012,북부로,00039,00000,46800,01,0,3292018,장흥읍 건산리,0670,0000,46800,25037,1,수창아트빌,2,14,46800-8,84.785,,670,46800,10,,
2,"7,500",,2004,2012,북부로,00062,00000,46800,01,0,3292018,장흥읍 건산리,0529,0001,46800,25037,1,건산주공,2,16,46800-15,51.88,,529-1,46800,1,,
3,"11,500",,1991,2012,건산로1길,00016,00000,46800,01,0,4676016,장흥읍 건산리,0473,0031,46800,25037,1,미래1,2,23,46800-4,109.54,,473-31,46800,7,,
4,"8,700",,2004,2012,북부로,00062,00000,46800,01,0,3292018,장흥읍 건산리,0529,0001,46800,25037,1,건산주공,2,28,46800-15,51.88,,529-1,46800,9,,
5,"3,400",,2001,2012,축내2길,00010,00000,46800,01,0,4676475,대덕읍 신월리,0250,0002,46800,25623,1,혁신타운,2,23,46800-17,58.59,,250-2,46800,4,,
6,"3,900",,2001,2012,축내2길,00010,00000,46800,01,0,4676475,대덕읍 신월리,0250,0002,46800,25623,1,혁신타운,2,28,46800-17,58.59,,250-2,46800,4,,
7,"4,900",,2002,2012,가학회진로,01553,00018,46800,02,0,3292001,회진면 회진리,0742,0010,46800,37022,1,강성,2,24,46800-19,59.714,,742-10,46800,3,,
0,"6,000",,1996,2012,동부로,00067,00009,46800,00,0,3292039,장흥읍 건산리,0129,0000,46800,25037,1,미래3,3,9,46800-6,47.79,,129,46800,2,,
1,"7,000",,2004,2012,북부로,00062,00000,46800,01,0,3292018,장흥읍 건산리,0529,0001,46800,25037,1,건산주공,3,11,46800-15,51.88,,529-1,46800,8,,
2,"13,500",,2001,2012,북부로,00039,00000,46800,01,0,3292018,장흥읍 건산리,0670,0000,46800,25037,1,수창아트빌,3,15,46800-8,84.785,,670,46800,12,,
3,"10,000",,2004,2012,북부로,00062,00000,46800,01,0,3292018,장흥읍 건산리,0529,0001,46800,25037,1,건산주공,3,16,46800-15,59.99,,529-1,46800,10,,
4,"9,000",,2004,2012,북부로,00062,00000,46800,01,0,3292018,장흥읍 건산리,0529,0001,46800,25037,1,건산주공,3,27,46800-15,59.99,,529-1,46800,3,,
0,"7,300",,1996,2012,동교로,00057,00011,46800,00,,3292009,장흥읍 건산리,0687,0001,46800,25037,1,신동현강변타운,4,6,46800-9,59.92,,687-1,46800,2,,
1,"5,870",,1996,2012,동교로,00057,00012,46800,01,0,3292009,장흥읍 건산리,0687,0001,46800,25037,1,신동현강변타운,4,9,46800-9,59.92,,687-1,46800,1,,
2,"16,000",,2009,2012,동교로,00067,00000,46800,01,0,3292009,장흥읍 건산리,0635,0001,46800,25037,1,수창휴그린,4,11,46800-46,84.9629,,635-1,46800,10,,
3,"10,000",,2001,2012,북부로,00039,00000,46800,01,0,3292018,장흥읍 건산리,0670,0000,46800,25037,1,수창아트빌,4,16,46800-8,84.785,,670,46800,6,,
4,"10,000",,1996,2012,동교로,00057,00011,46800,00,,3292009,장흥읍 건산리,0687,0001,46800,25037,1,신동현강변타운,4,17,46800-9,84.92,,687-1,46800,2,,
5,"7,700",,1994,2012,동교로,00043,00000,46800,01,0,3292009,장흥읍 건산리,0685,0004,46800,25037,1,미래2,4,18,46800-5,59.23,,685-4,46800,14,,
0,"6,700",,1996,2012,동부로,00067,00009,46800,00,0,3292039,장흥읍 건산리,0129,0000,46800,25037,1,미래3,5,2,46800-6,59.82,,129,46800,14,,
1,"6,500",,1996,2012,동교로,00057,00011,46800,00,,3292009,장흥읍 건산리,0687,0001,46800,25037,1,신동현강변타운,5,3,46800-9,59.92,,687-1,46800,4,,
2,"7,000",,1996,2012,동교로,00057,00011,46800,00,,3292009,장흥읍 건산리,0687,0001,46800,25037,1,신동현강변타운,5,15,46800-9,84.92,,687-1,46800,3,,
3,"12,000",,2001,2012,북부로,00039,00000,46800,01,0,3292018,장흥읍 건산리,0670,0000,46800,25037,1,수창아트빌,5,30,46800-8,84.785,,670,46800,14,,
0,"14,700",,2009,2012,동교로,00067,00000,46800,01,0,3292009,장흥읍 건산리,0635,0001,46800,25037,1,수창휴그린,6,1,46800-46,84.9629,,635-1,46800,4,,
1,"8,400",,2004,2012,북부로,00062,00000,46800,01,0,3292018,장흥읍 건산리,0529,0001,46800,25037,1,건산주공,6,4,46800-15,51.88,,529-1,46800,7,,
2,"6,000",,2004,2012,북부로,00062,00000,46800,01,0,3292018,장흥읍 건산리,0529,0001,46800,25037,1,건산주공,6,5,46800-15,51.88,,529-1,46800,12,,
3,"14,900",,2001,2012,건산남부길,00031,00000,46800,01,0,4676015,장흥읍 건산리,0413,0000,46800,25037,1,솔뫼타운,6,7,46800-7,84.8824,,413,46800,7,,
4,"9,150",,1996,2012,장흥대로,03492,00000,46800,01,0,2017001,장흥읍 건산리,0767,0000,46800,25037,1,계명,6,7,46800-16,59.67,,767,46800,10,,
5,"3,200",,1996,2012,장흥대로,03492,00000,46800,01,0,2017001,장흥읍 건산리,0767,0000,46800,25037,1,계명,6,11,46800-16,49.8,,767,46800,10,,
6,"9,500",,2001,2012,건산남부길,00031,00000,46800,01,0,4676015,장흥읍 건산리,0413,0000,46800,25037,1,솔뫼타운,6,12,46800-7,69.3843,,413,46800,6,,
7,"5,500",,1996,2012,동부로,00067,00009,46800,00,0,3292039,장흥읍 건산리,0129,0000,46800,25037,1,미래3,6,21,46800-6,47.79,,129,46800,15,,
8,"6,050",,2004,2012,북부로,00062,00000,46800,01,0,3292018,장흥읍 건산리,0529,0001,46800,25037,1,건산주공,6,29,46800-15,51.88,,529-1,46800,7,,
9,"7,300",,2004,2012,북부로,00062,00000,46800,01,0,3292018,장흥읍 건산리,0529,0001,46800,25037,1,건산주공,6,29,46800-15,59.99,,529-1,46800,2,,
