,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"12,800",,2005,2012,서문길,00029,00009,46810,01,0,4679190,강진읍 서성리,0234,0000,46810,25023,1,CNS후레쉬빌3차,1,8,46810-59,59.988,,234,46810,12,,
0,"5,950",,1990,2012,삼일로,00042,00000,46810,01,0,3293057,강진읍 서성리,0058,0001,46810,25023,1,대동맨션,2,13,46810-3,84.24,,58-1,46810,1,,
1,"12,900",,2005,2012,서문길,00029,00009,46810,01,0,4679190,강진읍 서성리,0234,0000,46810,25023,1,CNS후레쉬빌3차,2,16,46810-59,59.988,,234,46810,7,,
2,"7,900",,2004,2012,영랑로,00025,00009,46810,01,0,3293031,강진읍 평동리,0176,0002,46810,25026,1,대송베스트빌,2,10,46810-19,73.832,,176-2,46810,2,,
0,"6,650",,1995,2012,고성길,00003,00000,46810,01,0,4679016,강진읍 서성리,0067,0000,46810,25023,1,건우1,3,6,46810-2,59.94,,67,46810,9,,
1,"11,000",,2005,2012,서문길,00029,00009,46810,01,0,4679190,강진읍 서성리,0234,0000,46810,25023,1,CNS후레쉬빌3차,3,8,46810-59,59.988,,234,46810,7,,
2,"9,800",,2003,2012,탐진로,00060,00000,46810,01,0,3293041,강진읍 서성리,0097,0000,46810,25023,1,후레쉬빌2차주거복합아파트,3,14,46810-14,59.92,,97,46810,11,,
3,"4,500",,1990,2012,삼일로,00042,00000,46810,01,0,3293057,강진읍 서성리,0058,0001,46810,25023,1,대동맨션,3,20,46810-3,84.6,,58-1,46810,5,,
4,"13,000",,2001,2012,서성1길,00024,00000,46810,01,0,4679191,강진읍 서성리,0096,0008,46810,25023,1,시엔에스후레쉬빌,3,22,46810-4,84.969,,96-8,46810,12,,
5,"10,500",,2001,2012,백금포길,00007,00000,46810,01,0,4679137,군동면 호계리,0888,0001,46810,31022,1,중흥,3,14,46810-10,75.6702,,888-1,46810,3,,
6,"11,500",,2001,2012,백금포길,00007,00000,46810,01,0,4679137,군동면 호계리,0888,0001,46810,31022,1,중흥,3,28,46810-10,84.8116,,888-1,46810,9,,
0,"6,500",,1990,2012,삼일로,00042,00000,46810,01,0,3293057,강진읍 서성리,0058,0001,46810,25023,1,대동맨션,4,4,46810-3,84.6,,58-1,46810,5,,
1,"6,400",,1995,2012,고성길,00003,00000,46810,01,0,4679016,강진읍 서성리,0067,0000,46810,25023,1,건우1,4,9,46810-2,59.94,,67,46810,2,,
2,"8,200",,1996,2012,평동2길,00031,00000,46810,01,0,4679396,강진읍 평동리,0231,0002,46810,25026,1,금호,4,24,46810-8,83.625,,231-2,46810,6,,
0,"2,300",,1995,2012,고성길,00002,00000,46810,01,0,4679016,강진읍 서성리,0067,0000,46810,25023,1,건우1,5,2,46810-2,35.19,,67,46810,5,,
1,"10,200",,2003,2012,탐진로,00060,00000,46810,01,0,3293041,강진읍 서성리,0097,0000,46810,25023,1,후레쉬빌2차주거복합아파트,5,4,46810-14,59.92,,97,46810,8,,
2,"2,700",,1995,2012,고성길,00002,00000,46810,01,0,4679016,강진읍 서성리,0067,0000,46810,25023,1,건우1,5,14,46810-2,35.19,,67,46810,4,,
3,"12,000",,2001,2012,서성1길,00024,00000,46810,01,0,4679191,강진읍 서성리,0096,0008,46810,25023,1,시엔에스후레쉬빌,5,16,46810-4,84.969,,96-8,46810,5,,
4,"13,500",,2001,2012,백금포길,00007,00000,46810,01,0,4679137,군동면 호계리,0888,0001,46810,31022,1,중흥,5,21,46810-10,84.8116,,888-1,46810,2,,
0,"10,000",,2003,2012,탐진로,00060,00000,46810,01,0,3293041,강진읍 서성리,0097,0000,46810,25023,1,후레쉬빌2차주거복합아파트,6,5,46810-14,59.92,,97,46810,5,,
1,"8,700",,2001,2012,백금포길,00007,00000,46810,01,0,4679137,군동면 호계리,0888,0001,46810,31022,1,중흥,6,28,46810-10,59.5979,,888-1,46810,11,,
0,"6,650",,1995,2012,고성길,00003,00000,46810,01,0,4679016,강진읍 서성리,0067,0000,46810,25023,1,건우1,7,11,46810-2,58.98,,67,46810,3,,
1,"8,000",,2004,2012,영랑로,00025,00009,46810,01,0,3293031,강진읍 평동리,0176,0002,46810,25026,1,대송베스트빌,7,15,46810-19,73.832,,176-2,46810,3,,
2,"9,000",,2004,2012,영랑로,00025,00009,46810,01,0,3293031,강진읍 평동리,0176,0002,46810,25026,1,대송베스트빌,7,18,46810-19,73.832,,176-2,46810,2,,
3,"7,500",,1996,2012,평동2길,00031,00000,46810,01,0,4679396,강진읍 평동리,0231,0002,46810,25026,1,금호,7,27,46810-8,58.665,,231-2,46810,2,,
4,"3,417",,2004,2012,영랑로,00025,00009,46810,01,0,3293031,강진읍 평동리,0176,0002,46810,25026,1,대송베스트빌,7,31,46810-19,28.463,,176-2,46810,3,,
5,"10,000",,2001,2012,백금포길,00007,00000,46810,01,0,4679137,군동면 호계리,0888,0001,46810,31022,1,중흥,7,10,46810-10,84.8116,,888-1,46810,9,,
0,"10,150",,2003,2012,탐진로,00060,00000,46810,01,0,3293041,강진읍 서성리,0097,0000,46810,25023,1,후레쉬빌2차주거복합아파트,8,21,46810-14,59.92,,97,46810,2,,
1,"13,500",,2005,2012,서문길,00029,00009,46810,01,0,4679190,강진읍 서성리,0234,0000,46810,25023,1,CNS후레쉬빌3차,8,21,46810-59,84.98,,234,46810,4,,
0,"16,700",,2012,2012,영랑로1길,00026,00000,46810,01,0,4679274,강진읍 남성리,0026,0004,46810,25022,1,탑클래스빌,9,27,46810-65,82.5683,,26-4,46810,6,,
1,"6,800",,1996,2012,평동2길,00031,00000,46810,01,0,4679396,강진읍 평동리,0231,0002,46810,25026,1,금호,9,24,46810-8,58.665,,231-2,46810,8,,
2,"11,500",,2001,2012,백금포길,00007,00000,46810,01,0,4679137,군동면 호계리,0888,0001,46810,31022,1,중흥,9,20,46810-10,84.8116,,888-1,46810,3,,
0,"13,000",,2001,2012,백금포길,00007,00000,46810,01,0,4679137,군동면 호계리,0888,0001,46810,31022,1,중흥,10,3,46810-10,84.8116,,888-1,46810,7,,
1,"10,500",,2001,2012,백금포길,00007,00000,46810,01,0,4679137,군동면 호계리,0888,0001,46810,31022,1,중흥,10,23,46810-10,84.8116,,888-1,46810,2,,
0,"20,000",,2005,2012,서문길,00029,00009,46810,01,0,4679190,강진읍 서성리,0234,0000,46810,25023,1,CNS후레쉬빌3차,11,8,46810-59,117.222,,234,46810,12,,
1,"11,000",,2003,2012,탐진로,00060,00000,46810,01,0,3293041,강진읍 서성리,0097,0000,46810,25023,1,후레쉬빌2차주거복합아파트,11,15,46810-14,59.92,,97,46810,15,,
2,"12,000",,1996,2012,평동2길,00031,00000,46810,01,0,4679396,강진읍 평동리,0231,0002,46810,25026,1,금호,11,15,46810-8,83.625,,231-2,46810,12,,
3,"8,300",,1996,2012,평동2길,00031,00000,46810,01,0,4679396,강진읍 평동리,0231,0002,46810,25026,1,금호,11,21,46810-8,58.665,,231-2,46810,3,,
4,"8,000",,2004,2012,영랑로,00025,00009,46810,01,0,3293031,강진읍 평동리,0176,0002,46810,25026,1,대송베스트빌,11,21,46810-19,73.832,,176-2,46810,5,,
5,"8,700",,2001,2012,백금포길,00007,00000,46810,01,0,4679137,군동면 호계리,0888,0001,46810,31022,1,중흥,11,13,46810-10,59.5979,,888-1,46810,5,,
6,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,11,19,46810-68,41.3777,,1056-2,46810,3,,
7,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,11,19,46810-68,41.3777,,1056-2,46810,3,,
8,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,11,19,46810-68,41.3777,,1056-2,46810,3,,
9,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,11,20,46810-68,41.3777,,1056-2,46810,2,,
10,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,11,20,46810-68,41.3777,,1056-2,46810,3,,
11,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,11,20,46810-68,41.3777,,1056-2,46810,3,,
12,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,11,20,46810-68,41.3777,,1056-2,46810,4,,
0,"3,200",,1995,2012,고성길,00002,00000,46810,01,0,4679016,강진읍 서성리,0067,0000,46810,25023,1,건우1,12,6,46810-2,35.19,,67,46810,2,,
1,"6,450",,1990,2012,삼일로,00042,00000,46810,01,0,3293057,강진읍 서성리,0058,0001,46810,25023,1,대동맨션,12,18,46810-3,84.24,,58-1,46810,5,,
2,"13,500",,2001,2012,서성1길,00024,00000,46810,01,0,4679191,강진읍 서성리,0096,0008,46810,25023,1,시엔에스후레쉬빌,12,18,46810-4,84.969,,96-8,46810,9,,
3,"6,000",,1995,2012,고성길,00002,00000,46810,01,0,4679016,강진읍 서성리,0067,0000,46810,25023,1,건우1,12,20,46810-2,84.87,,67,46810,3,,
4,"6,600",,2012,2012,삼일로,00046,00000,46810,01,0,3293057,강진읍 서성리,0059,0001,46810,25023,1,한성노블,12,26,46810-66,32.1358,,59-1,46810,7,,
5,"5,000",,1995,2012,고성길,00003,00000,46810,01,0,4679016,강진읍 서성리,0067,0000,46810,25023,1,건우1,12,31,46810-2,58.98,,67,46810,9,,
6,"13,500",,2012,2012,고성길,00026,00002,46810,01,0,4679016,강진읍 서성리,0080,0001,46810,25023,1,대라수,12,31,46810-67,59.9758,,80-1,46810,3,,
7,"13,500",,2012,2012,고성길,00026,00002,46810,01,0,4679016,강진읍 서성리,0080,0001,46810,25023,1,대라수,12,31,46810-67,59.9758,,80-1,46810,4,,
8,"13,500",,2012,2012,고성길,00026,00002,46810,01,0,4679016,강진읍 서성리,0080,0001,46810,25023,1,대라수,12,31,46810-67,59.9758,,80-1,46810,6,,
9,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,12,5,46810-68,41.3777,,1056-2,46810,2,,
10,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,12,5,46810-68,41.3777,,1056-2,46810,3,,
11,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,12,5,46810-68,41.3777,,1056-2,46810,3,,
12,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,12,5,46810-68,41.3777,,1056-2,46810,2,,
13,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,12,5,46810-68,41.3777,,1056-2,46810,2,,
14,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,12,5,46810-68,41.3777,,1056-2,46810,2,,
15,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,12,13,46810-68,41.3777,,1056-2,46810,2,,
16,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,12,13,46810-68,41.3777,,1056-2,46810,2,,
17,"8,500",,2012,2012,진흥로,00011,00001,46810,01,0,3017048,군동면 호계리,1056,0002,46810,31022,1,청자베스트빌,12,13,46810-68,41.3777,,1056-2,46810,2,,
0,"6,630",,2012,2013,삼일로,00046,00000,46810,01,0,3293057,강진읍 서성리,0059,0001,46810,25023,1,한성노블,1,11,46810-66,32.1358,,59-1,46810,2,,
1,"6,630",,2012,2013,삼일로,00046,00000,46810,01,0,3293057,강진읍 서성리,0059,0001,46810,25023,1,한성노블,1,11,46810-66,32.1358,,59-1,46810,9,,
2,"6,630",,2012,2013,삼일로,00046,00000,46810,01,0,3293057,강진읍 서성리,0059,0001,46810,25023,1,한성노블,1,11,46810-66,32.1358,,59-1,46810,8,,
3,"8,930",,2012,2013,삼일로,00046,00000,46810,01,0,3293057,강진읍 서성리,0059,0001,46810,25023,1,한성노블,1,11,46810-66,44.5962,,59-1,46810,8,,
4,"6,630",,2012,2013,삼일로,00046,00000,46810,01,0,3293057,강진읍 서성리,0059,0001,46810,25023,1,한성노블,1,11,46810-66,32.1358,,59-1,46810,6,,
5,"6,630",,2012,2013,삼일로,00046,00000,46810,01,0,3293057,강진읍 서성리,0059,0001,46810,25023,1,한성노블,1,11,46810-66,32.1358,,59-1,46810,6,,
