,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"4,000",,1989,2012,해리9길,00014,00000,46820,01,0,4682619,해남읍 해리,0572,0000,46820,25021,1,미암,1,7,46820-6,69.54,,572,46820,1,,
1,"10,800",,2001,2012,교육청길,00023,00000,46820,01,0,4682043,해남읍 해리,0214,0000,46820,25021,1,백두3,1,7,46820-7,84.3862,,214,46820,11,,
2,"8,350",,1991,2012,동초길,00061,00000,46820,01,0,4682139,해남읍 해리,0334,0003,46820,25021,1,청우,1,10,46820-11,81.27,,334-3,46820,4,,
3,"15,400",,2004,2012,동초길,00015,00000,46820,01,0,4682139,해남읍 해리,0503,0000,46820,25021,1,해남다우아르미안,1,20,46820-26,84.3979,,503,46820,5,,
4,"7,800",,1995,2012,고도길,00015,00003,46820,01,0,4682028,해남읍 고도리,0120,0014,46820,25024,1,삼우,1,15,46820-12,72.54,,120-14,46820,3,,
5,"4,500",,1995,2012,고도길,00015,00003,46820,01,0,4682028,해남읍 고도리,0120,0014,46820,25024,1,삼우,1,26,46820-12,59.52,,120-14,46820,8,,
6,"7,300",,2000,2012,구교2길,00042,00000,46820,01,0,4682045,해남읍 구교리,0081,0002,46820,25036,1,공간,1,12,46820-19,59.981,,81-2,46820,6,,
7,"6,900",,2000,2012,구교2길,00042,00000,46820,01,0,4682045,해남읍 구교리,0081,0002,46820,25036,1,공간,1,13,46820-19,59.981,,81-2,46820,2,,
8,"7,300",,2000,2012,구교2길,00042,00000,46820,01,0,4682045,해남읍 구교리,0081,0002,46820,25036,1,공간,1,21,46820-19,59.985,,81-2,46820,3,,
9,"7,400",,2000,2012,구교2길,00042,00000,46820,01,0,4682045,해남읍 구교리,0081,0002,46820,25036,1,공간,1,26,46820-19,59.981,,81-2,46820,8,,
10,"5,900",,1996,2012,북부순환로,00175,00000,46820,01,0,3294009,해남읍 구교리,0310,0001,46820,25036,1,구교주공,1,31,46820-15,49.65,,310-1,46820,3,,
11,"7,300",,2000,2012,구교2길,00042,00000,46820,01,0,4682045,해남읍 구교리,0081,0002,46820,25036,1,공간,1,31,46820-19,59.985,,81-2,46820,1,,
0,"14,600",,2004,2012,동초길,00015,00000,46820,01,0,4682139,해남읍 해리,0503,0000,46820,25021,1,해남다우아르미안,2,4,46820-26,84.3979,,503,46820,2,,
1,"2,300",,1989,2012,해리9길,00014,00000,46820,01,0,4682619,해남읍 해리,0572,0000,46820,25021,1,미암,2,7,46820-6,52.17,,572,46820,5,,
2,"12,500",,2001,2012,교육청길,00023,00000,46820,01,0,4682043,해남읍 해리,0214,0000,46820,25021,1,백두3,2,11,46820-7,83.3953,,214,46820,4,,
3,"4,000",,1985,2012,북부순환로,00041,00000,46820,01,0,3294009,해남읍 해리,0449,0002,46820,25021,1,동백,2,13,46820-4,62.9,,449-2,46820,5,,
4,"12,000",,2004,2012,팔복길,00014,00000,46820,01,0,4682582,해남읍 해리,0644,0014,46820,25021,1,햇빛마을,2,13,46820-27,127.222,,644-14,46820,2,,
5,"6,323",,1994,2012,해리4길,00011,00000,46820,01,0,4682614,해남읍 해리,0449,0001,46820,25021,1,신동백,2,14,46820-9,84.75,,449-1,46820,10,,
6,"6,400",,2001,2012,북부순환로,00029,00005,46820,01,0,3294009,해남읍 해리,0465,0001,46820,25021,1,웅진빌라트,2,14,46820-10,59.76,,465-1,46820,5,,
7,"6,400",,1994,2012,해리4길,00011,00000,46820,01,0,4682614,해남읍 해리,0449,0001,46820,25021,1,신동백,2,17,46820-9,71.61,,449-1,46820,7,,
