,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"6,000",,2001,2012,오동촌길,00016,00000,46880,01,0,4697274,장성읍 영천리,0845,0001,46880,25024,1,부강,1,31,46880-9,59.55,,845-1,46880,4,,
0,"3,700",,1995,2012,방울샘길,00046,00000,46880,01,0,4697140,장성읍 영천리,0429,0000,46880,25024,1,해주그린,2,6,46880-3,59.945,,429,46880,13,,
1,"3,000",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,2,20,46880-6,49.86,,165-2,46880,1,,
2,"4,000",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,2,28,46880-6,49.86,,165-2,46880,14,,
3,"4,500",,1992,2012,신월산1길,00038,00000,46880,01,0,4697244,황룡면 월평리,0087,0001,46880,36021,1,우신,2,15,46880-4,84.87,,87-1,46880,3,,
4,"2,650",,1994,2012,홍길동로,00080,00000,46880,01,0,3299056,황룡면 장산리,0404,0001,46880,36026,1,고려시멘트사원,2,27,46880-8,49.65,,404-1,46880,4,,
0,"5,300",,1995,2012,방울샘길,00046,00000,46880,01,0,4697140,장성읍 영천리,0429,0000,46880,25024,1,해주그린,3,1,46880-3,59.945,,429,46880,6,,
1,"5,100",,1995,2012,방울샘길,00046,00000,46880,01,0,4697140,장성읍 영천리,0429,0000,46880,25024,1,해주그린,3,8,46880-3,59.945,,429,46880,6,,
2,"5,500",,1995,2012,방울샘길,00046,00000,46880,01,0,4697140,장성읍 영천리,0429,0000,46880,25024,1,해주그린,3,25,46880-3,59.945,,429,46880,2,,
3,"5,000",,2001,2012,오동촌길,00016,00000,46880,01,0,4697274,장성읍 영천리,0845,0001,46880,25024,1,부강,3,29,46880-9,59.55,,845-1,46880,1,,
4,"4,700",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,3,29,46880-6,59.76,,165-2,46880,8,,
5,"4,250",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,3,30,46880-6,59.76,,165-2,46880,15,,
6,"2,520",,1994,2012,홍길동로,00080,00000,46880,01,0,3299056,황룡면 장산리,0404,0001,46880,36026,1,고려시멘트사원,3,5,46880-8,49.65,,404-1,46880,4,,
7,"4,200",,1993,2012,뱃나드리로,00087,00000,46880,02,0,3299017,황룡면 장산리,0021,0005,46880,36026,1,해주하이츠,3,6,46880-5,59.82,,21-5,46880,5,,
0,"11,000",,2004,2012,수산길,00014,00000,46880,01,0,4697224,장성읍 유탕리,1422,0000,46880,25023,1,부강2차아트빌,4,19,46880-7,84.7585,,1422,46880,12,,
1,"4,240",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,4,3,46880-6,59.76,,165-2,46880,15,,
2,"4,900",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,4,20,46880-6,59.76,,165-2,46880,5,,
3,"2,700",,1994,2012,홍길동로,00080,00000,46880,01,0,3299056,황룡면 장산리,0404,0001,46880,36026,1,고려시멘트사원,4,4,46880-8,49.65,,404-1,46880,4,,
4,"2,700",,1994,2012,홍길동로,00080,00000,46880,01,0,3299056,황룡면 장산리,0404,0001,46880,36026,1,고려시멘트사원,4,4,46880-8,49.65,,404-1,46880,4,,
0,"4,500",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,5,1,46880-6,59.76,,165-2,46880,9,,
1,"4,000",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,5,18,46880-6,49.86,,165-2,46880,12,,
0,"6,000",,2001,2012,오동촌길,00016,00000,46880,01,0,4697274,장성읍 영천리,0845,0001,46880,25024,1,부강,6,5,46880-9,59.55,,845-1,46880,3,,
1,"6,800",,2001,2012,오동촌길,00016,00000,46880,01,0,4697274,장성읍 영천리,0845,0001,46880,25024,1,부강,6,6,46880-9,59.55,,845-1,46880,13,,
2,"6,900",,2001,2012,오동촌길,00016,00000,46880,01,0,4697274,장성읍 영천리,0845,0001,46880,25024,1,부강,6,20,46880-9,59.55,,845-1,46880,8,,
3,"5,000",,1995,2012,방울샘길,00046,00000,46880,01,0,4697140,장성읍 영천리,0429,0000,46880,25024,1,해주그린,6,25,46880-3,59.945,,429,46880,4,,
4,"4,500",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,6,12,46880-6,59.76,,165-2,46880,14,,
5,"4,500",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,6,14,46880-6,59.76,,165-2,46880,5,,
6,"4,000",,1997,2012,사창로,00064,00072,46880,01,0,3299025,삼계면 사창리,0165,0002,46880,35021,1,금광,6,20,46880-6,49.86,,165-2,46880,10,,
