,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"5,600",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,1,6,46890-4,52.43,,1154,46890,1,,
1,"7,300",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,1,6,46890-4,52.43,,1154,46890,11,,
2,"4,300",,1983,2012,개포로,00100,00000,46890,01,0,3300001,완도읍 군내리,1223,0000,46890,25021,1,동백,1,9,46890-1,66.18,,1223,46890,1,,
3,"7,500",,2003,2012,청해진서로,00033,00002,46890,01,0,3300027,완도읍 군내리,1157,0000,46890,25021,1,동아하이빌,1,9,46890-10,84.8836,,1157,46890,1,,
4,"7,000",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,1,9,46890-4,52.43,,1154,46890,13,,
5,"5,500",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,1,30,46890-4,52.43,,1154,46890,10,,
6,"6,800",,2011,2012,해변공원로,00137,00020,46890,01,0,3300028,완도읍 가용리,0003,0055,46890,25022,1,한아름골든빌101,1,4,46890-79,40.5,,3-55,46890,4,,
7,"13,900",,2011,2012,해변공원로,00137,00022,46890,01,0,3300028,완도읍 가용리,0003,0028,46890,25022,1,한아름골든빌102,1,5,46890-80,80.31,,3-28,46890,4,,
8,"12,500",,1994,2012,개포로145번길,00039,00000,46890,01,0,4700011,완도읍 가용리,1052,0000,46890,25022,1,무등파크맨션,1,10,46890-5,84.81,,1052,46890,9,,
9,"13,700",,1994,2012,개포로145번길,00039,00000,46890,01,0,4700011,완도읍 가용리,1052,0000,46890,25022,1,무등파크맨션,1,12,46890-5,84.81,,1052,46890,10,,
10,"6,900",,1994,2012,개포로145번길,00039,00000,46890,01,0,4700011,완도읍 가용리,1052,0000,46890,25022,1,무등파크맨션,1,12,46890-5,68.34,,1052,46890,1,,
11,"15,900",,2011,2012,해변공원로,00137,00020,46890,01,0,3300028,완도읍 가용리,0003,0055,46890,25022,1,한아름골든빌101,1,25,46890-79,84.96,,3-55,46890,3,,
12,"6,800",,2011,2012,해변공원로,00137,00020,46890,01,0,3300028,완도읍 가용리,0003,0055,46890,25022,1,한아름골든빌101,1,25,46890-79,40.5,,3-55,46890,5,,
13,"15,900",,2011,2012,해변공원로,00137,00020,46890,01,0,3300028,완도읍 가용리,0003,0055,46890,25022,1,한아름골든빌101,1,25,46890-79,84.96,,3-55,46890,3,,
14,"15,600",,2011,2012,해변공원로,00137,00020,46890,01,0,3300028,완도읍 가용리,0003,0055,46890,25022,1,한아름골든빌101,1,31,46890-79,84.96,,3-55,46890,2,,
0,"7,200",,2003,2012,청해진서로,00033,00002,46890,01,0,3300027,완도읍 군내리,1157,0000,46890,25021,1,동아하이빌,2,3,46890-10,59.9966,,1157,46890,2,,
1,"7,570",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,2,9,46890-4,59.76,,1154,46890,15,,
2,"9,800",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,2,9,46890-4,84.99,,1154,46890,3,,
3,"8,300",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,2,14,46890-4,59.76,,1154,46890,11,,
4,"7,150",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,2,15,46890-4,52.43,,1154,46890,10,,
5,"8,150",,2003,2012,청해진서로,00033,00002,46890,01,0,3300027,완도읍 군내리,1157,0000,46890,25021,1,동아하이빌,2,24,46890-10,59.9966,,1157,46890,14,,
6,"7,890",,2003,2012,청해진서로,00033,00002,46890,01,0,3300027,완도읍 군내리,1157,0000,46890,25021,1,동아하이빌,2,28,46890-10,84.8836,,1157,46890,5,,
7,"12,400",,2011,2012,군내길,00035,00021,46890,01,0,4700065,완도읍 군내리,0418,0002,46890,25021,1,전망대,2,28,46890-75,84.11,,418-2,46890,4,,
8,"13,600",,2011,2012,개포로145번길,00008,00008,46890,01,0,4700011,완도읍 가용리,1073,0001,46890,25022,1,무등조광빌,2,3,46890-78,84.9447,,1073-1,46890,5,,
9,"15,900",,2011,2012,해변공원로,00137,00020,46890,01,0,3300028,완도읍 가용리,0003,0055,46890,25022,1,한아름골든빌101,2,3,46890-79,84.96,,3-55,46890,5,,
10,"6,000",,1990,2012,해변공원로101번길,00014,00001,46890,01,0,4700490,완도읍 가용리,1025,0000,46890,25022,1,학림(101동),2,6,46890-6,80.37,,1025,46890,2,,
11,"8,600",,1994,2012,개포로145번길,00039,00000,46890,01,0,4700011,완도읍 가용리,1052,0000,46890,25022,1,무등파크맨션,2,8,46890-5,68.34,,1052,46890,5,,
12,"8,000",,1994,2012,개포로145번길,00039,00000,46890,01,0,4700011,완도읍 가용리,1052,0000,46890,25022,1,무등파크맨션,2,23,46890-5,68.34,,1052,46890,3,,
0,"6,700",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,3,6,46890-4,52.43,,1154,46890,2,,
1,"7,500",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,3,20,46890-4,52.43,,1154,46890,15,,
2,"8,000",,1996,2012,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,3,23,46890-4,59.76,,1154,46890,3,,
3,"8,300",,2003,2012,청해진서로,00033,00002,46890,01,0,3300027,완도읍 군내리,1157,0000,46890,25021,1,동아하이빌,3,30,46890-10,59.9966,,1157,46890,14,,
4,"10,800",,1993,2012,해변공원로125번길,00018,00027,46890,01,0,4700493,완도읍 가용리,0003,0040,46890,25022,1,학림2차,3,2,46890-7,84.94,,3-40,46890,4,,
5,"7,000",,1994,2012,개포로145번길,00039,00000,46890,01,0,4700011,완도읍 가용리,1052,0000,46890,25022,1,무등파크맨션,3,30,46890-5,84.81,,1052,46890,2,,
0,"10,400",,2011,2012,군내길,00035,00021,46890,01,0,4700065,완도읍 군내리,0418,0002,46890,25021,1,전망대,4,13,46890-75,82.56,,418-2,46890,2,,
