,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"3,500",,1998,2012,동부로,00014,00000,47230,02,0,3310008,망정동,0116,0000,47230,10200,1,영천망정4주공,1,2,47230-53,49.79,,116,47230,5,,
1,"8,350",,1997,2012,동부로,00040,00000,47230,02,0,3310008,망정동,0129,0000,47230,10200,1,영천망정2주공,1,4,47230-7,59.51,,129,47230,14,,
2,"7,700",,1998,2012,동부로,00014,00000,47230,02,0,3310008,망정동,0116,0000,47230,10200,1,영천망정4주공,1,4,47230-53,49.79,,116,47230,4,,
3,"7,800",,1997,2012,창신1길,00021,00000,47230,01,0,4730636,망정동,0462,0002,47230,10200,1,창신영천타운,1,5,47230-10,59.34,,462-2,47230,7,,
4,"6,800",,1997,2012,창신1길,00012,00000,47230,01,0,4730636,망정동,0462,0002,47230,10200,1,창신영천타운,1,5,47230-10,59.34,,462-2,47230,1,,
5,"6,300",,2001,2012,청솔길,00023,00006,47230,01,0,4730649,망정동,0461,0001,47230,10200,1,청솔,1,11,47230-50,47.1934,,461-1,47230,14,,
6,"6,300",,2001,2012,청솔길,00023,00006,47230,01,0,4730649,망정동,0461,0001,47230,10200,1,청솔,1,16,47230-50,47.1934,,461-1,47230,10,,
7,"6,300",,2001,2012,청솔길,00023,00006,47230,01,0,4730649,망정동,0461,0001,47230,10200,1,청솔,1,16,47230-50,47.1934,,461-1,47230,14,,
8,"6,300",,2001,2012,청솔길,00023,00006,47230,01,0,4730649,망정동,0461,0001,47230,10200,1,청솔,1,16,47230-50,47.1934,,461-1,47230,13,,
9,"6,300",,2001,2012,청솔길,00023,00006,47230,01,0,4730649,망정동,0461,0001,47230,10200,1,청솔,1,16,47230-50,47.1934,,461-1,47230,11,,
10,"8,000",,1997,2012,창신1길,00012,00000,47230,01,0,4730636,망정동,0462,0002,47230,10200,1,창신영천타운,1,18,47230-10,59.34,,462-2,47230,9,,
11,"6,200",,1997,2012,창신1길,00021,00000,47230,01,0,4730636,망정동,0462,0002,47230,10200,1,창신영천타운,1,19,47230-10,59.34,,462-2,47230,12,,
12,"4,000",,1994,2012,망정2길,00007,00009,47230,01,0,4730195,망정동,0177,0001,47230,10200,1,청호,1,26,47230-8,59.4,,177-1,47230,1,,
13,"5,200",,1994,2012,망정2길,00007,00009,47230,01,0,4730195,망정동,0177,0001,47230,10200,1,청호,1,27,47230-8,59.4,,177-1,47230,9,,
14,"6,000",,1997,2012,창신1길,00021,00000,47230,01,0,4730636,망정동,0462,0002,47230,10200,1,창신영천타운,1,28,47230-10,59.34,,462-2,47230,1,,
15,"6,120",,2001,2012,청솔길,00023,00006,47230,01,0,4730649,망정동,0461,0001,47230,10200,1,청솔,1,28,47230-50,47.1934,,461-1,47230,3,,
