,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"8,000",,1989,2012,신흥6길,00005,00000,47280,01,0,4736427,흥덕동,0776,0000,47280,10300,1,황제,1,3,47280-16,84.955,,776,47280,5,,
1,"10,000",,1994,2012,흥덕4길,00035,00000,47280,02,0,4736787,흥덕동,0337,0021,47280,10300,1,주은우방,1,4,47280-11,73.295,,337-21,47280,3,,
2,"10,200",,1994,2012,흥덕4길,00035,00000,47280,02,0,4736787,흥덕동,0337,0021,47280,10300,1,주은우방,1,9,47280-11,73.295,,337-21,47280,9,,
3,"7,000",,2008,2012,돈달로,00199,00000,47280,02,0,3312006,흥덕동,0631,0001,47280,10300,1,푸른숲,1,23,47280-177,59.97,,631-1,47280,12,,
4,"6,500",,1989,2012,신흥6길,00005,00000,47280,01,0,4736427,흥덕동,0776,0000,47280,10300,1,황제,1,30,47280-16,84.955,,776,47280,5,,
5,"3,800",,1983,2012,돈달로,00165,00000,47280,02,0,3312006,흥덕동,0330,0000,47280,10300,1,흥덕주공,1,31,47280-18,40.32,,330,47280,4,,
6,"3,600",,2000,2012,공평로,00058,00009,47280,04,0,3312002,공평동,0404,0013,47280,10900,1,신평마을,1,14,47280-42,38.52,,404-13,47280,5,,
7,"17,000",,2004,2012,매봉4길,00009,00000,47280,01,0,4736201,모전동,0868,0000,47280,11000,1,문경영풍마드레빌,1,2,47280-41,84.8934,,868,47280,1,,
8,"9,500",,1997,2012,매봉4길,00015,00000,47280,01,0,4736201,모전동,0869,0000,47280,11000,1,대동타운,1,4,47280-20,59.65,,869,47280,1,,
9,"14,500",,2002,2012,돈달산길,00001,00000,47280,02,0,4736165,모전동,0577,0001,47280,11000,1,성덕하이빌2차,1,7,47280-33,84.9551,,577-1,47280,5,,
10,"11,350",,2002,2012,양지4길,00016,00000,47280,01,0,4736457,모전동,0660,0000,47280,11000,1,대원양지마을,1,7,47280-34,59.9781,,660,47280,2,,
11,"6,256",,1992,2012,새동네길,00019,00000,47280,01,0,4736348,모전동,0105,0001,47280,11000,1,무지개1,1,9,47280-22,84.94,,105-1,47280,6,,
12,"13,500",,1997,2012,매봉4길,00015,00000,47280,01,0,4736201,모전동,0869,0000,47280,11000,1,대동타운,1,10,47280-20,80.45,,869,47280,7,,
13,"3,300",,1987,2012,모전로,00113,00000,47280,01,0,3018044,모전동,0387,0001,47280,11000,1,중앙,1,12,47280-28,40.2,,387-1,47280,2,,
14,"9,900",,1997,2012,매봉4길,00015,00000,47280,01,0,4736201,모전동,0869,0000,47280,11000,1,대동타운,1,16,47280-20,59.65,,869,47280,5,,
15,"10,400",,1997,2012,매봉4길,00015,00000,47280,01,0,4736201,모전동,0869,0000,47280,11000,1,대동타운,1,25,47280-20,59.65,,869,47280,11,,
16,"8,800",,1995,2012,모전1길,00011,00000,47280,01,0,4736215,모전동,0264,0001,47280,11000,1,현대,1,25,47280-30,59.4,,264-1,47280,15,,
17,"17,600",,2011,2012,모전2길,00005,00003,47280,02,0,4736216,모전동,0293,0000,47280,11000,1,지엘리더스타운빌201~204동,1,28,47280-228,70.234,,293,47280,5,,
18,"10,300",,1998,2012,매봉1길,00035,00000,47280,01,0,4736198,모전동,0908,0000,47280,11000,1,주공매봉마을(1단지)201-206동,1,30,47280-27,59.47,,908,47280,8,,
19,"10,200",,2002,2012,양지4길,00016,00000,47280,01,0,4736457,모전동,0660,0000,47280,11000,1,대원양지마을,1,30,47280-34,59.9781,,660,47280,17,,
20,"14,500",,2006,2012,매봉로,00055,00005,47280,03,0,3312007,모전동,0915,0002,47280,11000,1,삼성에버빌,1,30,47280-162,84.66,,915-2,47280,9,,
0,"14,000",,2011,2012,중앙6길,00043,00001,47280,01,0,4736671,점촌동,0054,0020,47280,10100,1,예채,2,24,47280-215,83.8,,54-20,47280,5,,
1,"5,400",,1992,2012,흥덕9길,00013,00000,47280,02,0,4736792,흥덕동,0577,0000,47280,10300,1,흥덕시영,2,9,47280-17,57.19,,577,47280,4,,
