,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"4,050",,1989,2012,중앙6길,00013,00045,47720,01,0,4742254,군위읍 서부리,0494,0000,47720,25022,1,서원,2,10,47720-3,59.6,,494,47720,4,,
0,"9,375",,2008,2012,중앙6길,00021,00000,47720,01,0,4742254,군위읍 서부리,0501,0003,47720,25022,1,웅비뜨레마루,4,4,47720-36,84.99,,501-3,47720,4,,
1,"3,900",,1989,2012,중앙6길,00013,00045,47720,01,0,4742254,군위읍 서부리,0494,0000,47720,25022,1,서원,4,20,47720-3,59.6,,494,47720,4,,
0,"4,000",,1993,2012,동산새길,00020,00011,47720,01,0,4742065,군위읍 서부리,0160,0000,47720,25022,1,명성4,5,21,47720-2,71.51,,160,47720,1,,
0,"4,600",,1991,2012,동서길,00032,00000,47720,01,0,4742073,군위읍 서부리,0255,0001,47720,25022,1,명성1,9,19,47720-1,61.77,,255-1,47720,5,,
0,"3,850",,1991,2013,동서길,00032,00000,47720,01,0,4742073,군위읍 서부리,0255,0001,47720,25022,1,명성1,3,7,47720-1,68.46,,255-1,47720,4,,
0,"5,850",,1993,2013,동산새길,00020,00011,47720,01,0,4742065,군위읍 서부리,0160,0000,47720,25022,1,명성4,5,3,47720-2,84.12,,160,47720,2,,
1,"5,700",,1991,2013,동서길,00032,00000,47720,01,0,4742073,군위읍 서부리,0255,0001,47720,25022,1,명성1,5,15,47720-1,61.77,,255-1,47720,4,,
2,"4,200",,1989,2013,중앙6길,00013,00045,47720,01,0,4742254,군위읍 서부리,0494,0000,47720,25022,1,서원,5,15,47720-3,59.6,,494,47720,5,,
0,"4,450",,1989,2013,중앙6길,00013,00045,47720,01,0,4742254,군위읍 서부리,0494,0000,47720,25022,1,서원,6,21,47720-3,59.6,,494,47720,4,,
0,"17,100",,2013,2013,동서길,00089,00039,47720,01,0,4742073,군위읍 동부리,0383,0003,47720,25021,1,행복정원,7,30,47720-46,84.7,,383-3,47720,3,,
0,"17,300",,2013,2013,동서길,00089,00039,47720,01,0,4742073,군위읍 동부리,0383,0003,47720,25021,1,행복정원,8,7,47720-46,84.7,,383-3,47720,7,,
1,"16,500",,2013,2013,동서길,00089,00039,47720,01,0,4742073,군위읍 동부리,0383,0003,47720,25021,1,행복정원,8,9,47720-46,84.32,,383-3,47720,6,,
2,"16,500",,2013,2013,동서길,00089,00039,47720,01,0,4742073,군위읍 동부리,0383,0003,47720,25021,1,행복정원,8,12,47720-46,84.32,,383-3,47720,7,,
