,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"6,300",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,1,11,47730-13,59.7,,735-1,47730,2,,
1,"8,200",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,1,30,47730-13,59.7,,735-1,47730,3,,
2,"3,300",,1991,2012,동서1길,00082,00000,47730,01,0,4745140,의성읍 상리리,0707,0003,47730,25023,1,태평스카이,1,28,47730-7,40.2,,707-3,47730,6,,
3,"3,500",,1991,2012,안계길,00071,00011,47730,02,0,4745320,안계면 토매리,0195,0002,47730,43031,1,양지,1,26,47730-12,56.5,,195-2,47730,2,,
0,"6,000",,1992,2012,후죽2길,00010,00000,47730,01,0,4745559,의성읍 후죽리,0489,0001,47730,25021,1,용마타워맨션,2,2,47730-2,75.945,,489-1,47730,3,,
1,"3,500",,1992,2012,후죽2길,00010,00000,47730,01,0,4745559,의성읍 후죽리,0489,0001,47730,25021,1,용마타워맨션,2,15,47730-2,75.945,,489-1,47730,8,,
2,"2,600",,1990,2012,북원4길,00005,00000,47730,01,0,4745205,의성읍 후죽리,0853,0001,47730,25021,1,성지,2,27,47730-1,68.79,,853-1,47730,4,,
3,"7,000",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,2,1,47730-13,59.7,,735-1,47730,8,,
4,"8,450",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,2,2,47730-13,59.7,,735-1,47730,11,,
5,"6,500",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,2,3,47730-13,54.57,,735-1,47730,5,,
6,"8,400",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,2,5,47730-13,59.7,,735-1,47730,5,,
7,"6,600",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,2,8,47730-13,54.57,,735-1,47730,5,,
8,"6,000",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,2,9,47730-13,54.57,,735-1,47730,2,,
9,"5,400",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,2,10,47730-13,54.57,,735-1,47730,4,,
10,"8,000",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,2,20,47730-13,59.7,,735-1,47730,1,,
11,"8,200",,2003,2012,충효로,00075,00000,47730,01,0,3307052,의성읍 중리리,0735,0001,47730,25022,1,청구제네스1,2,21,47730-13,59.7,,735-1,47730,1,,
12,"5,200",,1990,2012,대동길,00010,00000,47730,01,0,4745092,의성읍 상리리,0694,0000,47730,25023,1,대동1,2,3,47730-3,70.32,,694,47730,2,,
13,"2,550",,1991,2012,동서1길,00082,00000,47730,01,0,4745140,의성읍 상리리,0707,0003,47730,25023,1,태평스카이,2,6,47730-7,40.2,,707-3,47730,12,,
