,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"3,500",,1990,2012,청화로,00016,00000,47820,01,0,3311079,화양읍 범곡리,0474,0004,47820,25027,1,청우,1,12,47820-10,72.9,,474-4,47820,4,,
1,"6,750",,1992,2012,청화로,00026,00000,47820,01,0,3311079,화양읍 범곡리,0484,0000,47820,25027,1,정방동백,1,31,47820-9,83.62,,484,47820,3,,
2,"2,450",,1995,2012,고수산복길,00086,00000,47820,01,0,4757025,청도읍 고수리,0630,0000,47820,25321,1,성조타운(102동),1,5,47820-17,38.76,,630,47820,5,,
0,"5,000",,1990,2012,청화로,00016,00000,47820,01,0,3311079,화양읍 범곡리,0474,0004,47820,25027,1,청우,2,28,47820-10,78.3,,474-4,47820,1,,
1,"1,400",,2003,2012,고수구길,00194,00000,47820,02,0,4757018,청도읍 고수리,1033,0003,47820,25321,1,대안(C동D동),2,8,47820-12,41.68,,1033-3,47820,6,,
2,"2,900",,1995,2012,고수산복길,00086,00000,47820,01,0,4757025,청도읍 고수리,0630,0000,47820,25321,1,성조타운(102동),2,15,47820-17,59.79,,630,47820,11,,
3,"4,200",,1992,2012,고수산복길,00040,00000,47820,01,0,4757025,청도읍 고수리,0246,0001,47820,25321,1,부민주택(1차),2,17,47820-4,59.16,,246-1,47820,4,,
4,"3,050",,1990,2012,고수구길,00193,00000,47820,02,0,4757018,청도읍 고수리,1033,0001,47820,25321,1,대안(A동),2,20,47820-1,56.76,,1033-1,47820,1,,
5,"3,300",,1990,2012,고수구길,00193,00000,47820,02,0,4757018,청도읍 고수리,1033,0001,47820,25321,1,대안(A동),2,22,47820-1,56.76,,1033-1,47820,5,,
6,"6,000",,2005,2012,학산3길,00040,00000,47820,01,0,4757496,이서면 학산리,0517,0000,47820,34044,1,청도웰그린,2,6,47820-73,59.292,,517,47820,6,,
7,"6,500",,2005,2012,학산3길,00040,00000,47820,01,0,4757496,이서면 학산리,0517,0000,47820,34044,1,청도웰그린,2,7,47820-73,59.292,,517,47820,5,,
8,"6,000",,2005,2012,학산3길,00040,00000,47820,01,0,4757496,이서면 학산리,0517,0000,47820,34044,1,청도웰그린,2,15,47820-73,59.292,,517,47820,12,,
0,"11,500",,2004,2012,청화1길,00016,00018,47820,01,0,4757471,화양읍 범곡리,0638,0000,47820,25027,1,로얄베르빌,3,5,47820-15,84.932,,638,47820,3,,
1,"6,000",,1992,2012,청화로,00026,00000,47820,01,0,3311079,화양읍 범곡리,0484,0000,47820,25027,1,정방동백,3,8,47820-9,82.86,,484,47820,4,,
2,"4,500",,1990,2012,청화로,00016,00000,47820,01,0,3311079,화양읍 범곡리,0474,0004,47820,25027,1,청우,3,9,47820-10,72.9,,474-4,47820,5,,
3,"16,000",,2009,2012,청화3길,00004,00000,47820,01,0,4757473,화양읍 범곡리,0154,0001,47820,25027,1,청도드림뷰,3,9,47820-78,84.98,,154-1,47820,9,,
4,"6,000",,1992,2012,청화로,00026,00000,47820,01,0,3311079,화양읍 범곡리,0484,0000,47820,25027,1,정방동백,3,19,47820-9,84.96,,484,47820,1,,
5,"3,550",,1995,2012,고수산복길,00086,00000,47820,01,0,4757025,청도읍 고수리,0630,0000,47820,25321,1,성조타운(102동),3,3,47820-17,52.38,,630,47820,6,,
6,"2,600",,1995,2012,고수뒷길,00074,00016,47820,01,0,4757024,청도읍 고수리,0656,0000,47820,25321,1,성조타운(101동),3,12,47820-18,38.76,,656,47820,8,,
7,"3,900",,1995,2012,고수뒷길,00074,00016,47820,01,0,4757024,청도읍 고수리,0656,0000,47820,25321,1,성조타운(101동),3,13,47820-18,59.79,,656,47820,5,,
8,"3,700",,1995,2012,고수뒷길,00074,00016,47820,01,0,4757024,청도읍 고수리,0656,0000,47820,25321,1,성조타운(101동),3,21,47820-18,59.79,,656,47820,6,,
9,"6,000",,2005,2012,학산3길,00040,00000,47820,01,0,4757496,이서면 학산리,0517,0000,47820,34044,1,청도웰그린,3,27,47820-73,59.292,,517,47820,4,,
0,"4,500",,1997,2012,고수구길,00199,00000,47820,02,0,4757018,청도읍 고수리,1033,0004,47820,25321,1,동보맨션,4,17,47820-3,84.18,,1033-4,47820,3,,
1,"2,402",,2003,2012,고수구길,00194,00000,47820,02,0,4757018,청도읍 고수리,1033,0003,47820,25321,1,대안(C동D동),4,26,47820-12,46.63,,1033-3,47820,5,,
2,"2,650",,1995,2012,고수뒷길,00074,00016,47820,01,0,4757024,청도읍 고수리,0656,0000,47820,25321,1,성조타운(101동),4,30,47820-18,38.76,,656,47820,9,,
3,"3,800",,1991,2012,헐티로,00264,00000,47820,02,0,3000063,풍각면 봉기리,1464,0005,47820,32034,1,대웅맨션(봉기),4,12,47820-11,73.89,,1464-5,47820,1,,
0,"2,800",,2003,2012,고수구길,00194,00000,47820,02,0,4757018,청도읍 고수리,1033,0003,47820,25321,1,대안(C동D동),5,17,47820-12,46.63,,1033-3,47820,1,,
1,"2,700",,2003,2012,고수구길,00194,00000,47820,02,0,4757018,청도읍 고수리,1033,0003,47820,25321,1,대안(C동D동),5,22,47820-12,41.68,,1033-3,47820,4,,
2,"3,300",,1995,2012,고수산복길,00086,00000,47820,01,0,4757025,청도읍 고수리,0630,0000,47820,25321,1,성조타운(102동),5,30,47820-17,52.38,,630,47820,10,,
3,"4,800",,1995,2012,고수산복길,00086,00000,47820,01,0,4757025,청도읍 고수리,0630,0000,47820,25321,1,성조타운(102동),5,31,47820-17,59.01,,630,47820,9,,
4,"4,600",,1995,2012,중앙로,00120,00025,47820,01,0,3303047,청도읍 원정리,0503,0000,47820,25329,1,정방원정,5,23,47820-8,82.86,,503,47820,4,,
5,"4,400",,1995,2012,중앙로,00120,00025,47820,01,0,3303047,청도읍 원정리,0503,0000,47820,25329,1,정방원정,5,30,47820-8,82.86,,503,47820,5,,
6,"6,600",,2005,2012,학산3길,00040,00000,47820,01,0,4757496,이서면 학산리,0517,0000,47820,34044,1,청도웰그린,5,22,47820-73,59.292,,517,47820,9,,
0,"12,400",,2004,2012,한내길,00027,00005,47820,01,0,4757499,화양읍 범곡리,0092,0007,47820,25027,1,파라다이스,6,8,47820-14,84.8136,,92-7,47820,1,,
1,"2,880",,2003,2012,고수구길,00194,00000,47820,02,0,4757018,청도읍 고수리,1033,0003,47820,25321,1,대안(C동D동),6,1,47820-12,46.63,,1033-3,47820,2,,
2,"4,100",,1995,2012,고수뒷길,00074,00016,47820,01,0,4757024,청도읍 고수리,0656,0000,47820,25321,1,성조타운(101동),6,4,47820-18,52.38,,656,47820,11,,
3,"6,900",,2001,2012,고수뒷길,00038,00008,47820,01,0,4757024,청도읍 고수리,0571,0006,47820,25321,1,삼우타워,6,8,47820-5,59.512,,571-6,47820,2,,
4,"2,950",,1995,2012,고수뒷길,00074,00016,47820,01,0,4757024,청도읍 고수리,0656,0000,47820,25321,1,성조타운(101동),6,16,47820-18,38.76,,656,47820,10,,
5,"3,000",,1995,2012,고수뒷길,00074,00016,47820,01,0,4757024,청도읍 고수리,0656,0000,47820,25321,1,성조타운(101동),6,25,47820-18,38.76,,656,47820,6,,
6,"6,500",,2001,2012,고수뒷길,00038,00008,47820,01,0,4757024,청도읍 고수리,0571,0006,47820,25321,1,삼우타워,6,26,47820-5,59.512,,571-6,47820,13,,
7,"4,800",,1995,2012,중앙로,00120,00025,47820,01,0,3303047,청도읍 원정리,0503,0000,47820,25329,1,정방원정,6,4,47820-8,82.86,,503,47820,2,,
8,"4,600",,1995,2012,중앙로,00120,00025,47820,01,0,3303047,청도읍 원정리,0503,0000,47820,25329,1,정방원정,6,18,47820-8,82.86,,503,47820,1,,
0,"6,000",,1992,2012,청화로,00026,00000,47820,01,0,3311079,화양읍 범곡리,0484,0000,47820,25027,1,정방동백,7,21,47820-9,82.86,,484,47820,1,,
1,"3,700",,1995,2012,고수산복길,00086,00000,47820,01,0,4757025,청도읍 고수리,0630,0000,47820,25321,1,성조타운(102동),7,2,47820-17,59.79,,630,47820,8,,
2,"5,800",,1990,2012,청화로,00245,00000,47820,02,0,3311079,청도읍 고수리,0875,0000,47820,25321,1,대웅,7,4,47820-2,67.33,,875,47820,2,,
3,"2,050",,2003,2012,고수구길,00194,00000,47820,02,0,4757018,청도읍 고수리,1033,0003,47820,25321,1,대안(C동D동),7,4,47820-12,46.63,,1033-3,47820,5,,
4,"2,000",,2003,2012,고수구길,00194,00000,47820,02,0,4757018,청도읍 고수리,1033,0003,47820,25321,1,대안(C동D동),7,4,47820-12,46.63,,1033-3,47820,4,,
5,"2,900",,1995,2012,고수뒷길,00074,00016,47820,01,0,4757024,청도읍 고수리,0656,0000,47820,25321,1,성조타운(101동),7,10,47820-18,38.76,,656,47820,7,,
6,"5,000",,1990,2012,앞산공원길,00001,00000,47820,02,0,4757339,청도읍 고수리,0633,0008,47820,25321,1,신진맨션,7,20,47820-6,77.1,,633-8,47820,1,,
7,"4,300",,1990,2012,고수구길,00193,00000,47820,02,0,4757018,청도읍 고수리,1033,0001,47820,25321,1,대안(A동),7,23,47820-1,56.76,,1033-1,47820,3,,
8,"3,900",,1992,2012,고수산복길,00040,00000,47820,01,0,4757025,청도읍 고수리,0246,0001,47820,25321,1,부민주택(1차),7,23,47820-4,57.21,,246-1,47820,5,,
9,"2,500",,1995,2012,고수산복길,00086,00000,47820,01,0,4757025,청도읍 고수리,0630,0000,47820,25321,1,성조타운(102동),7,24,47820-17,38.76,,630,47820,10,,
10,"4,000",,1992,2012,고수산복길,00040,00000,47820,01,0,4757025,청도읍 고수리,0246,0001,47820,25321,1,부민주택(1차),7,30,47820-4,57.21,,246-1,47820,3,,
11,"7,380",,2005,2012,학산3길,00040,00000,47820,01,0,4757496,이서면 학산리,0517,0000,47820,34044,1,청도웰그린,7,16,47820-73,59.292,,517,47820,9,,
0,"4,650",,1990,2012,청화로,00016,00000,47820,01,0,3311079,화양읍 범곡리,0474,0004,47820,25027,1,청우,8,26,47820-10,72.9,,474-4,47820,5,,
