,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"6,300",,2001,2012,성밖숲길,00043,00000,47840,01,0,4763204,성주읍 경산리,0496,0000,47840,25021,1,신성강변타운,1,29,47840-8,40.2696,,496,47840,10,,
0,"7,400",,2001,2012,성밖숲길,00043,00000,47840,01,0,4763204,성주읍 경산리,0496,0000,47840,25021,1,신성강변타운,2,6,47840-8,47.8767,,496,47840,5,,
1,"6,000",,2001,2012,성밖숲길,00043,00000,47840,01,0,4763204,성주읍 경산리,0496,0000,47840,25021,1,신성강변타운,2,9,47840-8,40.2696,,496,47840,11,,
2,"9,000",,2012,2012,심산로,00071,00014,47840,01,0,3321019,성주읍 경산리,0375,0001,47840,25021,1,명가타운,2,24,47840-53,61.45,,375-1,47840,1,,
3,"11,000",,1998,2012,성주순환로,00012,00000,47840,00,,3321017,성주읍 경산리,0426,0000,47840,25021,1,성주우방타운,2,27,47840-1,84.96,,426,47840,15,,
4,"5,000",,1992,2012,성주읍1길,00020,00000,47840,01,0,4763226,성주읍 성산리,2094,0000,47840,25024,1,청일가야,2,17,47840-4,59.9025,,2094,47840,6,,
0,"6,500",,2001,2012,성밖숲길,00043,00000,47840,01,0,4763204,성주읍 경산리,0496,0000,47840,25021,1,신성강변타운,3,3,47840-8,40.2696,,496,47840,6,,
1,"13,800",,2012,2012,심산로,00071,00014,47840,01,0,3321019,성주읍 경산리,0375,0001,47840,25021,1,명가타운,3,6,47840-53,84.41,,375-1,47840,7,,
2,"7,400",,2001,2012,성밖숲길,00043,00000,47840,01,0,4763204,성주읍 경산리,0496,0000,47840,25021,1,신성강변타운,3,13,47840-8,47.8767,,496,47840,13,,
3,"6,300",,2001,2012,성밖숲길,00043,00000,47840,01,0,4763204,성주읍 경산리,0496,0000,47840,25021,1,신성강변타운,3,21,47840-8,40.2696,,496,47840,4,,
4,"13,800",,2012,2012,심산로,00071,00014,47840,01,0,3321019,성주읍 경산리,0375,0001,47840,25021,1,명가타운,3,28,47840-53,84.41,,375-1,47840,9,,
5,"5,000",,1992,2012,성주읍1길,00020,00000,47840,01,0,4763226,성주읍 성산리,2094,0000,47840,25024,1,청일가야,3,12,47840-4,59.9025,,2094,47840,2,,
6,"5,900",,1992,2012,성주읍1길,00020,00000,47840,01,0,4763226,성주읍 성산리,2094,0000,47840,25024,1,청일가야,3,12,47840-4,59.9025,,2094,47840,8,,
