,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"6,900",,2003,2012,한천길,00039,00000,47900,01,0,4769376,예천읍 동본리,0454,0003,47900,25024,1,쌍용강변맨션,1,14,47900-27,58.105,,454-3,47900,5,,
1,"3,850",,1992,2012,남본3길,00003,00008,47900,01,0,4769052,예천읍 남본리,0093,0004,47900,25025,1,세종개나리(가동),1,10,47900-11,52.81,,93-4,47900,2,,
2,"5,500",,1997,2012,대심1길,00019,00000,47900,01,0,4769073,예천읍 대심리,0078,0001,47900,25027,1,장미마을,1,11,47900-18,59.64,,78-1,47900,2,,
0,"13,000",,2010,2012,용문경천로,01843,00000,47900,01,0,3323026,예천읍 백전리,0057,0001,47900,25023,1,성현아너스리버,2,14,47900-95,84.77,,57-1,47900,1,,
1,"7,300",,1990,2012,효자로,00184,00000,47900,01,0,3323029,예천읍 백전리,0095,0001,47900,25023,1,풍원,2,20,47900-3,75.99,,95-1,47900,5,,
2,"8,112",,1990,2012,동읍내길,00010,00000,47900,01,0,4769098,예천읍 동본리,0470,0001,47900,25024,1,영남,2,22,47900-9,76.56,,470-1,47900,3,,
3,"8,000",,1990,2012,동읍내길,00010,00000,47900,01,0,4769098,예천읍 동본리,0470,0001,47900,25024,1,영남,2,24,47900-9,84.84,,470-1,47900,4,,
4,"6,000",,1995,2012,효자로,00190,00010,47900,01,0,3323029,예천읍 동본리,0491,0002,47900,25024,1,우신강변,2,28,47900-10,60,,491-2,47900,7,,
5,"2,500",,1989,2012,상설시장1길,00030,00000,47900,01,0,4769175,예천읍 동본리,0445,0007,47900,25024,1,세종,2,29,47900-5,60.77,,445-7,47900,3,,
6,"20,000",,2012,2012,중앙로,00042,00000,47900,01,0,3303047,예천읍 동본리,0548,0000,47900,25024,1,유경팰리스,2,29,47900-105,84.9,,548,47900,18,,
7,"20,000",,2011,2012,충효로,00261,00008,47900,01,0,3307052,예천읍 남본리,0209,0000,47900,25025,1,예천천지원,2,22,47900-103,84.9646,,209,47900,3,,
8,"5,050",,1997,2012,양궁로,00083,00000,47900,01,0,3323006,예천읍 청복리,0383,0002,47900,25032,1,예천세아102동,2,15,47900-29,58.22,,383-2,47900,3,,
9,"5,300",,1997,2012,양궁로,00083,00000,47900,01,0,3323006,예천읍 청복리,0383,0002,47900,25032,1,예천세아102동,2,24,47900-29,58.22,,383-2,47900,8,,
10,"4,900",,1997,2012,양궁로,00083,00000,47900,01,0,3323006,예천읍 청복리,0383,0002,47900,25032,1,예천세아102동,2,28,47900-29,58.22,,383-2,47900,4,,
0,"7,000",,1990,2012,효자로,00184,00000,47900,01,0,3323029,예천읍 백전리,0095,0001,47900,25023,1,풍원,3,2,47900-3,75.99,,95-1,47900,4,,
1,"9,700",,1999,2012,효자로,00040,00000,47900,01,0,3323029,예천읍 남본리,0237,0002,47900,25025,1,세종타운,3,7,47900-12,84.93,,237-2,47900,7,,
2,"8,000",,1999,2012,효자로,00040,00000,47900,01,0,3323029,예천읍 남본리,0237,0002,47900,25025,1,세종타운,3,12,47900-12,84.93,,237-2,47900,8,,
3,"19,400",,2011,2012,충효로,00261,00008,47900,01,0,3307052,예천읍 남본리,0209,0000,47900,25025,1,예천천지원,3,22,47900-103,84.9646,,209,47900,8,,
4,"14,500",,2005,2012,충효로,00209,00009,47900,01,0,3307052,예천읍 서본리,0228,0000,47900,25026,1,이원퍼스트,3,6,47900-86,84.9376,,228,47900,7,,
