,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"8,600",,1996,2012,월변9길,00026,00000,47930,01,0,4775267,울진읍 읍내리,0196,0004,47930,25021,1,현대,1,17,47930-11,84.745,,196-4,47930,1,,
1,"8,200",,2000,2012,강변로,00012,00000,47930,01,0,3305004,울진읍 읍내리,0204,0001,47930,25021,1,해송사이버,1,27,47930-10,80.64,,204-1,47930,4,,
2,"5,200",,1995,2012,덕구온천로,00028,00000,47930,01,0,3325004,북면 부구리,0304,0001,47930,31021,1,혜광타운,1,12,47930-15,59.64,,304-1,47930,7,,
3,"6,500",,1994,2012,흥부길,00077,00000,47930,01,0,4775393,북면 부구리,0339,0000,47930,31021,1,두산중공업,1,25,47930-45,60.03,,339,47930,4,,
4,"10,800",,2008,2012,죽변북로,00087,00000,47930,01,0,3325028,죽변면 후정리,0188,0003,47930,37022,1,윤준비치아트빌,1,5,47930-214,84.844,,188-3,47930,8,,
5,"11,000",,2008,2012,죽변북로,00087,00000,47930,01,0,3325028,죽변면 후정리,0188,0003,47930,37022,1,윤준비치아트빌,1,26,47930-214,84.844,,188-3,47930,8,,
0,"5,000",,1992,2012,새마실5길,00048,00000,47930,01,0,4775178,울진읍 읍내리,0591,0024,47930,25021,1,경원,2,8,47930-1,71.38,,591-24,47930,6,,
1,"5,000",,1997,2012,새마실5길,00055,00000,47930,01,0,4775178,울진읍 읍내리,0624,0000,47930,25021,1,광림,2,14,47930-2,59.94,,624,47930,2,,
2,"7,500",,2000,2012,강변로,00012,00000,47930,01,0,3305004,울진읍 읍내리,0204,0001,47930,25021,1,해송사이버,2,27,47930-10,80.64,,204-1,47930,6,,
3,"7,000",,1994,2012,흥부길,00077,00000,47930,01,0,4775393,북면 부구리,0339,0000,47930,31021,1,두산중공업,2,3,47930-45,67.05,,339,47930,2,,
4,"6,600",,1994,2012,흥부길,00077,00000,47930,01,0,4775393,북면 부구리,0339,0000,47930,31021,1,두산중공업,2,24,47930-45,67.05,,339,47930,5,,
5,"4,700",,1994,2012,죽변6길,00036,00000,47930,01,0,4775313,죽변면 죽변리,0251,0016,47930,37021,1,대건(251-16),2,10,47930-20,59.88,,251-16,47930,3,,
6,"4,000",,1998,2012,죽변북로,00132,00000,47930,01,0,3325028,죽변면 후정리,0114,0000,47930,37022,1,광윤,2,10,47930-24,59.975,,114,47930,1,,
7,"4,000",,1998,2012,죽변북로,00132,00000,47930,01,0,3325028,죽변면 후정리,0114,0000,47930,37022,1,광윤,2,10,47930-24,59.975,,114,47930,1,,
8,"4,000",,1998,2012,죽변북로,00132,00000,47930,01,0,3325028,죽변면 후정리,0114,0000,47930,37022,1,광윤,2,10,47930-24,59.975,,114,47930,1,,
9,"4,000",,1998,2012,죽변북로,00132,00000,47930,01,0,3325028,죽변면 후정리,0114,0000,47930,37022,1,광윤,2,10,47930-24,59.975,,114,47930,1,,
10,"4,200",,1998,2012,죽변북로,00132,00000,47930,01,0,3325028,죽변면 후정리,0114,0000,47930,37022,1,광윤,2,10,47930-24,59.975,,114,47930,2,,
11,"4,200",,1998,2012,죽변북로,00132,00000,47930,01,0,3325028,죽변면 후정리,0114,0000,47930,37022,1,광윤,2,10,47930-24,59.975,,114,47930,3,,
