,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"6,000",,1996,2012,서리길,00042,00000,48240,01,0,4802350,서동,0176,0013,48240,10200,1,삼국그린,1,16,48240-5,82.7,,176-13,48240,6,,
1,"5,000",,1989,2012,유람선길,00049,00000,48240,01,0,4802560,서동,0178,0006,48240,10200,1,화신동백빌라(가동),1,25,48240-7,68.52,,178-6,48240,3,,
2,"5,250",,1993,2012,새동네1길,00061,00000,48240,02,0,4802330,선구동,0261,0000,48240,10300,1,"비룡각산타운(101,102동)",1,31,48240-9,58.59,,261,48240,2,,
3,"4,600",,1980,2012,신항로,00060,00000,48240,01,0,3334035,동금동,0038,0001,48240,10400,1,동금주공,1,30,48240-19,42.55,,38-1,48240,2,,
4,"7,800",,1995,2012,주공1길,00050,00000,48240,01,0,4802617,벌리동,0259,0000,48240,10800,1,벌리주공2단지,1,8,48240-51,58.14,,259,48240,15,,
5,"8,350",,1995,2012,주공1길,00050,00000,48240,01,0,4802617,벌리동,0259,0000,48240,10800,1,벌리주공2단지,1,20,48240-51,58.14,,259,48240,8,,
6,"7,000",,1999,2012,주공로,00070,00000,48240,02,0,3334044,용강동,0837,0001,48240,10900,1,용강주공1차,1,4,48240-33,49.85,,837-1,48240,3,,
7,"8,000",,1999,2012,주공로,00070,00000,48240,02,0,3334044,용강동,0837,0001,48240,10900,1,용강주공1차,1,14,48240-33,49.85,,837-1,48240,10,,
8,"7,500",,1999,2012,주공로,00070,00000,48240,02,0,3334044,용강동,0837,0001,48240,10900,1,용강주공1차,1,31,48240-33,49.85,,837-1,48240,9,,
9,"9,600",,2007,2012,대방길,00138,00000,48240,01,0,4802142,대방동,0205,0001,48240,11700,1,웰뷰파크,1,10,48240-256,81.714,,205-1,48240,1,,
10,"7,600",,2007,2012,대방길,00138,00000,48240,01,0,4802142,대방동,0205,0001,48240,11700,1,웰뷰파크,1,11,48240-256,56.946,,205-1,48240,8,,
11,"7,000",,2007,2012,대방길,00138,00000,48240,01,0,4802142,대방동,0205,0001,48240,11700,1,웰뷰파크,1,15,48240-256,56.946,,205-1,48240,5,,
12,"7,050",,2007,2012,대방길,00138,00000,48240,01,0,4802142,대방동,0205,0001,48240,11700,1,웰뷰파크,1,25,48240-256,56.946,,205-1,48240,5,,
13,"7,600",,2000,2012,임내길,00030,00000,48240,02,0,4802573,죽림동,0576,0000,48240,12700,1,신우심포니타운,1,1,48240-71,59.3016,,576,48240,14,,
14,"10,000",,2000,2012,임내길,00030,00000,48240,02,0,4802573,죽림동,0576,0000,48240,12700,1,신우심포니타운,1,2,48240-71,84.3692,,576,48240,2,,
15,"14,200",,2009,2012,죽계1길,00006,00000,48240,01,0,4802621,죽림동,0918,0001,48240,12700,1,사천죽림아리안2차,1,14,48240-289,84.9826,,918-1,48240,8,,
16,"5,700",,1991,2012,읍내로,00098,00000,48240,01,0,3334040,사천읍 선인리,0300,0001,48240,25021,1,신진3차,1,4,48240-74,78.99,,300-1,48240,5,,
17,"7,050",,2000,2012,서당길,00001,00005,48240,01,0,4802344,사천읍 선인리,0213,0000,48240,25021,1,대경,1,29,48240-121,59.9825,,213,48240,4,,
18,"4,900",,1991,2012,읍내로,00098,00000,48240,01,0,3334040,사천읍 선인리,0300,0001,48240,25021,1,신진3차,1,31,48240-74,66.12,,300-1,48240,5,,
19,"7,150",,1994,2012,동문로,00126,00000,48240,01,0,3334057,사천읍 정의리,0070,0010,48240,25022,1,서일2,1,7,48240-81,83.43,,70-10,48240,3,,
20,"7,200",,1994,2012,선평길,00011,00018,48240,01,0,4802377,사천읍 평화리,0002,0009,48240,25023,1,신진타워맨션,1,19,48240-72,59.13,,2-9,48240,1,,
21,"6,900",,2001,2012,항공로,00111,00000,48240,01,0,3334049,사천읍 사주리,0460,0001,48240,25025,1,대방빌리지,1,31,48240-85,59.97,,460-1,48240,5,,
22,"5,050",,2005,2012,구암두문로,00254,00009,48240,01,0,3019010,사천읍 구암리,0524,0000,48240,25028,1,원광이안애,1,4,48240-247,40.5803,,524,48240,10,,
23,"5,700",,1998,2012,두량로,00030,00000,48240,01,0,3334019,사천읍 구암리,1440,0001,48240,25028,1,옥성그린,1,6,48240-86,59.67,,1440-1,48240,5,,
24,"4,750",,2005,2012,구암두문로,00254,00009,48240,01,0,3019010,사천읍 구암리,0524,0000,48240,25028,1,원광이안애,1,9,48240-247,40.5803,,524,48240,2,,
25,"7,000",,2005,2012,구암두문로,00254,00009,48240,01,0,3019010,사천읍 구암리,0524,0000,48240,25028,1,원광이안애,1,17,48240-247,55.5026,,524,48240,10,,
26,"6,500",,2005,2012,구암두문로,00254,00009,48240,01,0,3019010,사천읍 구암리,0524,0000,48240,25028,1,원광이안애,1,18,48240-247,55.5026,,524,48240,5,,
27,"7,200",,2005,2012,구암두문로,00254,00009,48240,01,0,3019010,사천읍 구암리,0524,0000,48240,25028,1,원광이안애,1,26,48240-247,55.5026,,524,48240,8,,
28,"6,500",,2005,2012,구암두문로,00254,00009,48240,01,0,3019010,사천읍 구암리,0524,0000,48240,25028,1,원광이안애,1,27,48240-247,55.5026,,524,48240,5,,
29,"13,000",,2005,2012,진삼로,01382,00016,48240,06,0,3334046,정동면 고읍리,0601,0025,48240,31021,1,토산아델리움(1단지),1,2,48240-246,84.2187,,601-25,48240,4,,
30,"13,700",,1998,2012,진삼로,01386,00000,48240,06,0,3334046,정동면 고읍리,0570,0001,48240,31021,1,사천한보3차,1,15,48240-88,84.991,,570-1,48240,12,,
31,"8,600",,1998,2012,진삼로,01386,00000,48240,06,0,3334046,정동면 고읍리,0570,0001,48240,31021,1,사천한보3차,1,19,48240-88,59.94,,570-1,48240,4,,
32,"13,550",,1998,2012,진삼로,01386,00000,48240,06,0,3334046,정동면 고읍리,0570,0001,48240,31021,1,사천한보3차,1,25,48240-88,84.991,,570-1,48240,14,,
33,"9,100",,1998,2012,진삼로,01386,00000,48240,06,0,3334046,정동면 고읍리,0570,0001,48240,31021,1,사천한보3차,1,28,48240-88,59.94,,570-1,48240,5,,
34,"8,050",,1995,2012,사천강1길,00011,00000,48240,01,0,4802305,정동면 고읍리,0600,0001,48240,31021,1,사천한보훼미리타운,1,28,48240-89,59.66,,600-1,48240,10,,
35,"12,900",,2005,2012,진삼로,01382,00016,48240,06,0,3334046,정동면 고읍리,0601,0025,48240,31021,1,토산아델리움(1단지),1,31,48240-246,84.2187,,601-25,48240,4,,
36,"6,350",,2001,2012,여옥길,00036,00000,48240,01,0,4802483,정동면 풍정리,0520,0000,48240,31024,1,송보파인빌,1,12,48240-125,59.8956,,520,48240,15,,
37,"6,550",,2001,2012,여옥길,00036,00000,48240,01,0,4802483,정동면 풍정리,0520,0000,48240,31024,1,송보파인빌,1,27,48240-125,59.8956,,520,48240,9,,
38,"26,300",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,2,48240-292,123.669,,30-2,48240,11,,
39,"19,737",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,2,48240-292,84.9463,,30-2,48240,1,,
40,"20,332",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,2,48240-292,84.9757,,30-2,48240,2,,
41,"28,287",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,4,48240-292,123.669,,30-2,48240,14,,
42,"9,800",,1999,2012,진삼로,01279,00000,48240,07,0,3334046,사남면 월성리,0012,0001,48240,32025,1,사천한주빌라트,1,7,48240-102,84.93,,12-1,48240,2,,
43,"20,504",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,9,48240-292,84.9463,,30-2,48240,6,,
44,"20,504",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,9,48240-292,84.9463,,30-2,48240,7,,
45,"20,504",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,9,48240-292,84.9463,,30-2,48240,6,,
46,"20,504",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,9,48240-292,84.9463,,30-2,48240,6,,
47,"25,000",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,16,48240-292,123.669,,30-2,48240,12,,
48,"13,300",,2006,2012,조동길,00061,00000,48240,01,0,4802605,사남면 월성리,0451,0000,48240,32025,1,사천푸르지오,1,17,48240-253,59.6447,,451,48240,13,,
49,"18,300",,2006,2012,조동길,00061,00000,48240,01,0,4802605,사남면 월성리,0451,0000,48240,32025,1,사천푸르지오,1,18,48240-253,84.9817,,451,48240,9,,
50,"11,850",,2006,2012,조동길,00061,00000,48240,01,0,4802605,사남면 월성리,0451,0000,48240,32025,1,사천푸르지오,1,18,48240-253,59.6447,,451,48240,2,,
51,"19,677",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,19,48240-292,84.9867,,30-2,48240,1,,
52,"16,800",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,20,48240-292,84.9463,,30-2,48240,2,,
53,"6,800",,1999,2012,진삼로,01279,00000,48240,07,0,3334046,사남면 월성리,0012,0001,48240,32025,1,사천한주빌라트,1,22,48240-102,59.87,,12-1,48240,3,,
54,"20,061",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,25,48240-292,84.9867,,30-2,48240,2,,
55,"15,400",,2006,2012,조동길,00061,00000,48240,01,0,4802605,사남면 월성리,0451,0000,48240,32025,1,사천푸르지오,1,26,48240-253,75.5438,,451,48240,6,,
56,"12,900",,2006,2012,조동길,00061,00000,48240,01,0,4802605,사남면 월성리,0451,0000,48240,32025,1,사천푸르지오,1,26,48240-253,59.6447,,451,48240,5,,
57,"13,100",,2006,2012,조동길,00061,00000,48240,01,0,4802605,사남면 월성리,0451,0000,48240,32025,1,사천푸르지오,1,27,48240-253,59.6447,,451,48240,8,,
58,"17,566",,2010,2012,월성1길,00089,00000,48240,01,0,4802558,사남면 월성리,0030,0002,48240,32025,1,엘아이지사천리가,1,27,48240-292,84.9867,,30-2,48240,2,,
59,"5,300",,2005,2012,죽천강길,00056,00000,48240,02,0,4802629,용현면 신복리,0007,0001,48240,33026,1,동강아뜨리에,1,3,48240-131,49.7,,7-1,48240,2,,
60,"7,500",,2005,2012,죽천강길,00056,00000,48240,02,0,4802629,용현면 신복리,0007,0001,48240,33026,1,동강아뜨리에,1,18,48240-131,59.3634,,7-1,48240,6,,
61,"6,600",,2005,2012,죽천강길,00056,00000,48240,02,0,4802629,용현면 신복리,0007,0001,48240,33026,1,동강아뜨리에,1,26,48240-131,49.7,,7-1,48240,15,,
