,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"7,470",,2000,2012,화왕산로,00026,00005,48740,01,0,3341048,창녕읍 송현리,0115,0008,48740,25021,1,라인솔터,1,31,48740-39,59.1415,,115-8,48740,9,,
1,"4,000",,1992,2012,우포2로,01199,00000,48740,01,0,3341033,창녕읍 교리,0981,0002,48740,25022,1,현대맨션,1,12,48740-5,59.4,,981-2,48740,5,,
2,"2,600",,1987,2012,화왕산1로,00078,00001,48740,01,0,3341047,창녕읍 말흘리,0223,0001,48740,25023,1,반도,1,12,48740-8,39.06,,223-1,48740,2,,
3,"6,300",,1993,2012,우포1대로,01551,00000,48740,01,0,2341004,창녕읍 직교리,0660,0000,48740,25026,1,대한,1,12,48740-16,59.94,,660,48740,1,,
4,"6,350",,1990,2012,남창녕로,00047,00000,48740,01,0,3341009,창녕읍 교하리,0011,0002,48740,25037,1,청호,1,10,48740-14,79.17,,11-2,48740,2,,
5,"15,119",,2010,2012,남고길,00047,00000,48740,01,0,4823101,남지읍 남지리,0817,0001,48740,25321,1,남지동아더프라임,1,2,48740-191,84.9305,,817-1,48740,10,,
6,"21,249",,2010,2012,남고길,00047,00000,48740,01,0,4823101,남지읍 남지리,0817,0001,48740,25321,1,남지동아더프라임,1,2,48740-191,116.7116,,817-1,48740,8,,
7,"21,249",,2010,2012,남고길,00047,00000,48740,01,0,4823101,남지읍 남지리,0817,0001,48740,25321,1,남지동아더프라임,1,4,48740-191,116.7116,,817-1,48740,11,,
8,"6,000",,2005,2012,동포로,00046,00000,48740,01,0,3341013,남지읍 남지리,0293,0001,48740,25321,1,푸른마을,1,5,48740-47,78.69,,293-1,48740,4,,
9,"5,200",,2005,2012,동포로,00046,00000,48740,01,0,3341013,남지읍 남지리,0293,0001,48740,25321,1,푸른마을,1,6,48740-47,68.31,,293-1,48740,8,,
10,"15,119",,2010,2012,남고길,00047,00000,48740,01,0,4823101,남지읍 남지리,0817,0001,48740,25321,1,남지동아더프라임,1,6,48740-191,84.9305,,817-1,48740,11,,
11,"6,400",,2005,2012,동포로,00046,00000,48740,01,0,3341013,남지읍 남지리,0293,0001,48740,25321,1,푸른마을,1,12,48740-47,73.32,,293-1,48740,11,,
12,"12,200",,2010,2012,남고길,00047,00000,48740,01,0,4823101,남지읍 남지리,0817,0001,48740,25321,1,남지동아더프라임,1,18,48740-191,67.8883,,817-1,48740,11,,
13,"14,279",,2010,2012,남고길,00047,00000,48740,01,0,4823101,남지읍 남지리,0817,0001,48740,25321,1,남지동아더프라임,1,21,48740-191,84.9305,,817-1,48740,18,,
14,"15,119",,2010,2012,남고길,00047,00000,48740,01,0,4823101,남지읍 남지리,0817,0001,48740,25321,1,남지동아더프라임,1,26,48740-191,84.9305,,817-1,48740,15,,
15,"15,119",,2010,2012,남고길,00047,00000,48740,01,0,4823101,남지읍 남지리,0817,0001,48740,25321,1,남지동아더프라임,1,30,48740-191,84.9305,,817-1,48740,11,,
