,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"15,350",,2006,2012,중앙로15번길,00062,00000,48820,01,0,4826545,고성읍 서외리,0253,0023,48820,25022,1,한솔메르빌,1,14,48820-104,84.89,,253-23,48820,3,,
1,"17,300",,2008,2012,성내로,00051,00008,48820,01,0,3342038,고성읍 서외리,0223,0000,48820,25022,1,금강드림피아2차,1,16,48820-109,84.9986,,223,48820,7,,
2,"7,700",,1997,2012,성내로,00071,00012,48820,01,0,3342038,고성읍 서외리,0072,0005,48820,25022,1,태영1차,1,27,48820-4,59.94,,72-5,48820,3,,
3,"8,300",,1997,2012,성내로,00071,00012,48820,01,0,3342038,고성읍 서외리,0072,0005,48820,25022,1,태영1차,1,27,48820-4,59.94,,72-5,48820,6,,
4,"6,000",,1989,2012,남포로80번길,00022,00013,48820,01,0,4826073,고성읍 수남리,0533,0000,48820,25023,1,서원,1,11,48820-15,59.54,,533,48820,3,,
5,"7,800",,1998,2012,동외로,00037,00024,48820,01,0,3342013,고성읍 동외리,0581,0000,48820,25024,1,대동양지,1,3,48820-33,59.76,,581,48820,7,,
6,"6,450",,1996,2012,동외로,00037,00003,48820,01,0,3342013,고성읍 동외리,0580,0001,48820,25024,1,대동남산,1,4,48820-32,49.525,,580-1,48820,7,,
7,"17,800",,2011,2012,동외로168번길,00099,00000,48820,01,0,4826143,고성읍 동외리,0144,0002,48820,25024,1,디에스아이존빌2차,1,6,48820-138,80.1869,,144-2,48820,3,,
8,"10,000",,1992,2012,중앙로,00087,00000,48820,01,0,3342044,고성읍 동외리,0162,0001,48820,25024,1,정림무지개,1,11,48820-7,77.41,,162-1,48820,10,,
9,"19,365",,2011,2012,동외로168번길,00099,00000,48820,01,0,4826143,고성읍 동외리,0144,0002,48820,25024,1,디에스아이존빌2차,1,12,48820-138,80.1869,,144-2,48820,14,,
10,"7,250",,1988,2012,중앙로104번길,00009,00000,48820,01,0,4826544,고성읍 동외리,0190,0000,48820,25024,1,유성,1,13,48820-6,82.35,,190,48820,4,,
11,"18,450",,2011,2012,동외로168번길,00099,00000,48820,01,0,4826143,고성읍 동외리,0144,0002,48820,25024,1,디에스아이존빌2차,1,16,48820-138,84.6925,,144-2,48820,1,,
12,"17,800",,2011,2012,동외로168번길,00099,00000,48820,01,0,4826143,고성읍 동외리,0144,0002,48820,25024,1,디에스아이존빌2차,1,18,48820-138,80.1869,,144-2,48820,3,,
13,"17,800",,2011,2012,동외로168번길,00099,00000,48820,01,0,4826143,고성읍 동외리,0144,0002,48820,25024,1,디에스아이존빌2차,1,20,48820-138,80.1869,,144-2,48820,3,,
14,"17,800",,2011,2012,동외로168번길,00099,00000,48820,01,0,4826143,고성읍 동외리,0144,0002,48820,25024,1,디에스아이존빌2차,1,20,48820-138,80.1869,,144-2,48820,4,,
15,"17,800",,2011,2012,동외로168번길,00099,00000,48820,01,0,4826143,고성읍 동외리,0144,0002,48820,25024,1,디에스아이존빌2차,1,26,48820-138,80.1869,,144-2,48820,3,,
16,"12,500",,2008,2012,송학로,00208,00000,48820,01,0,3342023,고성읍 송학리,0235,0000,48820,25025,1,리더빌2차,1,4,48820-110,79.8177,,235,48820,10,,
