,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"9,900",,2003,2012,중앙로,00103,00000,48850,01,0,3344026,하동읍 읍내리,0970,0000,48850,25021,1,송보파인빌,1,11,48850-16,84.9886,,970,48850,12,,
1,"5,500",,1990,2012,소재1길,00009,00000,48850,01,0,4832271,하동읍 비파리,0611,0046,48850,25023,1,무지개맨션,1,4,48850-3,71.01,,611-46,48850,5,,
2,"9,700",,2009,2012,산복2길,00010,00000,48850,01,0,4832216,하동읍 비파리,0411,0000,48850,25023,1,녹차마을,1,16,48850-67,59.3202,,411,48850,3,,
3,"3,000",,1992,2012,산복1길,00020,00000,48850,01,0,4832215,하동읍 두곡리,0507,0003,48850,25028,1,대망파크맨션,1,31,48850-7,65.01,,507-3,48850,4,,
4,"5,000",,1992,2012,민다리안길,00097,00000,48850,01,0,4832168,진교면 진교리,0298,0000,48850,37021,1,진교맨션,1,5,48850-11,53.47,,298,48850,8,,
5,"9,360",,2011,2012,산업로,00485,00000,48850,02,0,3000221,금성면 갈사리,0628,0000,48850,42024,1,하동해양파크빌,1,3,48850-69,57.925,,628,48850,2,,
6,"8,610",,2011,2012,산업로,00485,00000,48850,02,0,3000221,금성면 갈사리,0628,0000,48850,42024,1,하동해양파크빌,1,30,48850-69,57.925,,628,48850,5,,
7,"5,530",,2011,2012,산업로,00485,00000,48850,02,0,3000221,금성면 갈사리,0628,0000,48850,42024,1,하동해양파크빌,1,31,48850-69,38.477,,628,48850,2,,
0,"10,150",,2003,2012,중앙로,00103,00000,48850,01,0,3344026,하동읍 읍내리,0970,0000,48850,25021,1,송보파인빌,2,10,48850-16,59.2611,,970,48850,4,,
1,"10,250",,2003,2012,중앙로,00103,00000,48850,01,0,3344026,하동읍 읍내리,0970,0000,48850,25021,1,송보파인빌,2,18,48850-16,59.2611,,970,48850,5,,
2,"4,100",,1991,2012,섬진강대로,02174,00000,48850,01,0,2000027,하동읍 읍내리,1494,0021,48850,25021,1,미도빌라,2,24,48850-1,71.49,,1494-21,48850,1,,
