,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"14,300",,2008,2012,원교길,00009,00000,48870,01,0,4838346,함양읍 교산리,0335,0000,48870,25024,1,상림팰리스,1,5,48870-87,84.8961,,335,48870,2,,
1,"14,800",,2008,2012,원교길,00009,00000,48870,01,0,4838346,함양읍 교산리,0335,0000,48870,25024,1,상림팰리스,1,18,48870-87,84.6614,,335,48870,8,,
2,"8,000",,1989,2012,교산길,00028,00000,48870,01,0,4838044,함양읍 교산리,0153,0004,48870,25024,1,궁전아파트,1,31,48870-5,84.76,,153-4,48870,1,,
3,"12,500",,2007,2012,함양남서로,01216,00000,48870,01,0,3346024,함양읍 백연리,0498,0004,48870,25028,1,주원아트빌,1,11,48870-73,83.86,,498-4,48870,4,,
4,"9,000",,2007,2012,읍삼동길,00017,00000,48870,01,0,4838376,안의면 당본리,0005,0018,48870,36022,1,화목그린빌라,1,30,48870-74,84.35,,5-18,48870,7,,
0,"13,000",,2011,2012,용평2길,00018,00000,48870,01,0,4838326,함양읍 용평리,0618,0017,48870,25022,1,동호빌,2,10,48870-94,80.2619,,618-17,48870,4,,
1,"8,900",,1992,2012,용평3길,00026,00001,48870,01,0,4838327,함양읍 용평리,0620,0000,48870,25022,1,진하맨션(620-0),2,15,48870-3,83.46,,620,48870,4,,
2,"7,700",,1992,2012,용평3길,00026,00001,48870,01,0,4838327,함양읍 용평리,0620,0000,48870,25022,1,진하맨션(620-0),2,19,48870-3,59.34,,620,48870,5,,
3,"10,300",,1997,2012,교산3길,00006,00000,48870,01,0,4838042,함양읍 교산리,0160,0000,48870,25024,1,함양한주,2,3,48870-12,59.78,,160,48870,4,,
4,"7,000",,1992,2012,교산중앙길,00033,00000,48870,01,0,4838046,함양읍 교산리,0149,0000,48870,25024,1,위성,2,6,48870-10,72.3,,149,48870,1,,
5,"6,200",,1991,2012,함양여중길,00018,00014,48870,01,0,4838481,함양읍 교산리,0967,0001,48870,25024,1,삼익,2,9,48870-8,68.85,,967-1,48870,3,,
6,"10,000",,1997,2012,교산길,00016,00000,48870,01,0,4838044,함양읍 교산리,0177,0028,48870,25024,1,양지맨션,2,9,48870-9,128.64,,177-28,48870,2,,
7,"6,750",,1998,2012,함양로,01222,00000,48870,00,,3346025,함양읍 교산리,0296,0000,48870,25024,1,유승한마음,2,10,48870-23,59.95,,296,48870,6,,
8,"6,850",,1998,2012,함양로,01222,00000,48870,00,,3346025,함양읍 교산리,0296,0000,48870,25024,1,유승한마음,2,14,48870-23,59.95,,296,48870,10,,
9,"9,400",,1994,2012,학당길,00009,00011,48870,01,0,4838464,함양읍 교산리,0968,0001,48870,25024,1,경일,2,15,48870-4,84.165,,968-1,48870,6,,
10,"7,400",,1992,2012,함양로,01235,00001,48870,01,0,3346025,함양읍 교산리,0352,0001,48870,25024,1,장미,2,20,48870-11,84.32,,352-1,48870,3,,
11,"6,730",,1998,2012,함양로,01222,00000,48870,00,,3346025,함양읍 교산리,0296,0000,48870,25024,1,유승한마음,2,21,48870-23,59.95,,296,48870,10,,
12,"6,000",,1995,2012,광풍로,00162,00017,48870,01,0,3346001,안의면 금천리,0072,0001,48870,36021,1,화림맨션,2,6,48870-17,59.93,,72-1,48870,6,,
0,"14,500",,2009,2012,함양로,01112,00000,48870,01,0,3346025,함양읍 용평리,0720,0005,48870,25022,1,함양한성사랑채,3,1,48870-89,73.3567,,720-5,48870,11,,
1,"16,000",,2009,2012,함양로,01112,00000,48870,01,0,3346025,함양읍 용평리,0720,0005,48870,25022,1,함양한성사랑채,3,2,48870-89,84.869,,720-5,48870,5,,
2,"7,700",,1992,2012,용평3길,00026,00001,48870,01,0,4838327,함양읍 용평리,0620,0000,48870,25022,1,진하맨션(620-0),3,8,48870-3,59.34,,620,48870,10,,
3,"8,000",,1992,2012,교산중앙길,00033,00000,48870,01,0,4838046,함양읍 교산리,0149,0000,48870,25024,1,위성,3,2,48870-10,84.69,,149,48870,5,,
4,"6,550",,1998,2012,함양로,01222,00000,48870,00,,3346025,함양읍 교산리,0296,0000,48870,25024,1,유승한마음,3,10,48870-23,59.95,,296,48870,3,,
5,"7,800",,1998,2012,함양로,01222,00000,48870,00,,3346025,함양읍 교산리,0296,0000,48870,25024,1,유승한마음,3,12,48870-23,59.95,,296,48870,11,,
6,"10,000",,1997,2012,교산3길,00006,00000,48870,01,0,4838042,함양읍 교산리,0160,0000,48870,25024,1,함양한주,3,15,48870-12,59.78,,160,48870,12,,
7,"14,500",,2008,2012,원교길,00009,00000,48870,01,0,4838346,함양읍 교산리,0335,0000,48870,25024,1,상림팰리스,3,21,48870-87,84.6614,,335,48870,2,,
8,"9,000",,1997,2012,교산3길,00006,00000,48870,01,0,4838042,함양읍 교산리,0160,0000,48870,25024,1,함양한주,3,23,48870-12,59.78,,160,48870,17,,
9,"9,600",,1997,2012,교산3길,00006,00000,48870,01,0,4838042,함양읍 교산리,0160,0000,48870,25024,1,함양한주,3,25,48870-12,59.78,,160,48870,11,,
10,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,10,,
11,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,9,,
12,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,9,,
13,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,9,,
14,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,7,,
15,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,6,,
16,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,6,,
17,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,6,,
18,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,5,,
19,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,5,,
20,"5,600",,1999,2012,원교1길,00015,00000,48870,01,0,4838345,함양읍 교산리,0833,0001,48870,25024,1,천령,3,26,48870-24,59.6,,833-1,48870,5,,
