,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"3,500",,1992,2012,중앙로,00020,00000,48890,01,0,3348050,합천읍 합천리,0850,0000,48890,25021,1,"무지개가동가,라동",1,10,48890-7,58.11,,850,48890,1,,
1,"6,000",,2001,2012,중앙로,00014,00000,48890,01,0,3348050,합천읍 합천리,0902,0001,48890,25021,1,코스모스,1,10,48890-17,48.537,,902-1,48890,2,,
2,"7,800",,1989,2012,남정길,00009,00000,48890,00,0,4844117,합천읍 합천리,0916,0005,48890,25021,1,강변빌라1,1,20,48890-1,82.5,,916-5,48890,2,,
3,"4,650",,1991,2012,황산3길,00011,00004,48890,01,0,4844675,가야면 황산리,0284,0001,48890,33031,1,해인맨션,1,25,48890-22,83.86,,284-1,48890,1,,
0,"6,100",,1997,2012,동서로,00141,00014,48890,01,0,3348045,합천읍 합천리,0151,0000,48890,25021,1,성은강변,2,6,48890-12,59.77,,151,48890,1,,
1,"9,500",,1993,2012,충효로,00013,00000,48890,01,0,3348032,합천읍 합천리,0869,0012,48890,25021,1,황강하이츠타운,2,14,48890-20,82.02,,869-12,48890,5,,
2,"9,000",,2005,2012,충효로,00097,00005,48890,01,0,3348032,합천읍 합천리,0472,0002,48890,25021,1,서원타운,2,16,48890-76,84.46,,472-2,48890,7,,
3,"7,500",,1993,2012,충효로,00013,00000,48890,01,0,3348032,합천읍 합천리,0869,0012,48890,25021,1,황강하이츠타운,2,27,48890-20,82.02,,869-12,48890,10,,
4,"8,500",,2001,2012,삼가중앙길,00046,00000,48890,01,0,4844290,삼가면 일부리,0873,0000,48890,43024,1,삼현,2,27,48890-30,124.93,,873,48890,2,,
5,"5,500",,1996,2012,삼가1로,00029,00000,48890,01,0,3348016,삼가면 금리,0540,0001,48890,43027,1,해인하이츠빌라,2,8,48890-28,84.9,,540-1,48890,5,,
0,"16,800",,2012,2012,핫들2로,00060,00000,48890,01,0,3348037,합천읍 합천리,0153,0001,48890,25021,1,석경누리채,3,5,48890-97,84.2951,,153-1,48890,9,,
1,"7,200",,1992,2012,중앙로,00020,00000,48890,01,0,3348050,합천읍 합천리,0850,0000,48890,25021,1,"무지개가동가,라동",3,8,48890-7,84.3,,850,48890,1,,
2,"4,550",,1997,2012,동서로,00141,00014,48890,01,0,3348045,합천읍 합천리,0151,0000,48890,25021,1,성은강변,3,12,48890-12,44.29,,151,48890,6,,
3,"12,600",,2006,2012,동서로,00141,00015,48890,01,0,3348045,합천읍 합천리,0353,0003,48890,25021,1,강산해오름(353-3),3,15,48890-80,84.9314,,353-3,48890,3,,
4,"6,500",,1993,2012,충효로,00013,00000,48890,01,0,3348032,합천읍 합천리,0869,0012,48890,25021,1,황강하이츠타운,3,16,48890-20,56.61,,869-12,48890,3,,
5,"16,800",,2012,2012,핫들2로,00060,00000,48890,01,0,3348037,합천읍 합천리,0153,0001,48890,25021,1,석경누리채,3,23,48890-97,84.2951,,153-1,48890,7,,
6,"4,300",,1983,2012,핫들2로,00066,00000,48890,01,0,3348037,합천읍 합천리,0153,0004,48890,25021,1,금오,3,27,48890-3,63.9,,153-4,48890,5,,
7,"7,700",,1990,2012,동서로,00139,00000,48890,01,0,3348045,합천읍 합천리,0348,0001,48890,25021,1,대야1,3,29,48890-5,77.34,,348-1,48890,5,,
0,"6,350",,1993,2012,충효로,00013,00000,48890,01,0,3348032,합천읍 합천리,0869,0012,48890,25021,1,황강하이츠타운,4,2,48890-20,56.61,,869-12,48890,3,,
1,"16,800",,2012,2012,핫들2로,00060,00000,48890,01,0,3348037,합천읍 합천리,0153,0001,48890,25021,1,석경누리채,4,2,48890-97,84.2951,,153-1,48890,8,,
2,"5,100",,1990,2012,남정길,00009,00000,48890,01,0,4844117,합천읍 합천리,0948,0002,48890,25021,1,한진빌라,4,9,48890-19,58.17,,948-2,48890,2,,
3,"6,000",,1993,2012,충효로,00013,00000,48890,01,0,3348032,합천읍 합천리,0869,0012,48890,25021,1,황강하이츠타운,4,12,48890-20,56.61,,869-12,48890,1,,
4,"16,000",,2006,2012,문화로,00033,00000,48890,01,0,3348013,합천읍 합천리,0913,0004,48890,25021,1,리버스카이,4,16,48890-81,84.1726,,913-4,48890,3,,
5,"16,900",,2012,2012,핫들2로,00060,00000,48890,01,0,3348037,합천읍 합천리,0153,0001,48890,25021,1,석경누리채,4,20,48890-97,84.2951,,153-1,48890,10,,
6,"12,500",,2012,2012,충효로,00023,00009,48890,01,0,3348032,합천읍 합천리,0828,0043,48890,25021,1,미가클래스3차B동,4,20,48890-98,68.498,,828-43,48890,5,,
7,"15,000",,2006,2012,문화로,00033,00000,48890,01,0,3348013,합천읍 합천리,0913,0004,48890,25021,1,리버스카이,4,24,48890-81,84.88,,913-4,48890,3,,
8,"12,500",,2012,2012,충효로,00023,00009,48890,01,0,3348032,합천읍 합천리,0828,0043,48890,25021,1,미가클래스3차B동,4,30,48890-98,68.498,,828-43,48890,3,,
9,"12,500",,2012,2012,충효로,00023,00009,48890,01,0,3348032,합천읍 합천리,0828,0043,48890,25021,1,미가클래스3차B동,4,30,48890-98,68.498,,828-43,48890,6,,
0,"13,450",,2002,2012,문화로,00057,00000,48890,01,0,3348013,합천읍 합천리,0867,0000,48890,25021,1,미가하이츠타운,5,2,48890-9,84.78,,867,48890,6,,
1,"4,800",,1997,2012,중앙로,00013,00004,48890,01,0,3348050,합천읍 합천리,0852,0005,48890,25021,1,황강타운,5,3,48890-29,56.82,,852-5,48890,3,,
2,"14,620",,2012,2012,충효로,00023,00009,48890,01,0,3348032,합천읍 합천리,0828,0043,48890,25021,1,미가클래스3차B동,5,7,48890-98,84.845,,828-43,48890,8,,
3,"7,500",,1990,2012,동서로,00139,00000,48890,01,0,3348045,합천읍 합천리,0348,0001,48890,25021,1,대야1,5,14,48890-5,77.34,,348-1,48890,5,,
4,"16,400",,2012,2012,핫들2로,00060,00000,48890,01,0,3348037,합천읍 합천리,0153,0001,48890,25021,1,석경누리채,5,18,48890-97,84.2951,,153-1,48890,6,,
5,"6,200",,1992,2012,동서로,00015,00000,48890,01,0,3348045,합천읍 합천리,1275,0015,48890,25021,1,한주그린파크,5,21,48890-18,59.55,,1275-15,48890,3,,
