,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2008,,,2012,사직동,"65,000",광화문스페이스본(101동~105동),1,0,2,160.85,,,9,11110,6
1,,2008,,,2012,사직동,"5,000",광화문스페이스본(101동~105동),1,200,4,70.8,,,9,11110,3
2,,2008,,,2012,사직동,"47,000",광화문스페이스본(101동~105동),1,0,10,108.07,,,9,11110,8
3,,2008,,,2012,사직동,"44,000",광화문스페이스본(101동~105동),1,0,12,108.55,,,9,11110,9
4,,2008,,,2012,사직동,"57,000",광화문스페이스본(101동~105동),1,0,13,136.4,,,9,11110,4
5,,2008,,,2012,사직동,"51,000",광화문스페이스본(101동~105동),1,0,14,108.55,,,9,11110,11
6,,2008,,,2012,사직동,"34,000",광화문스페이스본(101동~105동),1,0,19,70.8,,,9,11110,1
7,,2008,,,2012,사직동,"53,000",광화문스페이스본(101동~105동),1,0,20,108.55,,,9,11110,7
8,,2008,,,2012,사직동,"10,000",광화문스페이스본(101동~105동),1,300,25,136.4,,,9,11110,12
9,,2008,,,2012,사직동,"40,000",광화문스페이스본(101동~105동),1,0,25,94.28,,,9,11110,13
10,,2008,,,2012,사직동,"60,000",광화문스페이스본(101동~105동),1,0,27,147.31,,,9,11110,9
11,,2008,,,2012,사직동,"45,000",광화문스페이스본(101동~105동),1,0,28,94.51,,,9,11110,14
12,,2008,,,2012,사직동,"58,000",광화문스페이스본(101동~105동),1,0,31,146.92,,,9,11110,9
13,,2004,,,2012,내수동,"10,000",경희궁의아침4단지,1,350,3,145.96,,,73,11110,11
14,,2004,,,2012,내수동,"5,000",경희궁의아침3단지,1,300,3,124.17,,,72,11110,15
15,,2003,,,2012,내수동,"54,000",경희궁파크팰리스,1,0,8,147.62,,,95,11110,2
16,,2004,,,2012,내수동,"77,000",경희궁의아침2단지,1,0,18,174.55,,,71,11110,4
17,,2003,,,2012,익선동,"1,000",현대뜨레비앙,1,90,26,46.64,,,55,11110,3
18,,2003,,,2012,익선동,"5,000",현대뜨레비앙,1,60,30,48.54,,,55,11110,6
19,,2006,,,2012,인의동,"35,000",효성쥬얼리시티,1,0,14,178.73,,,48-2,11110,18
20,,2006,,,2012,인의동,"24,000",효성쥬얼리시티,1,0,21,84.64,,,48-2,11110,14
21,,2006,,,2012,인의동,"30,000",효성쥬얼리시티,1,0,30,98.39,,,48-2,11110,13
22,,2003,,,2012,명륜1가,"15,000",송림아마레스아파트,1,0,7,84.81,,,2-12,11110,4
23,,2006,,,2012,명륜1가,"29,800",건양하늘터,1,0,7,84.9,,,23,11110,11
24,,1999,,,2012,명륜2가,"3,000",아남3,1,90,5,47.43,,,237,11110,4
25,,1999,,,2012,명륜2가,"15,000",아남3,1,30,8,47.43,,,237,11110,6
26,,1995,,,2012,명륜2가,"36,000",아남1,1,0,8,84.9,,,4,11110,16
27,,1996,,,2012,명륜2가,"30,500",아남2,1,0,12,84.96,,,236,11110,7
28,,1995,,,2012,명륜2가,"33,000",아남1,1,0,14,84.8,,,4,11110,17
29,,1996,,,2012,명륜2가,"25,000",아남2,1,0,17,59.4,,,236,11110,5
30,,1999,,,2012,명륜2가,"3,000",아남3,1,100,19,50.49,,,237,11110,3
31,,1999,,,2012,창신동,"20,000",두산,1,0,4,59.95,,,232,11110,2
32,,2003,,,2012,창신동,"20,000",창신이수,1,0,5,68.06,,,23-816,11110,8
33,,1999,,,2012,창신동,"23,000",두산,1,0,6,59.95,,,232,11110,19
34,,1999,,,2012,창신동,"23,000",두산,1,0,9,59.95,,,232,11110,5
35,,1992,,,2012,창신동,"17,000",창신쌍용1,1,0,13,54.7,,,702,11110,14
36,,1993,,,2012,창신동,"20,000",창신쌍용2,1,0,16,79.87,,,703,11110,8
37,,1999,,,2012,창신동,"5,000",두산,1,110,16,59.95,,,232,11110,3
38,,1992,,,2012,창신동,"18,500",창신쌍용1,1,0,17,54.7,,,702,11110,7
39,,1992,,,2012,창신동,"23,000",창신쌍용1,1,0,17,106.62,,,702,11110,7
40,,1999,,,2012,창신동,"25,000",두산,1,0,19,59.95,,,232,11110,7
41,,1973,,,2012,창신동,"13,000",동대문맨션,1,0,20,83.83,,,578-5,11110,8
42,,1992,,,2012,창신동,"3,000",창신쌍용1,1,100,26,79.87,,,702,11110,10
43,,2002,,,2012,창신동,"12,000",MID그린(2동),1,0,26,54.72,,,601-1,11110,3
44,,2006,,,2012,창신동,"26,000",브라운스톤창신,1,0,27,84.67,,,23-76,11110,12
45,,1968,,,2012,창신동,"6,000",동대문,1,0,28,28.8,,,328-17,11110,3
46,,2009,,,2012,숭인동,"36,000",종로청계힐스테이트,1,0,16,114.7153,,,766,11110,10
47,,2008,,,2012,숭인동,"8,000",종로센트레빌,1,110,16,84.92,,,2-1,11110,9
48,,2009,,,2012,숭인동,"21,000",종로청계힐스테이트,1,30,18,59.9426,,,766,11110,3
49,,2008,,,2012,숭인동,"22,000",종로센트레빌,1,0,20,59.92,,,2-1,11110,1
50,,2008,,,2012,숭인동,"26,000",종로센트레빌,1,0,29,84.92,,,2-1,11110,11
51,,2008,,,2012,숭인동,"22,500",종로센트레빌,1,0,29,59.92,,,2-1,11110,2
52,,1998,,,2012,평창동,"5,000",삼성,1,130,14,84.93,,,596,11110,12
53,,1998,,,2012,신영동,"17,000",대아파크빌,1,0,27,59.22,,,254,11110,13
54,,1998,,,2012,신영동,"15,000",대아파크빌,1,0,30,59.22,,,254,11110,4
55,,2008,,,2012,무악동,"40,000",인왕산아이파크,1,0,2,84.858,,,60,11110,10
56,,2000,,,2012,무악동,"24,000",현대,1,0,7,60,,,82,11110,6
57,,2008,,,2012,무악동,"25,000",인왕산아이파크,1,60,7,84.858,,,60,11110,4
58,,2008,,,2012,무악동,"39,000",인왕산아이파크,1,0,7,84.858,,,60,11110,14
59,,2008,,,2012,무악동,"39,000",인왕산아이파크,1,0,9,84.858,,,60,11110,8
60,,2008,,,2012,무악동,"40,000",인왕산아이파크,1,0,9,84.858,,,60,11110,2
61,,2008,,,2012,무악동,"39,500",인왕산아이파크,1,0,9,84.858,,,60,11110,11
62,,2000,,,2012,무악동,"39,000",현대,1,0,10,114.9,,,82,11110,13
63,,2008,,,2012,무악동,"32,000",인왕산아이파크,1,0,12,59.993,,,60,11110,7
64,,2000,,,2012,무악동,"12,000",현대,1,90,13,84.92,,,82,11110,11
65,,2008,,,2012,무악동,"50,000",인왕산아이파크,1,0,13,114.931,,,60,11110,3
66,,2008,,,2012,무악동,"38,000",인왕산아이파크,1,0,13,84.858,,,60,11110,5
67,,2008,,,2012,무악동,"6,000",인왕산아이파크,1,150,13,84.858,,,60,11110,12
68,,2008,,,2012,무악동,"36,000",인왕산아이파크,1,0,14,84.858,,,60,11110,7
69,,2008,,,2012,무악동,"6,000",인왕산아이파크,1,170,14,84.858,,,60,11110,15
70,,2000,,,2012,무악동,"25,000",현대,1,0,14,84.92,,,82,11110,2
71,,2000,,,2012,무악동,"40,000",현대,1,0,14,114.9,,,82,11110,16
72,,2000,,,2012,무악동,"18,000",현대,1,100,16,114.9,,,82,11110,17
73,,2008,,,2012,무악동,"35,000",인왕산아이파크,1,0,16,84.858,,,60,11110,6
74,,2008,,,2012,무악동,"40,000",인왕산아이파크,1,0,16,84.858,,,60,11110,9
75,,2008,,,2012,무악동,"45,000",인왕산아이파크,1,0,18,114.931,,,60,11110,4
76,,2008,,,2012,무악동,"40,000",인왕산아이파크,1,0,18,84.858,,,60,11110,15
77,,2008,,,2012,무악동,"8,000",인왕산아이파크,1,150,19,84.858,,,60,11110,11
78,,2000,,,2012,무악동,"5,000",현대,1,140,21,84.92,,,82,11110,7
79,,2000,,,2012,무악동,"33,000",현대,1,0,21,84.92,,,82,11110,4
80,,2008,,,2012,무악동,"18,000",인왕산아이파크,1,100,25,84.858,,,60,11110,10
81,,2000,,,2012,무악동,"39,000",현대,1,0,26,114.9,,,82,11110,11
82,,2008,,,2012,무악동,"25,000",인왕산아이파크,1,50,26,84.858,,,60,11110,1
83,,2008,,,2012,무악동,"39,000",인왕산아이파크,1,0,27,84.858,,,60,11110,9
84,,2008,,,2012,무악동,"36,500",인왕산아이파크,1,0,27,84.858,,,60,11110,3
85,,2008,,,2012,무악동,"23,000",인왕산아이파크,1,50,27,59.993,,,60,11110,7
86,,2008,,,2012,무악동,"40,000",인왕산아이파크,1,0,28,84.858,,,60,11110,15
87,,2000,,,2012,무악동,"33,000",현대,1,0,28,114.9,,,82,11110,2
0,,1999,,,2012,통인동,"13,000",효자,2,0,11,68.07,,,5-1,11110,3
1,,2008,,,2012,사직동,"60,000",광화문스페이스본(101동~105동),2,0,1,151.81,,,9,11110,9
2,,2008,,,2012,사직동,"50,000",광화문스페이스본(101동~105동),2,0,2,108.55,,,9,11110,1
3,,2008,,,2012,사직동,"60,000",광화문스페이스본(101동~105동),2,0,3,151.81,,,9,11110,4
4,,2008,,,2012,사직동,"5,000",광화문스페이스본(101동~105동),2,240,4,94.51,,,9,11110,4
5,,2008,,,2012,사직동,"40,000",광화문스페이스본(101동~105동),2,50,4,108.55,,,9,11110,8
6,,2008,,,2012,사직동,"60,000",광화문스페이스본(101동~105동),2,0,8,160.85,,,9,11110,6
7,,2008,,,2012,사직동,"35,000",광화문스페이스본(101동~105동),2,0,8,70.8,,,9,11110,12
8,,2008,,,2012,사직동,"38,000",광화문스페이스본(101동~105동),2,50,9,94.28,,,9,11110,7
9,,2008,,,2012,사직동,"60,000",광화문스페이스본(101동~105동),2,0,10,147.31,,,9,11110,1
10,,2008,,,2012,사직동,"59,000",광화문스페이스본(101동~105동),2,0,11,151.81,,,9,11110,7
11,,2008,,,2012,사직동,"58,000",광화문스페이스본(101동~105동),2,0,20,146.92,,,9,11110,6
12,,2008,,,2012,사직동,"43,000",광화문스페이스본(101동~105동),2,0,21,94.51,,,9,11110,4
13,,2008,,,2012,사직동,"45,000",광화문스페이스본(101동~105동),2,0,21,94.51,,,9,11110,7
14,,2008,,,2012,사직동,0,광화문스페이스본(101동~105동),2,310,23,158.99,,,9,11110,10
15,,2008,,,2012,사직동,"45,000",광화문스페이스본(101동~105동),2,0,26,94.51,,,9,11110,2
16,,1983,,,2012,당주동,"25,000",세종,2,0,6,105.64,,,100,11110,6
17,,2004,,,2012,내수동,"55,000",경희궁의아침3단지,2,0,3,123.13,,,72,11110,16
18,,2004,,,2012,내수동,"5,000",경희궁의아침3단지,2,320,21,149,,,72,11110,11
19,,2003,,,2012,익선동,"5,000",현대뜨레비앙,2,90,13,58.78,,,55,11110,2
20,,2003,,,2012,익선동,"12,000",현대뜨레비앙,2,0,14,48.54,,,55,11110,7
21,,2003,,,2012,익선동,"13,000",현대뜨레비앙,2,0,27,43.98,,,55,11110,8
22,,1998,,,2012,익선동,"20,000",운현신화타워,2,30,29,84.26,,,30-6,11110,11
23,,1968,,,2012,낙원동,"15,000",낙원,2,0,13,65.92,,,288,11110,7
24,,2006,,,2012,인의동,"20,000",효성쥬얼리시티,2,150,1,141.04,,,48-2,11110,19
25,,2006,,,2012,인의동,"32,000",효성쥬얼리시티,2,0,3,98.39,,,48-2,11110,17
26,,2006,,,2012,인의동,"22,000",효성쥬얼리시티,2,0,9,84.7,,,48-2,11110,18
27,,2006,,,2012,인의동,"28,000",효성쥬얼리시티,2,0,10,84.98,,,48-2,11110,8
28,,2006,,,2012,인의동,"30,000",효성쥬얼리시티,2,0,17,92.81,,,48-2,11110,17
29,,2006,,,2012,인의동,"3,000",효성쥬얼리시티,2,200,22,106.81,,,48-2,11110,13
30,,2006,,,2012,인의동,"25,000",효성쥬얼리시티,2,0,25,84.7,,,48-2,11110,7
31,,2011,,,2012,충신동,"5,000",CS타워,2,0,1,21.94,,,62-2,11110,10
32,,1999,,,2012,동숭동,"15,000",동성아파트(2동),2,0,24,59.58,,,4-157,11110,4
33,,1995,,,2012,명륜2가,"25,000",아남1,2,50,4,84.9,,,4,11110,9
34,,1995,,,2012,명륜2가,"10,000",아남1,2,135,8,84.9,,,4,11110,17
35,,1999,,,2012,명륜2가,"4,000",아남3,2,100,10,47.43,,,237,11110,4
36,,1995,,,2012,명륜2가,"32,000",아남1,2,0,11,84.9,,,4,11110,13
37,,1995,,,2012,명륜2가,"30,000",아남1,2,0,13,84.8,,,4,11110,16
38,,1995,,,2012,명륜2가,"27,000",아남1,2,0,13,84.9,,,4,11110,16
39,,1995,,,2012,명륜2가,"33,000",아남1,2,0,15,84.8,,,4,11110,10
40,,1999,,,2012,명륜2가,"19,000",아남3,2,0,18,44.37,,,237,11110,8
41,,1995,,,2012,명륜2가,"31,000",아남1,2,0,18,84.8,,,4,11110,1
42,,1995,,,2012,명륜2가,"32,000",아남1,2,0,20,84.9,,,4,11110,1
43,,1999,,,2012,명륜2가,"7,000",아남3,2,55,20,44.37,,,237,11110,8
44,,1996,,,2012,명륜2가,"27,000",아남2,2,0,22,59.4,,,236,11110,8
45,,1995,,,2012,명륜2가,"35,000",아남1,2,0,24,84.9,,,4,11110,6
46,,1999,,,2012,명륜2가,"27,000",아남3,2,0,27,61.13,,,237,11110,4
47,,1995,,,2012,명륜2가,"30,000",아남1,2,0,28,84.8,,,4,11110,2
48,,1996,,,2012,명륜2가,"30,000",아남2,2,0,28,84.96,,,236,11110,6
49,,1995,,,2012,명륜2가,"38,000",아남1,2,0,29,84.9,,,4,11110,19
50,,1999,,,2012,명륜2가,"10,000",아남3,2,100,29,65.78,,,237,11110,2
51,,1992,,,2012,창신동,"17,500",창신쌍용1,2,0,3,54.7,,,702,11110,7
52,,1992,,,2012,창신동,"19,000",창신쌍용1,2,0,4,79.87,,,702,11110,7
53,,1968,,,2012,창신동,500,동대문,2,50,6,28.8,,,328-17,11110,4
54,,1993,,,2012,창신동,"17,500",창신쌍용2,2,0,7,64.66,,,703,11110,4
55,,1992,,,2012,창신동,"23,000",창신쌍용1,2,0,7,79.87,,,702,11110,10
56,,2002,,,2012,창신동,"10,000",MID그린(2동),2,0,9,54.72,,,601-1,11110,1
57,,2003,,,2012,창신동,"26,000",창신이수,2,0,11,84.5,,,23-816,11110,13
58,,1992,,,2012,창신동,"18,500",창신쌍용1,2,0,18,54.7,,,702,11110,9
59,,1992,,,2012,창신동,"23,000",창신쌍용1,2,0,20,106.62,,,702,11110,13
60,,1999,,,2012,창신동,"28,500",두산,2,0,21,84.9,,,232,11110,13
