,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1998,,,2012,영주동,"13,000",동아(160-0),1,0,13,84.72,,,160,26110,1
1,,1981,,,2012,대청동4가,"13,000",새들맨션,1,0,29,84.13,,,79-1,26110,9
0,,1998,,,2012,영주동,"14,000",동아(160-0),2,0,17,84.72,,,160,26110,7
1,,1998,,,2012,영주동,"9,000",동아(92-0),2,0,20,59.94,,,92,26110,1
2,,1998,,,2012,영주동,"2,000",동아(160-0),2,50,21,57.09,,,160,26110,14
3,,1997,,,2012,영주동,"14,000",금호,2,0,23,84.59,,,161,26110,10
4,,1997,,,2012,영주동,"11,000",금호,2,0,27,59.75,,,161,26110,16
0,,1983,,,2012,영주동,"10,000",동주파크,3,0,20,77.83,,,106-9,26110,3
1,,2002,,,2012,동광동5가,"3,800",미래원룸,3,0,13,21.86,,,3-41,26110,3
2,,1994,,,2012,보수동2가,500,노블레스힐,3,40,6,28.77,,,118-3,26110,7
3,,1994,,,2012,보수동2가,500,노블레스힐,3,35,15,24.79,,,118-3,26110,9
4,,1976,,,2012,보수동2가,"6,500",흑교,3,0,29,63.14,,,38-1,26110,2
5,,2012,,,2012,부평동4가,"20,000",백운집시티타워,3,0,19,84.99,,,42-1,26110,2
0,,1998,,,2012,영주동,"10,500",동아(92-0),4,0,6,59.57,,,92,26110,8
1,,1998,,,2012,영주동,"14,000",동아(160-0),4,0,12,84.72,,,160,26110,14
2,,1997,,,2012,영주동,"2,000",금호,4,65,21,84.86,,,161,26110,9
3,,1981,,,2012,동광동5가,"11,000",대동맨션,4,0,23,82.35,,,16-11,26110,8
4,,2002,,,2012,동광동5가,"1,000",미래원룸,4,30,29,20.9,,,3-41,26110,5
5,,1979,,,2012,대청동4가,"4,500",대청맨션,4,0,11,49.65,,,81-48,26110,1
6,,1994,,,2012,보수동2가,"1,000",노블레스힐,4,30,2,24.79,,,118-3,26110,6
7,,1977,,,2012,부평동2가,800,국제,4,35,23,55.78,,,35-1,26110,3
8,,1977,,,2012,부평동2가,800,국제,4,25,26,41.29,,,35-1,26110,3
9,,2012,,,2012,부평동4가,"18,000",예그린,4,0,28,84.77,,,2-9,26110,5
0,,1998,,,2012,영주동,"6,500",동아(160-0),5,30,10,57.09,,,160,26110,11
1,,1997,,,2012,영주동,"14,500",금호,5,0,29,84.86,,,161,26110,8
2,,2005,,,2012,영주동,"14,500",도경오벨리스,5,0,31,84.92,,,587,26110,4
3,,1972,,,2012,대창동1가,"1,000",부원,5,30,1,45.95,,,54-67,26110,8
4,,2004,,,2012,보수동1가,"13,000",그린빌,5,0,4,84.8,,,24-2,26110,10
5,,1975,,,2012,부평동2가,"1,700",금성,5,26,20,34.38,,,47-6,26110,3
6,,2012,,,2012,부평동4가,"2,000",백운집시티타워,5,30,14,29.37,,,42-1,26110,4
0,,1983,,,2012,영주동,"14,000",동주파크,6,0,1,84.98,,,106-9,26110,2
1,,1997,,,2012,영주동,"15,000",금호,6,0,7,84.59,,,161,26110,11
2,,2006,,,2012,영주동,"8,000",우남이채롬,6,30,7,59.5022,,,5,26110,9
3,,1998,,,2012,영주동,"6,500",동아(160-0),6,0,15,57.09,,,160,26110,11
4,,1998,,,2012,영주동,"11,000",동아(92-0),6,0,22,59.57,,,92,26110,16
5,,2012,,,2012,대청동2가,"8,000",그린시티,6,0,11,40.275,,,19-2,26110,2
6,,1997,,,2012,부평동2가,"15,000",월드밸리,6,0,4,114.09,,,2,26110,14
0,,1997,,,2012,영주동,"15,000",금호,7,0,18,84.59,,,161,26110,1
1,,1972,,,2012,대창동1가,"3,000",부원,7,20,8,49.59,,,54-67,26110,8
2,,1994,,,2012,보수동2가,"1,500",노블레스힐,7,25,14,24.79,,,118-3,26110,6
3,,2003,,,2012,보수동3가,"14,000",7차청탑그린빌라,7,0,31,82.76,,,29-17,26110,4
4,,2002,,,2012,부평동4가,"14,000",향원부평타워,7,0,17,70.71,,,45,26110,14
0,,1988,,,2012,영주동,"3,000",동남파크,8,25,30,49.98,,,1-92,26110,6
1,,2002,,,2012,부평동4가,"15,000",향원부평타워,8,0,10,84.19,,,45,26110,11
0,,2005,,,2012,영주동,"17,000",도경오벨리스,9,0,3,84.97,,,587,26110,4
1,,2006,,,2012,영주동,"8,000",우남이채롬,9,0,4,59.5022,,,5,26110,4
2,,1998,,,2012,영주동,"15,000",동아(92-0),9,0,21,77.5,,,92,26110,3
3,,1994,,,2012,보수동2가,"4,500",노블레스힐,9,0,18,32.6,,,118-3,26110,8
0,,1997,,,2012,영주동,"10,000",금호,10,0,3,59,,,161,26110,6
1,,1998,,,2012,영주동,"15,000",동아(160-0),10,0,18,84.72,,,160,26110,4
2,,2006,,,2012,영주동,"17,000",우남이채롬,10,0,19,84.347,,,5,26110,1
3,,1976,,,2012,영주동,"3,500",은하아파트,10,0,26,49.59,,,91-1,26110,4
4,,1998,,,2012,영주동,"9,000",동아(92-0),10,0,27,59.57,,,92,26110,1
5,,1998,,,2012,영주동,"4,700",동아(92-0),10,30,31,59.94,,,92,26110,11
6,,1981,,,2012,동광동5가,"7,500",대동맨션,10,0,5,57.59,,,16-11,26110,6
7,,1994,,,2012,보수동2가,"1,500",노블레스힐,10,25,11,24.79,,,118-3,26110,5
8,,1994,,,2012,보수동2가,"1,000",노블레스힐,10,30,14,28.03,,,118-3,26110,10
9,,2011,,,2012,보수동2가,"1,000",대성아르빌,10,50,15,33.08,,,118-8,26110,3
10,,1994,,,2012,보수동2가,"2,500",노블레스힐,10,15,15,24.79,,,118-3,26110,10
0,,1998,,,2012,영주동,"12,000",동아(92-0),11,0,3,76.86,,,92,26110,13
1,,1998,,,2012,영주동,"14,000",동아(160-0),11,0,27,84.72,,,160,26110,10
2,,1972,,,2012,대창동1가,"7,000",부원,11,0,9,66.12,,,54-67,26110,3
3,,1981,,,2012,동광동5가,"2,000",대동맨션,11,50,20,63.07,,,16-11,26110,8
4,,2004,,,2012,보수동1가,"13,000",그린빌,11,0,29,84.8,,,24-2,26110,10
5,,1994,,,2012,보수동2가,500,노블레스힐,11,35,25,24.79,,,118-3,26110,5
6,,1997,,,2012,부평동2가,"16,500",월드밸리,11,0,5,68.2,,,2,26110,13
0,,1997,,,2012,영주동,"15,000",금호,12,0,1,84.59,,,161,26110,14
1,,1984,,,2012,영주동,"10,000",흥아거북,12,0,24,83.97,,,450-25,26110,4
2,,1981,,,2012,동광동5가,"10,000",대동맨션,12,0,7,82.35,,,16-11,26110,6
3,,1976,,,2012,보수동2가,"7,500",흑교,12,0,1,50.58,,,38-1,26110,1
4,,1994,,,2012,보수동2가,"1,500",노블레스힐,12,25,2,31.25,,,118-3,26110,4
5,,1994,,,2012,보수동2가,"3,500",노블레스힐,12,0,22,24.79,,,118-3,26110,8
6,,1994,,,2012,보수동2가,500,노블레스힐,12,33,29,28.77,,,118-3,26110,6
0,,1998,,,2013,영주동,"10,000",동아(160-0),1,0,19,57.09,,,160,26110,1
1,,1998,,,2013,영주동,"9,000",동아(160-0),1,0,23,57.09,,,160,26110,3
0,,1981,,,2013,동광동5가,"7,000",대동맨션,2,0,20,57.59,,,16-11,26110,10
1,,1994,,,2013,보수동1가,"6,000",대림에이스타운,2,40,21,59.88,,,41-1,26110,8
2,,1994,,,2013,보수동2가,500,노블레스힐,2,35,1,24.79,,,118-3,26110,6
3,,1994,,,2013,보수동2가,"1,000",노블레스힐,2,25,14,24.79,,,118-3,26110,8
4,,1994,,,2013,보수동2가,500,노블레스힐,2,33,28,28.77,,,118-3,26110,5
0,,1998,,,2013,영주동,"9,000",동아(160-0),3,0,8,57.09,,,160,26110,2
1,,1998,,,2013,영주동,"12,000",동아(160-0),3,0,14,57.09,,,160,26110,16
2,,1998,,,2013,영주동,"10,000",동아(92-0),3,0,18,59.57,,,92,26110,11
3,,2006,,,2013,영주동,"10,000",우남이채롬,3,0,21,59.5862,,,5,26110,8
4,,1979,,,2013,영주동,"8,000",한성,3,0,25,71.47,,,285-3,26110,4
5,,1997,,,2013,영주동,"10,000",금호,3,0,27,59.75,,,161,26110,8
0,,1997,,,2013,영주동,"15,000",금호,4,0,18,84.59,,,161,26110,6
1,,1998,,,2013,영주동,"5,000",동아(92-0),4,35,22,59.57,,,92,26110,5
2,,1981,,,2013,동광동5가,"7,500",대동맨션,4,0,1,63.07,,,16-11,26110,8
3,,1981,,,2013,동광동5가,"9,000",대동맨션,4,0,15,63.07,,,16-11,26110,9
