,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1976,,,2012,동대신동2가,"16,000",삼익,1,0,6,88.2,,,313,26140,5
1,,1976,,,2012,동대신동2가,"17,000",삼익,1,0,9,88.2,,,313,26140,1
2,,1976,,,2012,동대신동2가,"17,000",삼익,1,0,27,88.2,,,313,26140,2
3,,2011,,,2012,동대신동3가,"1,000",한울시너스,1,34,2,12.52,,,350-6,26140,5
4,,2011,,,2012,동대신동3가,500,한울시너스,1,39,3,12.52,,,350-6,26140,3
5,,2011,,,2012,동대신동3가,500,한울시너스,1,39,5,12.335,,,350-6,26140,4
6,,2011,,,2012,동대신동3가,500,한울시너스,1,39,11,12.52,,,350-6,26140,3
7,,2011,,,2012,동대신동3가,"1,000",한울시너스,1,34,11,12.52,,,350-6,26140,5
8,,2011,,,2012,동대신동3가,500,한울시너스,1,39,18,12.58,,,350-6,26140,3
9,,2011,,,2012,동대신동3가,"4,000",한울시너스,1,4,24,12.52,,,350-6,26140,4
10,,2011,,,2012,동대신동3가,"2,000",한울시너스,1,24,25,12.52,,,350-6,26140,4
11,,2011,,,2012,동대신동3가,"4,000",한울시너스,1,4,29,12.975,,,350-6,26140,5
12,,2011,,,2012,동대신동3가,"1,900",한울시너스,1,25,31,12.335,,,350-6,26140,5
13,,2003,,,2012,서대신동1가,"5,000",영촌아트빌,1,0,21,22.05,,,34-15,26140,3
14,,2010,,,2012,서대신동1가,"5,000",리치W도시형생활주택,1,0,29,19.9084,,,33-3,26140,4
15,,2010,,,2012,서대신동1가,500,리치W도시형생활주택,1,38,29,14.5241,,,33-3,26140,6
16,,2010,,,2012,서대신동1가,"1,000",리치W도시형생활주택,1,33,29,14.5241,,,33-3,26140,7
17,,1993,,,2012,서대신동2가,"12,000",자유,1,0,9,84.22,,,473-2,26140,2
18,,2011,,,2012,서대신동3가,"12,000",태경시티빌,1,30,17,72.97,,,449-2,26140,5
19,,1998,,,2012,서대신동3가,"18,000",대림e편한세상,1,0,31,84.87,,,19-9,26140,10
20,,2004,,,2012,부민동3가,"18,000",부민e편한세상,1,0,19,85,,,76,26140,5
21,,2011,,,2012,토성동3가,"1,000",자성빌리지,1,47,2,16.2,,,5-8,26140,3
22,,2011,,,2012,아미동1가,"5,000",리더스빌,1,0,8,17.46,,,24-1,26140,4
23,,2003,,,2012,토성동5가,"4,500",아크로폴리스,1,0,9,30.66,,,46-1,26140,6
24,,2003,,,2012,토성동5가,"5,000",아크로폴리스,1,0,18,35,,,46-1,26140,4
25,,2003,,,2012,토성동5가,"1,000",아크로폴리스,1,26,25,25.44,,,46-1,26140,6
26,,1989,,,2012,암남동,"11,000",신익별장,1,0,11,84.78,,,81-19,26140,2
27,,1992,,,2012,암남동,"10,000",송도현대,1,0,16,84.865,,,611-5,26140,5
