,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2006,,,2012,초량동,"19,000",반도보라스카이뷰,1,0,16,84.795,,,1155,26170,31
1,,2002,,,2012,좌천동,"9,000",주원쉐르빌,1,0,27,64.16,,,808-76,26170,1
2,,1978,,,2012,범일동,"3,000",한양아파트,1,65,10,98.68,,,830-90,26170,14
3,,2006,,,2012,범일동,"23,000",두산위브포세이돈2,1,0,12,127.05,,,825-7,26170,4
4,,2006,,,2012,범일동,"25,000",두산위브포세이돈2,1,0,17,150.59,,,825-7,26170,23
5,,1978,,,2012,범일동,"10,000",한양아파트,1,0,18,64.23,,,830-90,26170,2
6,,1997,,,2012,범일동,"14,000",한성기린,1,0,21,84.21,,,62-720,26170,9
7,,1978,,,2012,범일동,"7,000",삼익,1,30,26,82.61,,,830-100,26170,14
0,,2006,,,2012,초량동,"20,000",반도보라스카이뷰,2,0,8,84.795,,,1155,26170,14
1,,2003,,,2012,초량동,500,초량위드빌,2,35,29,27.25,,,1057-57,26170,1
2,,1962,,,2012,수정동,600,수정(1175-1),2,8,1,36.36,,,1175-1,26170,5
3,,2006,,,2012,좌천동,"16,000",두산위브범일뉴타운,2,0,9,84.9959,,,1168,26170,3
4,,1978,,,2012,범일동,"3,000",한양아파트,2,60,2,72.5,,,830-90,26170,13
5,,1978,,,2012,범일동,"12,000",삼익,2,0,3,82.61,,,830-100,26170,7
6,,2011,,,2012,범일동,"2,500",예그리나,2,22,5,15.83,,,156,26170,5
7,,2006,,,2012,범일동,"21,000",두산위브포세이돈2,2,0,5,150.59,,,825-7,26170,4
8,,2006,,,2012,범일동,"28,000",두산위브포세이돈2,2,0,10,150.59,,,825-7,26170,42
9,,2010,,,2012,범일동,"5,000",진흥마제스타워범일,2,100,11,120.995,,,830-296,26170,24
10,,1978,,,2012,범일동,"13,000",한양아파트,2,0,14,64.23,,,830-90,26170,8
11,,1978,,,2012,범일동,"8,000",한양아파트,2,0,14,74.18,,,830-90,26170,13
12,,2010,,,2012,범일동,"21,000",진흥마제스타워범일,2,0,18,84.838,,,830-296,26170,31
13,,2010,,,2012,범일동,"20,000",진흥마제스타워범일,2,0,20,84.838,,,830-296,26170,39
14,,2010,,,2012,범일동,"2,000",진흥마제스타워범일,2,90,20,84.838,,,830-296,26170,17
15,,2006,,,2012,범일동,"23,000",두산위브포세이돈2,2,0,21,127.05,,,825-7,26170,9
16,,1997,,,2012,범일동,"11,500",한성기린,2,0,21,60,,,62-720,26170,5
17,,1978,,,2012,범일동,"14,000",한양아파트,2,0,21,98.68,,,830-90,26170,11
18,,2006,,,2012,범일동,"25,000",두산위브포세이돈2,2,0,22,150.59,,,825-7,26170,23
19,,2010,,,2012,범일동,"22,000",진흥마제스타워범일,2,0,22,120.995,,,830-296,26170,7
20,,2006,,,2012,범일동,"18,500",두산위브포세이돈2,2,0,24,84.99,,,825-7,26170,11
21,,1978,,,2012,범일동,"3,000",삼익,2,60,27,82.61,,,830-100,26170,3
0,,2006,,,2012,초량동,"11,000",반도보라스카이뷰,3,40,15,75.585,,,1155,26170,32
1,,2006,,,2012,초량동,"14,500",반도보라스카이뷰,3,0,15,46.265,,,1155,26170,32
2,,1976,,,2012,초량동,"6,500",신우,3,0,27,58.18,,,1143-15,26170,2
3,,1977,,,2012,초량동,"5,000",고관맨션,3,0,30,68.06,,,1143-8,26170,5
4,,2001,,,2012,수정동,"7,000",아르미나아파트,3,25,30,58.66,,,1048-35,26170,17
