,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2002,,,2012,이천동,"13,000",이천주공2단지,1,0,2,84.84,,,551-1,27200,13
1,,2006,,,2012,이천동,"12,000",교대역월드메르디앙,1,0,5,59.6488,,,452,27200,11
2,,2006,,,2012,이천동,"14,000",교대역월드메르디앙,1,0,7,84.6116,,,452,27200,8
3,,1999,,,2012,이천동,"1,000",대구이천주공1,1,60,9,59.81,,,121-70,27200,13
4,,1994,,,2012,이천동,"9,500",강변타운,1,0,14,59.85,,,214-456,27200,15
5,,1994,,,2012,이천동,"7,500",강변타운,1,0,16,52.23,,,214-456,27200,1
6,,2006,,,2012,이천동,"13,000",희망교대성유니드,1,0,17,75.7546,,,361-16,27200,13
7,,2006,,,2012,이천동,"14,000",희망교대성유니드,1,0,18,75.7546,,,361-16,27200,2
8,,2006,,,2012,이천동,"15,000",희망교대성유니드,1,0,31,84.9613,,,361-16,27200,1
9,,1982,,,2012,봉덕동,"5,000",미리내,1,70,9,169.94,,,산89-3,27200,2
10,,2004,,,2012,봉덕동,"9,000",그랜드타운,1,0,10,78.01,,,1319-27,27200,10
11,,2012,,,2012,봉덕동,"1,800",강변효성백년가약,1,85,11,84.9336,,,1635,27200,7
12,,1988,,,2012,봉덕동,"13,500",효성타운1차,1,0,12,108.38,,,1071,27200,10
13,,2008,,,2012,봉덕동,"11,429",강변코오롱하늘채,1,0,16,84.993,,,862,27200,4
14,,2008,,,2012,봉덕동,"11,429",강변코오롱하늘채,1,0,16,84.9627,,,862,27200,2
15,,2012,,,2012,봉덕동,"8,000",강변효성백년가약,1,50,17,84.9336,,,1635,27200,10
16,,2012,,,2012,봉덕동,"8,000",강변효성백년가약,1,50,17,84.9336,,,1635,27200,10
17,,2010,,,2012,봉덕동,"25,000",래미안웰리스트,1,0,19,137.1466,,,1631,27200,3
18,,1990,,,2012,봉덕동,"12,000",대덕1차,1,0,20,84.87,,,1329-2,27200,15
19,,1990,,,2012,봉덕동,"10,000",대덕1차,1,0,20,84.87,,,1329-2,27200,1
20,,2012,,,2012,봉덕동,"5,000",강변효성백년가약,1,60,20,84.9336,,,1635,27200,18
21,,2008,,,2012,봉덕동,"25,000",앞산힐스테이트,1,0,25,151.2683,,,1630,27200,21
22,,1991,,,2012,봉덕동,"15,000",대덕2차,1,0,26,113.09,,,1329-1,27200,7
23,,1988,,,2012,봉덕동,"16,000",효성타운1차,1,0,29,167.47,,,1071,27200,11
24,,1981,,,2012,대명동,"1,000",우방코스모스,1,50,2,73.427,,,1111,27200,5
25,,1989,,,2012,대명동,"8,000",삼정비취(1598-8),1,0,2,84.885,,,1598-8,27200,5
26,,1981,,,2012,대명동,"6,500",우방코스모스,1,0,3,63.147,,,1111,27200,4
27,,1981,,,2012,대명동,"2,000",파크맨션,1,25,6,52.24,,,1633,27200,1
28,,1980,,,2012,대명동,500,파크맨션,1,40,9,61.78,,,1633,27200,9
29,,1981,,,2012,대명동,"1,000",우방코스모스,1,40,13,63.147,,,1111,27200,4
30,,1998,,,2012,대명동,"12,000",보성청록타운,1,0,13,84.99,,,2680-17,27200,6
31,,1982,,,2012,대명동,500,파크맨션,1,45,19,56.88,,,1633,27200,4
32,,1980,,,2012,대명동,"4,000",동아,1,0,25,52.515,,,3008-4,27200,4
33,,1979,,,2012,대명동,"5,000",정우맨션,1,30,26,109.02,,,629-1,27200,5
0,,2006,,,2012,이천동,"15,500",교대역월드메르디앙,2,0,4,84.6116,,,452,27200,14
1,,2006,,,2012,이천동,"2,000",교대역월드메르디앙,2,70,4,59.6488,,,452,27200,11
2,,2006,,,2012,이천동,"16,500",교대역월드메르디앙,2,0,6,84.6116,,,452,27200,3
3,,2006,,,2012,이천동,"18,000",교대역월드메르디앙,2,0,7,84.6116,,,452,27200,5
4,,1994,,,2012,이천동,"10,500",강변타운,2,0,8,59.85,,,214-456,27200,3
5,,2006,,,2012,이천동,"3,000",교대역월드메르디앙,2,80,14,84.6116,,,452,27200,9
6,,1994,,,2012,이천동,"1,000",강변타운,2,55,18,59.85,,,214-456,27200,10
7,,2006,,,2012,이천동,"13,500",이천뜨란채3단지,2,0,23,59.64,,,243-1,27200,10
8,,1987,,,2012,이천동,"3,000",보성상아맨션,2,50,24,84.735,,,650,27200,8
9,,2008,,,2012,봉덕동,"11,429",강변코오롱하늘채,2,0,6,84.993,,,862,27200,5
10,,1984,,,2012,봉덕동,"6,000",앞산보성,2,0,7,66.69,,,1329,27200,5
11,,2012,,,2012,봉덕동,"18,000",강변효성백년가약,2,0,14,84.93,,,1635,27200,5
12,,2012,,,2012,봉덕동,"14,000",강변효성백년가약,2,0,20,84.9336,,,1635,27200,3
13,,1984,,,2012,봉덕동,"8,000",앞산보성,2,0,21,84.96,,,1329,27200,5
14,,1989,,,2012,봉덕동,"16,000",효성타운2차,2,0,21,167.47,,,1141,27200,3
15,,1991,,,2012,봉덕동,"15,000",대덕2차,2,0,22,134.705,,,1329-1,27200,15
16,,1995,,,2012,봉덕동,"1,000",태성맨션,2,50,22,59.76,,,1361-1,27200,8
17,,2010,,,2012,봉덕동,"27,000",래미안웰리스트,2,0,24,138.3426,,,1631,27200,16
18,,1995,,,2012,봉덕동,"13,000",태성맨션,2,0,26,134.41,,,1361-1,27200,10
19,,1982,,,2012,봉덕동,"14,000",미리내,2,0,26,169.94,,,산89-3,27200,3
20,,1997,,,2012,대명동,"6,000",세광,2,40,1,84.9,,,329-13,27200,18
21,,1980,,,2012,대명동,"8,000",개나리맨션,2,0,2,59.8,,,1635,27200,6
22,,1982,,,2012,대명동,"6,500",파크맨션,2,0,3,56.88,,,1633,27200,8
23,,1981,,,2012,대명동,"6,500",파크맨션,2,0,4,52.24,,,1633,27200,11
24,,2003,,,2012,대명동,"1,500",현대까멜리아,2,70,6,84.78,,,2297-2,27200,12
25,,1983,,,2012,대명동,"7,500",우방뉴-코스모스,2,0,8,69.12,,,1210-8,27200,1
26,,1992,,,2012,대명동,"9,000",동아대덕,2,0,11,84.96,,,1220-24,27200,2
27,,1998,,,2012,대명동,"1,000",보성청록타운,2,63,11,84.99,,,2680-17,27200,10
28,,1979,,,2012,대명동,"7,000",새한(1701-2),2,0,13,73.19,,,1701-2,27200,2
29,,1979,,,2012,대명동,"7,000",동신점보,2,0,14,63.35,,,780-3,27200,9
30,,1980,,,2012,대명동,"6,000",신새한,2,0,20,58.14,,,1701-3,27200,4
31,,2003,,,2012,대명동,"9,000",현대까멜리아,2,0,22,84.72,,,2297-2,27200,7
32,,1981,,,2012,대명동,"1,000",우방코스모스,2,40,22,51.94,,,1111,27200,3
33,,1979,,,2012,대명동,"6,000",정우맨션,2,5,29,81.818,,,629-1,27200,7
34,,1981,,,2012,대명동,"6,500",파크맨션,2,0,29,52.24,,,1633,27200,4
0,,1999,,,2012,이천동,"8,000",대구이천주공1,3,0,1,49.61,,,121-70,27200,17
1,,2002,,,2012,이천동,"14,000",이천주공2단지,3,0,3,84.84,,,551-1,27200,9
2,,1994,,,2012,이천동,"10,000",강변타운,3,0,16,59.85,,,214-456,27200,6
3,,1994,,,2012,이천동,"1,000",강변타운,3,60,19,59.85,,,214-456,27200,14
4,,1999,,,2012,이천동,"11,000",대구이천주공1,3,0,20,59.96,,,121-70,27200,18
5,,1987,,,2012,이천동,"12,000",보성상아맨션,3,0,22,84.735,,,650,27200,10
6,,1994,,,2012,이천동,"8,400",강변타운,3,0,23,52.23,,,214-456,27200,7
7,,1987,,,2012,이천동,"12,000",보성상아맨션,3,0,26,130.47,,,650,27200,7
8,,1994,,,2012,이천동,"1,000",강변타운,3,60,27,59.85,,,214-456,27200,4
9,,1988,,,2012,봉덕동,"15,000",효성타운1차,3,0,4,130.17,,,1071,27200,2
