,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1999,,,2012,오정동,"10,000",양지마을,1,0,7,117.31,,,55-5,30230,1
1,,2007,,,2012,오정동,"12,500",평화로운,1,0,12,84.9645,,,587-1,30230,3
2,,1990,,,2012,오정동,"3,000",신동아,1,35,14,67.64,,,635-1,30230,4
3,,2007,,,2012,오정동,"2,000",평화로운,1,50,16,59.8851,,,587-1,30230,9
4,,1996,,,2012,오정동,"5,500",한남,1,0,27,59.67,,,464-1,30230,3
5,,1990,,,2012,오정동,"12,000",신동아,1,0,31,84.56,,,635-1,30230,8
6,,2001,,,2012,대화동,"3,900",두레,1,0,2,32.3658,,,31-36,30230,10
7,,1986,,,2012,대화동,"1,500",오광무지개,1,20,6,63.81,,,253,30230,3
8,,2001,,,2012,대화동,"4,200",두레,1,0,6,35.8818,,,31-36,30230,3
9,,2001,,,2012,대화동,"4,200",두레,1,0,12,35.8818,,,31-36,30230,10
10,,2001,,,2012,대화동,"3,500",두레,1,17,12,46.1031,,,31-36,30230,11
11,,2001,,,2012,대화동,"3,900",두레,1,0,14,32.3658,,,31-36,30230,10
12,,1986,,,2012,대화동,"4,500",장미,1,0,20,63.36,,,229-12,30230,1
13,,1987,,,2012,대화동,"1,000",세원풍남,1,37,30,73.515,,,16-5,30230,2
14,,1991,,,2012,읍내동,"8,500",현대,1,0,7,76.68,,,54,30230,14
15,,1991,,,2012,읍내동,"9,000",현대,1,0,11,84.96,,,54,30230,11
16,,1991,,,2012,읍내동,"1,500",현대,1,45,30,84.96,,,54,30230,13
17,,1987,,,2012,연축동,"2,000",연축주공,1,0,9,39.72,,,102,30230,4
18,,1987,,,2012,연축동,"2,500",연축주공,1,0,14,39.72,,,102,30230,5
19,,1987,,,2012,연축동,"1,500",연축주공,1,0,19,39.72,,,102,30230,1
20,,1987,,,2012,연축동,500,연축주공,1,20,27,47.1,,,102,30230,4
21,,1987,,,2012,연축동,"2,000",연축주공,1,0,31,39.72,,,102,30230,5
22,,1987,,,2012,신대동,"2,500",주공,1,0,3,39.72,,,179,30230,3
23,,1987,,,2012,신대동,"3,000",주공,1,0,8,47.1,,,179,30230,3
24,,1987,,,2012,신대동,"2,500",주공,1,0,30,47.1,,,179,30230,5
25,,1986,,,2012,와동,"4,000",와동주공,1,0,4,61.77,,,39,30230,2
26,,1994,,,2012,와동,"1,000",현대,1,40,9,59.76,,,111,30230,17
27,,1994,,,2012,와동,"8,500",현대,1,0,13,84.99,,,111,30230,14
28,,1994,,,2012,와동,"8,000",현대,1,0,20,59.76,,,111,30230,13
29,,1994,,,2012,와동,"9,000",현대,1,0,25,84.99,,,111,30230,14
30,,1986,,,2012,와동,"4,000",와동주공,1,0,29,53.85,,,39,30230,3
31,,1994,,,2012,와동,"8,000",현대,1,0,31,59.76,,,111,30230,4
32,,1999,,,2012,송촌동,"13,000",선비마을아파트2단지,1,0,2,59.82,,,444,30230,15
33,,1999,,,2012,송촌동,"15,000",선비마을5단지,1,0,2,84.88,,,494-1,30230,15
34,,1999,,,2012,송촌동,"12,000",선비마을3단지,1,0,2,59.82,,,461-1,30230,17
35,,1999,,,2012,송촌동,"10,000",선비마을5단지,1,0,3,59.96,,,494-1,30230,1
36,,1999,,,2012,송촌동,"12,000",선비마을3단지,1,0,3,59.94,,,461-1,30230,7
37,,1999,,,2012,송촌동,"14,000",선비마을4단지,1,0,5,59.61,,,462,30230,15
38,,1999,,,2012,송촌동,"13,000",선비마을5단지,1,0,7,59.96,,,494-1,30230,6
39,,1999,,,2012,송촌동,"16,000",선비마을아파트2단지,1,0,11,84.45,,,444,30230,18
40,,1999,,,2012,송촌동,"2,000",선비마을5단지,1,60,11,59.96,,,494-1,30230,13
41,,1999,,,2012,송촌동,"13,000",선비마을3단지,1,0,12,59.94,,,461-1,30230,2
42,,1999,,,2012,송촌동,"14,200",선비마을5단지,1,0,12,75.63,,,494-1,30230,13
43,,1999,,,2012,송촌동,"2,000",선비마을5단지,1,60,14,75.63,,,494-1,30230,8
44,,1999,,,2012,송촌동,"12,000",선비마을4단지,1,0,16,59.61,,,462,30230,7
45,,1999,,,2012,송촌동,"15,000",선비마을3단지,1,0,16,134.53,,,461-1,30230,4
46,,1999,,,2012,송촌동,"10,000",선비마을4단지,1,30,18,84.84,,,462,30230,19
47,,1999,,,2012,송촌동,"12,000",선비마을아파트2단지,1,0,18,59.82,,,444,30230,11
48,,1999,,,2012,송촌동,"12,000",선비마을아파트2단지,1,0,19,59.76,,,444,30230,16
49,,1999,,,2012,송촌동,"12,000",선비마을5단지,1,0,20,84.88,,,494-1,30230,2
50,,1999,,,2012,송촌동,"5,000",선비마을5단지,1,50,21,84.88,,,494-1,30230,6
51,,1999,,,2012,송촌동,"14,000",선비마을아파트2단지,1,0,21,84.45,,,444,30230,11
52,,1999,,,2012,송촌동,"18,000",선비마을4단지,1,0,25,84.91,,,462,30230,6
53,,1999,,,2012,송촌동,"12,000",선비마을5단지,1,0,26,59.96,,,494-1,30230,7
54,,1999,,,2012,송촌동,"17,000",선비마을5단지,1,0,26,84.88,,,494-1,30230,5
55,,1999,,,2012,송촌동,"15,000",선비마을5단지,1,0,30,84.88,,,494-1,30230,11
56,,1999,,,2012,송촌동,"13,000",선비마을5단지,1,0,31,84.88,,,494-1,30230,2
57,,1991,,,2012,송촌동,"3,000",서오,1,30,31,62.9,,,554,30230,2
58,,1986,,,2012,법동,"5,000",주공1,1,0,1,53.85,,,284-10,30230,4
59,,1995,,,2012,법동,"14,500",보람,1,0,2,99.36,,,191-1,30230,7
60,,1986,,,2012,법동,"4,000",주공1,1,0,2,39.72,,,284-10,30230,5
61,,1986,,,2012,법동,"3,500",주공1,1,0,2,39.72,,,284-10,30230,1
62,,1988,,,2012,법동,"7,500",삼정하이츠,1,0,3,59.19,,,281,30230,1
63,,1987,,,2012,법동,300,주공2,1,25,4,32.39,,,284-1,30230,3
64,,1987,,,2012,법동,"8,500",삼정하이츠,1,0,4,77.25,,,281,30230,5
65,,1999,,,2012,법동,"10,000",선비마을1,1,0,5,59.87,,,440-4,30230,20
66,,1989,,,2012,법동,"8,000",유원,1,0,5,59.17,,,285-1,30230,3
67,,1993,,,2012,법동,"12,000",삼익소월,1,0,7,84.85,,,190,30230,10
68,,1995,,,2012,법동,"9,000",보람,1,0,7,59.16,,,191-1,30230,10
69,,1995,,,2012,법동,"11,000",보람,1,0,9,59.16,,,191-1,30230,15
70,,1987,,,2012,법동,400,주공2,1,26,9,39.15,,,284-1,30230,4
71,,1986,,,2012,법동,"5,000",주공1,1,0,9,46.74,,,284-10,30230,3
72,,1986,,,2012,법동,"4,200",주공1,1,0,9,39.72,,,284-10,30230,2
73,,1993,,,2012,법동,"12,500",그린타운,1,0,10,84.93,,,195-1,30230,12
74,,1990,,,2012,법동,749,주공영구임대,1,11,11,31.32,,,283-1,30230,7
75,,1993,,,2012,법동,"3,000",삼익소월,1,40,11,59.76,,,190,30230,10
76,,1995,,,2012,법동,"9,500",보람,1,0,11,59.16,,,191-1,30230,6
77,,1987,,,2012,법동,"8,000",삼정하이츠,1,0,12,66.73,,,281,30230,2
78,,1999,,,2012,법동,"2,000",선비마을1,1,50,12,59.87,,,440-4,30230,8
79,,1986,,,2012,법동,"3,000",주공1,1,20,14,53.85,,,284-10,30230,5
80,,1989,,,2012,법동,"7,500",유원,1,0,16,71.4,,,285-1,30230,4
81,,1995,,,2012,법동,"12,000",보람,1,0,16,99.36,,,191-1,30230,5
82,,1993,,,2012,법동,"9,400",그린타운,1,0,16,59.34,,,195-1,30230,11
83,,1999,,,2012,법동,"10,500",선비마을1,1,0,17,59.87,,,440-4,30230,8
84,,1995,,,2012,법동,"15,000",보람,1,0,18,99.36,,,191-1,30230,6
85,,1990,,,2012,법동,"10,000",영진로얄,1,0,18,84.88,,,389,30230,8
86,,1989,,,2012,법동,"1,000",유원,1,45,18,59.17,,,285-1,30230,11
87,,1986,,,2012,법동,500,주공1,1,40,24,53.85,,,284-10,30230,3
88,,1986,,,2012,법동,"5,000",주공1,1,0,25,53.85,,,284-10,30230,3
89,,1987,,,2012,법동,"7,000",주공2,1,0,26,66.56,,,284-1,30230,2
90,,1986,,,2012,법동,"5,500",주공1,1,0,26,47.1,,,284-10,30230,2
91,,1993,,,2012,법동,"9,000",그린타운,1,0,27,59.34,,,195-1,30230,3
92,,1995,,,2012,법동,"10,000",보람,1,0,27,59.16,,,191-1,30230,5
93,,1999,,,2012,법동,"11,000",선비마을1,1,0,27,59.87,,,440-4,30230,19
94,,1999,,,2012,법동,"12,500",선비마을1,1,0,28,84.89,,,440-4,30230,17
95,,1986,,,2012,법동,"2,500",주공1,1,0,28,39.72,,,284-10,30230,5
96,,1987,,,2012,법동,"7,000",주공2,1,0,28,66.56,,,284-1,30230,13
97,,1987,,,2012,법동,300,주공2,1,20,28,29.25,,,284-1,30230,2
98,,1993,,,2012,법동,"9,500",삼익소월,1,0,28,59.76,,,190,30230,9
99,,1995,,,2012,법동,"15,000",보람,1,0,28,99.36,,,191-1,30230,13
100,,1986,,,2012,법동,"6,000",주공1,1,0,30,61.77,,,284-10,30230,5
101,,1987,,,2012,법동,"2,000",주공2,1,40,30,61.52,,,284-1,30230,5
102,,1987,,,2012,법동,"7,200",삼정하이츠,1,0,30,66.73,,,281,30230,5
103,,1987,,,2012,법동,"3,000",삼정하이츠,1,40,31,77.25,,,281,30230,1
104,,1987,,,2012,법동,"7,000",주공2,1,0,31,61.52,,,284-1,30230,4
105,,1989,,,2012,중리동,"6,500",영진로얄,1,0,4,59.175,,,274-1,30230,15
106,,1989,,,2012,중리동,"8,500",영진로얄,1,0,15,71.55,,,274-1,30230,3
107,,1989,,,2012,중리동,"3,500",영진로얄,1,0,31,35.85,,,274-1,30230,14
108,,1991,,,2012,비래동,"7,000",금성백조(130-7),1,0,2,84.45,,,130-7,30230,7
109,,1986,,,2012,비래동,"9,000",비래동현대아파트,1,0,3,72.82,,,47-1,30230,6
110,,1986,,,2012,비래동,"1,000",금성백조1,1,40,15,76.35,,,149-1,30230,6
111,,1986,,,2012,비래동,"9,500",비래동현대아파트,1,0,16,84.84,,,47-1,30230,4
112,,1986,,,2012,비래동,"7,000",금성백조1,1,0,18,73.2,,,149-1,30230,8
113,,2005,,,2012,비래동,"8,200",리치빌,1,0,21,81.5139,,,145-11,30230,5
114,,2005,,,2012,비래동,"8,000",리치빌,1,0,21,81.5139,,,145-11,30230,9
115,,2005,,,2012,비래동,"9,000",유앤미,1,0,28,84.3348,,,116-2,30230,6
116,,2012,,,2012,석봉동,"10,000",금강엑슬루타워,1,0,4,66.248,,,770,30230,36
117,,1995,,,2012,석봉동,"4,500",등마루,1,0,9,59.31,,,496-4,30230,6
118,,2012,,,2012,석봉동,"14,500",금강엑슬루타워,1,0,9,66.248,,,770,30230,34
119,,2012,,,2012,석봉동,"8,000",금강엑슬루타워,1,0,9,64.169,,,770,30230,20
120,,1995,,,2012,석봉동,"5,000",한밭,1,0,10,59.94,,,313-1,30230,12
121,,2012,,,2012,석봉동,"12,000",금강엑슬루타워,1,0,11,84.588,,,770,30230,17
122,,1990,,,2012,석봉동,"5,500",서우,1,0,12,72.9,,,177-2,30230,2
123,,2012,,,2012,석봉동,"10,000",금강엑슬루타워,1,0,12,64.428,,,770,30230,8
124,,2012,,,2012,석봉동,"10,000",금강엑슬루타워,1,0,12,64.169,,,770,30230,17
125,,2012,,,2012,석봉동,"10,000",금강엑슬루타워,1,0,13,64.428,,,770,30230,20
126,,2012,,,2012,석봉동,"12,000",금강엑슬루타워,1,0,14,103.275,,,770,30230,11
127,,2012,,,2012,석봉동,"10,000",금강엑슬루타워,1,0,14,64.428,,,770,30230,16
128,,2012,,,2012,석봉동,"10,500",금강엑슬루타워,1,0,16,64.428,,,770,30230,30
129,,2012,,,2012,석봉동,"10,000",금강엑슬루타워,1,0,20,84.588,,,770,30230,4
130,,2012,,,2012,석봉동,"10,000",금강엑슬루타워,1,0,21,64.428,,,770,30230,24
131,,1992,,,2012,석봉동,"6,000",유락A동,1,0,24,59.97,,,178-2,30230,11
132,,2012,,,2012,석봉동,"12,000",금강엑슬루타워,1,0,27,84.588,,,770,30230,7
